,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AGO,10764.51,14257.81,19774.36,22691.42,24249.86,24510.4,25826.89,29325.95,35658.54,45140.28,58110.91,74956.19,95972.74,121322.88,151041.0,185014.21,223116.33,265134.11,310820.43
BDI,767.88,905.14,1142.03,1485.4,2012.96,2781.12,3921.32,5536.72,7739.83,10690.11,14593.17,19605.58,25866.9,33403.15,42190.78,52268.7,63733.46,76587.47,90647.03
BEN,685.41,734.35,975.98,1459.61,2219.41,3312.75,4939.97,7266.03,10475.32,14771.02,20373.84,27489.62,36305.36,46921.77,59484.05,74096.04,90846.37,109774.4,130811.9
BFA,1862.26,2375.67,3241.28,4564.95,6466.61,9112.3,12956.31,18430.06,26002.33,36187.2,49472.35,66434.19,87595.98,113339.87,143964.89,179699.73,220557.0,266563.91,317590.24
BWA,3317.63,4176.48,5294.1,6412.95,7540.65,8663.09,9876.68,11167.02,12534.04,13986.09,15546.16,17148.74,18746.88,20291.63,21777.0,23180.78,24481.96,25641.09,26617.85
CAF,-69.46,-80.47,-34.73,70.7,249.31,520.45,935.35,1538.51,2375.43,3494.04,4946.57,6778.3,9037.38,11766.68,15002.66,18779.52,23116.51,28034.12,33537.36
CIV,1522.15,2075.86,4224.97,8415.79,14617.01,22784.92,33209.52,46120.15,61455.03,79381.94,99820.95,122740.43,147991.29,175424.28,204962.4,236491.56,269758.42,304314.46,339793.1
CMR,1845.58,2572.83,4070.64,6537.06,10062.82,14693.52,20776.12,28494.71,38078.53,49785.76,63798.97,80194.28,98874.93,119770.03,142959.9,168392.22,195951.88,225365.66,256278.44
COD,-3750.6,-4595.09,-4895.52,-3463.29,-27.69,5875.25,15553.85,30347.45,51548.95,80605.86,119055.91,168364.43,230114.41,305299.88,394286.43,496810.89,613046.31,742948.35,886014.09
COG,1377.01,2294.25,3254.44,4626.97,6325.09,8364.48,10835.13,13774.56,17245.53,21303.36,25973.15,31206.12,36966.93,43215.03,49946.61,57107.93,64634.32,72402.8,80296.71
