PLEXOS_Nodes,Country,PLEXOS_Countries,Share_%_Country_Demand,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
EU-AUT,AUT,EU-AUT,1.0,GWh,75359.98,75359.98,75359.98,75359.98,75359.98,75359.98,75478.352,75596.724,75715.09599999999,75833.468,75951.84,77234.136,78516.432,79798.728,81081.024,82363.32,83632.48800000001,84901.656,86170.82400000001,87439.992,88709.16,90005.68800000001,91302.216,92598.744,93895.272,95191.8,96561.61,97931.42,99301.23000000001,100671.04000000001,102040.85,103441.948,104843.046,106244.144,107645.242,109046.34,110388.302,111730.264,113072.226,114414.188,115756.15,117050.146,118344.14199999999,119638.138,120932.134,122226.13,123493.126,124760.122,126027.118,127294.114,128561.11,129793.874,131026.63799999999,132259.402,133492.166,134724.93,135903.804,137082.67799999999,138261.552,139440.42599999998,140619.3,141745.296,142871.292,143997.288,145123.28399999999,146249.28,147294.052,148338.824,149383.59600000002,150428.36800000002,151473.14,152419.282,153365.424,154311.56600000002,155257.708,156203.85,157055.028,157906.206,158757.384,159608.562,160459.74,161222.008,161984.27599999998,162746.544,163508.81199999998,164271.08,164939.49399999998,165607.908,166276.322,166944.736,167613.15
EU-BEL,BEL,EU-BEL,1.0,GWh,133697.25,134935.65,136174.05,137412.45,138650.85,139889.25,141193.404,142497.558,143801.712,145105.86599999998,146410.02,147878.73799999998,149347.45599999998,150816.174,152284.892,153753.61,155400.67799999999,157047.74599999998,158694.814,160341.882,161988.95,163754.804,165520.658,167286.51200000002,169052.366,170818.22,172634.372,174450.524,176266.676,178082.828,179898.98,181719.46000000002,183539.94,185360.42,187180.9,189001.38,190794.836,192588.29200000002,194381.748,196175.204,197968.66,199781.29,201593.92,203406.55,205219.18,207031.81,208901.1,210770.39,212639.68,214508.97,216378.26,218244.67200000002,220111.084,221977.496,223843.908,225710.32,227533.63,229356.94,231180.25,233003.56,234826.87,236599.13999999998,238371.41,240143.68,241915.95,243688.22,245412.924,247137.628,248862.332,250587.036,252311.74,253980.524,255649.308,257318.092,258986.876,260655.66,262272.772,263889.88399999996,265506.996,267124.108,268741.22,270304.17,271867.12,273430.06999999995,274993.01999999996,276555.97,277988.20999999996,279420.44999999995,280852.69,282284.93,283717.17
EU-BGR,BGR,EU-BGR,1.0,GWh,40587.48,41136.202000000005,41684.924,42233.646,42782.367999999995,43331.09,44094.541999999994,44857.994,45621.445999999996,46384.898,47148.35,47876.988,48605.626,49334.264,50062.902,50791.54,51514.912000000004,52238.284,52961.656,53685.028,54408.4,55104.988,55801.576,56498.164,57194.752,57891.34,58538.219999999994,59185.1,59831.979999999996,60478.86,61125.74,61739.456,62353.172,62966.888,63580.604,64194.32,64756.744,65319.168,65881.592,66444.016,67006.44,67548.59,68090.74,68632.89,69175.04000000001,69717.19,70278.72,70840.25,71401.78,71963.31,72524.84,73047.294,73569.74799999999,74092.202,74614.656,75137.11,75575.788,76014.466,76453.144,76891.822,77330.5,77675.5,78020.5,78365.5,78710.5,79055.5,79341.27,79627.04000000001,79912.81,80198.58,80484.35,80728.888,80973.426,81217.96399999999,81462.502,81707.04,81919.87599999999,82132.712,82345.548,82558.384,82771.22,82947.676,83124.132,83300.588,83477.044,83653.5,83779.69,83905.88,84032.06999999999,84158.26,84284.45
EU-BIH,BIH,EU-BIH,1.0,GWh,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13874.782,14249.564,14624.346,14999.128,15373.91,15788.332,16202.754,16617.176,17031.598,17446.02,17814.47,18182.920000000002,18551.37,18919.82,19288.27,19594.912,19901.554,20208.196,20514.838,20821.48,21068.458,21315.435999999998,21562.414,21809.392,22056.37,22272.462,22488.554,22704.646,22920.738,23136.83,23294.57,23452.31,23610.05,23767.79,23925.53,24043.721999999998,24161.914,24280.106,24398.298000000003,24516.49,24597.048000000003,24677.606,24758.164,24838.721999999998,24919.28,24961.174,25003.068,25044.962,25086.856,25128.75,25147.22,25165.69,25184.16,25202.629999999997,25221.1,25226.469999999998,25231.84,25237.21,25242.58,25247.95,25246.928,25245.906,25244.884000000002,25243.862,25242.84,25239.376,25235.912,25232.448,25228.984,25225.52
EU-CHE,CHE,EU-CHE,1.0,GWh,69331.17,70769.326,72207.482,73645.63799999999,75083.794,76521.95,78047.252,79572.554,81097.856,82623.15800000001,84148.46,85613.86,87079.26000000001,88544.66,90010.06000000001,91475.46,92894.058,94312.656,95731.254,97149.852,98568.45,100001.24399999999,101434.038,102866.832,104299.626,105732.42,107283.152,108833.884,110384.616,111935.348,113486.08,115131.65,116777.22,118422.79,120068.36,121713.93,123401.29599999999,125088.662,126776.02799999999,128463.394,130150.76,131909.748,133668.736,135427.72400000002,137186.712,138945.7,140724.446,142503.192,144281.938,146060.684,147839.43,149610.066,151380.702,153151.338,154921.974,156692.61,158438.982,160185.354,161931.726,163678.098,165424.47,167117.492,168810.514,170503.536,172196.558,173889.58,175532.198,177174.816,178817.434,180460.052,182102.67,183673.15000000002,185243.63,186814.11000000002,188384.59,189955.07,191399.106,192843.142,194287.178,195731.214,197175.25,198493.018,199810.786,201128.554,202446.322,203764.09,204985.99599999998,206207.902,207429.808,208651.714,209873.62
EU-CYP,CYP,EU-CYP,1.0,GWh,6540.47,6679.188,6817.906,6956.624000000001,7095.342000000001,7234.06,7420.410000000001,7606.76,7793.110000000001,7979.46,8165.81,8358.534,8551.258,8743.982,8936.706,9129.43,9332.366,9535.302,9738.238000000001,9941.174,10144.11,10345.6,10547.09,10748.58,10950.07,11151.56,11350.078,11548.596,11747.114,11945.632,12144.15,12343.434,12542.717999999999,12742.002,12941.286,13140.57,13336.294,13532.018,13727.742,13923.466,14119.19,14313.868,14508.546,14703.224,14897.902,15092.58,15287.976,15483.372,15678.768,15874.163999999999,16069.56,16256.689999999999,16443.82,16630.95,16818.079999999998,17005.21,17179.23,17353.25,17527.27,17701.29,17875.31,18030.434,18185.558,18340.682,18495.806,18650.93,18785.314,18919.698,19054.082,19188.466,19322.85,19437.214,19551.577999999998,19665.942,19780.305999999997,19894.67,19994.802,20094.934,20195.066,20295.198,20395.33,20486.164,20576.998,20667.832000000002,20758.666,20849.5,20932.07,21014.64,21097.21,21179.78,21262.35
EU-CZE,CZE,EU-CZE,1.0,GWh,74680.84,76531.326,78381.812,80232.298,82082.784,83933.27,86026.6,88119.93000000001,90213.26,92306.59,94399.92,96538.424,98676.928,100815.432,102953.936,105092.44,107315.308,109538.176,111761.044,113983.912,116206.78,118453.586,120700.39199999999,122947.198,125194.004,127440.81,129674.236,131907.662,134141.088,136374.514,138607.94,140733.606,142859.272,144984.938,147110.604,149236.27,151412.33,153588.38999999998,155764.45,157940.51,160116.57,162241.65600000002,164366.742,166491.828,168616.914,170742.0,172866.456,174990.912,177115.368,179239.824,181364.28,183520.548,185676.816,187833.084,189989.35199999998,192145.62,194203.71,196261.8,198319.89,200377.98,202436.07,204287.90600000002,206139.742,207991.578,209843.414,211695.25,213417.088,215138.926,216860.764,218582.602,220304.44,221950.994,223597.548,225244.10199999998,226890.656,228537.21,230127.312,231717.414,233307.516,234897.618,236487.72,238056.42,239625.12,241193.82,242762.52,244331.22,245879.06,247426.9,248974.74000000002,250522.58000000002,252070.42
EU-DEU,DEU,EU-DEU,1.0,GWh,678389.87,689979.1,701568.33,713157.56,724746.79,736336.02,745779.662,755223.304,764666.946,774110.588,783554.23,791889.564,800224.898,808560.232,816895.566,825230.9,833014.234,840797.568,848580.902,856364.2359999999,864147.57,872164.8339999999,880182.098,888199.362,896216.626,904233.89,913180.17,922126.4500000001,931072.73,940019.01,948965.29,957640.326,966315.362,974990.398,983665.434,992340.47,1000307.33,1008274.19,1016241.05,1024207.91,1032174.77,1039670.61,1047166.45,1054662.29,1062158.13,1069653.97,1077502.26,1085350.55,1093198.8399999999,1101047.13,1108895.42,1116500.088,1124104.756,1131709.4239999999,1139314.092,1146918.76,1154474.248,1162029.736,1169585.224,1177140.712,1184696.2,1191955.348,1199214.496,1206473.6439999999,1213732.792,1220991.94,1227794.912,1234597.884,1241400.856,1248203.828,1255006.8,1261154.976,1267303.152,1273451.328,1279599.504,1285747.68,1291303.812,1296859.944,1302416.0760000001,1307972.208,1313528.34,1318643.0320000001,1323757.7240000002,1328872.416,1333987.108,1339101.8,1343472.02,1347842.24,1352212.46,1356582.68,1360952.9
EU-DNK,DNK,EU-DNK,1.0,GWh,59385.54,60134.888,60884.236,61633.584,62382.932,63132.28,63919.652,64707.024,65494.396,66281.768,67069.14,67809.68,68550.22,69290.76,70031.3,70771.84,71499.434,72227.02799999999,72954.622,73682.216,74409.81,75156.776,75903.742,76650.708,77397.674,78144.64,78960.156,79775.672,80591.188,81406.704,82222.22,83131.542,84040.864,84950.186,85859.508,86768.83,87765.044,88761.258,89757.472,90753.686,91749.9,92794.216,93838.53199999999,94882.848,95927.16399999999,96971.48,98065.022,99158.564,100252.106,101345.648,102439.19,103576.876,104714.562,105852.24799999999,106989.934,108127.62,109307.086,110486.552,111666.018,112845.484,114024.95,115247.026,116469.102,117691.178,118913.254,120135.33,121413.304,122691.278,123969.252,125247.226,126525.2,127831.94,129138.68,130445.42,131752.16,133058.9,134373.642,135688.384,137003.126,138317.868,139632.61,140951.598,142270.58599999998,143589.574,144908.56199999998,146227.55,147562.36,148897.16999999998,150231.98,151566.79,152901.6
EU-EST,EST,EU-EST,1.0,GWh,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9654.078,9808.186,9962.294,10116.402,10270.51,10445.76,10621.01,10796.26,10971.51,11146.76,11330.232,11513.704,11697.176000000001,11880.648000000001,12064.12,12254.41,12444.7,12634.99,12825.28,13015.57,13205.746,13395.922,13586.098,13776.274000000001,13966.45,14144.442000000001,14322.434000000001,14500.426,14678.418,14856.41,15010.846,15165.282,15319.718,15474.154,15628.59,15794.832,15961.074,16127.315999999999,16293.557999999999,16459.8,16634.414,16809.028,16983.642,17158.255999999998,17332.87,17504.935999999998,17677.002,17849.068,18021.134000000002,18193.2,18352.078,18510.956000000002,18669.834,18828.712,18987.59,19138.96,19290.329999999998,19441.7,19593.07,19744.44,19890.485999999997,20036.532,20182.577999999998,20328.624,20474.67,20623.275999999998,20771.881999999998,20920.488,21069.094,21217.7,21374.982,21532.264,21689.546000000002,21846.828,22004.11,22164.662,22325.214,22485.766,22646.318,22806.87
