PLEXOS_Nodes,Ratio_Peak/Total_Demand_2015,Country,PLEXOS_Countries,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
EU-AUT,0.00016360142780296458,AUT,EU-AUT,MW,12329.0,12329.0,12329.0,12329.0,12329.0,12329.0,12348.37,12367.73,12387.1,12406.46,12425.83,12635.61,12845.4,13055.19,13264.97,13474.76,13682.39,13890.03,14097.67,14305.31,14512.95,14725.06,14937.17,15149.29,15361.4,15573.51,15797.62,16021.72,16245.82,16469.93,16694.03,16923.25,17152.47,17381.69,17610.92,17840.14,18059.68,18279.23,18498.78,18718.32,18937.87,19149.57,19361.27,19572.97,19784.67,19996.37,20203.65,20410.93,20618.22,20825.5,21032.78,21234.46,21436.15,21637.83,21839.51,22041.19,22234.06,22426.92,22619.79,22812.65,23005.52,23189.73,23373.95,23558.16,23742.38,23926.59,24097.52,24268.44,24439.37,24610.3,24781.22,24936.01,25090.8,25245.59,25400.38,25555.17,25694.43,25833.68,25972.93,26112.19,26251.44,26376.15,26500.86,26625.57,26750.28,26874.98,26984.34,27093.69,27203.04,27312.4,27421.75
EU-BEL,0.00015414068895421517,BEL,EU-BEL,MW,20608.19,20799.07,20989.96,21180.85,21371.74,21562.63,21763.65,21964.67,22165.69,22366.72,22567.74,22794.13,23020.52,23246.91,23473.3,23699.69,23953.57,24207.45,24461.33,24715.21,24969.09,25241.28,25513.47,25785.66,26057.85,26330.04,26609.98,26889.92,27169.87,27449.81,27729.75,28010.36,28290.97,28571.58,28852.19,29132.8,29409.25,29685.69,29962.14,30238.58,30515.03,30794.43,31073.83,31353.23,31632.63,31912.03,32200.16,32488.29,32776.43,33064.56,33352.69,33640.38,33928.07,34215.76,34503.45,34791.14,35072.19,35353.24,35634.28,35915.33,36196.38,36469.55,36742.73,37015.91,37289.09,37562.27,37828.12,38093.96,38359.81,38625.66,38891.51,39148.73,39405.96,39663.19,39920.42,40177.64,40426.91,40676.17,40925.43,41174.69,41423.96,41664.87,41905.79,42146.7,42387.61,42628.53,42849.29,43070.06,43290.83,43511.59,43732.36
EU-BGR,0.0001839367048733889,BGR,EU-BGR,MW,7465.53,7566.46,7667.39,7768.32,7869.25,7970.18,8110.6,8251.03,8391.46,8531.89,8672.31,8806.34,8940.36,9074.38,9208.41,9342.43,9475.48,9608.54,9741.59,9874.65,10007.7,10135.83,10263.96,10392.09,10520.21,10648.34,10767.33,10886.31,11005.3,11124.28,11243.27,11356.15,11469.04,11581.92,11694.81,11807.69,11911.14,12014.59,12118.04,12221.49,12324.94,12424.67,12524.39,12624.11,12723.83,12823.55,12926.84,13030.12,13133.41,13236.69,13339.98,13436.08,13532.18,13628.28,13724.37,13820.47,13901.16,13981.85,14062.54,14143.23,14223.92,14287.38,14350.83,14414.29,14477.75,14541.21,14593.77,14646.34,14698.9,14751.46,14804.03,14849.01,14893.99,14938.96,14983.94,15028.92,15068.07,15107.22,15146.37,15185.52,15224.67,15257.12,15289.58,15322.04,15354.49,15386.95,15410.16,15433.37,15456.58,15479.79,15503.0
EU-BIH,0.0001702962962962963,BIH,EU-BIH,MW,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2299.0,2362.82,2426.65,2490.47,2554.3,2618.12,2688.69,2759.27,2829.84,2900.42,2970.99,3033.74,3096.48,3159.23,3221.98,3284.72,3336.94,3389.16,3441.38,3493.6,3545.82,3587.88,3629.94,3672.0,3714.06,3756.12,3792.92,3829.72,3866.52,3903.32,3940.12,3966.98,3993.84,4020.7,4047.57,4074.43,4094.56,4114.68,4134.81,4154.94,4175.07,4188.79,4202.5,4216.22,4229.94,4243.66,4250.8,4257.93,4265.06,4272.2,4279.33,4282.48,4285.62,4288.77,4291.91,4295.06,4295.97,4296.89,4297.8,4298.72,4299.63,4299.46,4299.28,4299.11,4298.94,4298.76,4298.17,4297.58,4296.99,4296.4,4295.81
EU-CHE,0.0001636377611475282,CHE,EU-CHE,MW,11345.2,11580.53,11815.87,12051.21,12286.54,12521.88,12771.48,13021.07,13270.67,13520.27,13769.87,14009.66,14249.46,14489.25,14729.04,14968.84,15200.98,15433.11,15665.25,15897.38,16129.52,16363.98,16598.44,16832.9,17067.36,17301.82,17555.57,17809.33,18063.09,18316.85,18570.61,18839.89,19109.16,19378.44,19647.72,19917.0,20193.11,20469.23,20745.35,21021.46,21297.58,21585.42,21873.25,22161.09,22448.93,22736.76,23027.83,23318.9,23609.97,23901.04,24192.11,24481.86,24771.6,25061.34,25351.08,25640.83,25926.6,26212.37,26498.15,26783.92,27069.69,27346.73,27623.77,27900.82,28177.86,28454.9,28723.7,28992.49,29261.28,29530.08,29798.87,30055.86,30312.85,30569.84,30826.83,31083.82,31320.12,31556.42,31792.72,32029.02,32265.32,32480.95,32696.59,32912.23,33127.86,33343.5,33543.45,33743.4,33943.35,34143.3,34343.25
EU-CYP,0.00021939075012472893,CYP,EU-CYP,MW,1434.92,1465.35,1495.79,1526.22,1556.65,1587.09,1627.97,1668.85,1709.74,1750.62,1791.5,1833.79,1876.07,1918.35,1960.63,2002.91,2047.43,2091.96,2136.48,2181.0,2225.52,2269.73,2313.93,2358.14,2402.34,2446.55,2490.1,2533.66,2577.21,2620.76,2664.31,2708.04,2751.76,2795.48,2839.2,2882.92,2925.86,2968.8,3011.74,3054.68,3097.62,3140.33,3183.04,3225.75,3268.46,3311.17,3354.04,3396.91,3439.78,3482.64,3525.51,3566.57,3607.62,3648.68,3689.73,3730.79,3768.96,3807.14,3845.32,3883.5,3921.68,3955.71,3989.74,4023.78,4057.81,4091.84,4121.32,4150.81,4180.29,4209.77,4239.25,4264.34,4289.44,4314.53,4339.62,4364.71,4386.67,4408.64,4430.61,4452.58,4474.55,4494.47,4514.4,4534.33,4554.26,4574.19,4592.3,4610.42,4628.53,4646.65,4664.76
EU-CZE,0.0001571507822184037,CZE,EU-CZE,MW,11736.15,12026.96,12317.76,12608.57,12899.37,13190.18,13519.15,13848.12,14177.08,14506.05,14835.02,15171.09,15507.16,15843.22,16179.29,16515.36,16864.68,17214.01,17563.34,17912.66,18261.99,18615.07,18968.16,19321.25,19674.34,20027.42,20378.41,20729.39,21080.38,21431.36,21782.35,22116.4,22450.45,22784.5,23118.55,23452.6,23794.57,24136.54,24478.51,24820.47,25162.44,25496.4,25830.36,26164.32,26498.28,26832.24,27166.1,27499.96,27833.82,28167.68,28501.54,28840.4,29179.26,29518.12,29856.98,30195.83,30519.26,30842.7,31166.13,31489.56,31812.99,32104.0,32395.02,32686.04,32977.06,33268.07,33538.66,33809.25,34079.84,34350.43,34621.02,34879.77,35138.53,35397.29,35656.04,35914.8,36164.69,36414.57,36664.46,36914.34,37164.23,37410.75,37657.28,37903.8,38150.32,38396.84,38640.09,38883.33,39126.58,39369.82,39613.06
EU-DEU,0.00015343380442413204,DEU,EU-DEU,MW,104087.94,105866.12,107644.3,109422.48,111200.66,112978.84,114427.81,115876.78,117325.76,118774.73,120223.71,121502.63,122781.55,124060.47,125339.39,126618.32,127812.54,129006.77,130201.0,131395.22,132589.45,133819.57,135049.69,136279.81,137509.93,138740.05,140112.71,141485.37,142858.03,144230.69,145603.35,146934.4,148265.44,149596.49,150927.53,152258.57,153480.96,154703.34,155925.73,157148.12,158370.5,159520.62,160670.73,161820.85,162970.96,164121.08,165325.27,166529.46,167733.66,168937.85,170142.04,171308.86,172475.67,173642.48,174809.3,175976.11,177135.38,178294.64,179453.91,180613.18,181772.45,182886.24,184000.04,185113.84,186227.64,187341.44,188385.24,189429.05,190472.86,191516.66,192560.47,193503.81,194447.14,195390.48,196333.82,197277.16,198129.66,198982.16,199834.65,200687.15,201539.65,202324.42,203109.18,203893.95,204678.72,205463.48,206134.02,206804.56,207475.1,208145.64,208816.18
EU-DNK,0.00017246127861334708,DNK,EU-DNK,MW,10241.71,10370.94,10500.17,10629.41,10758.64,10887.87,11023.66,11159.46,11295.25,11431.04,11566.83,11694.54,11822.26,11949.97,12077.69,12205.4,12330.88,12456.37,12581.85,12707.33,12832.81,12961.63,13090.46,13219.28,13348.1,13476.92,13617.57,13758.21,13898.86,14039.5,14180.15,14336.97,14493.79,14650.62,14807.44,14964.26,15136.07,15307.88,15479.69,15651.5,15823.31,16003.41,16183.51,16363.62,16543.72,16723.83,16912.42,17101.01,17289.61,17478.2,17666.79,17863.0,18059.21,18255.41,18451.62,18647.83,18851.24,19054.65,19258.06,19461.48,19664.89,19875.65,20086.41,20297.17,20507.93,20718.69,20939.09,21159.49,21379.9,21600.3,21820.7,22046.06,22271.42,22496.78,22722.15,22947.51,23174.25,23400.99,23627.73,23854.48,24081.22,24308.69,24536.17,24763.64,24991.12,25218.59,25448.79,25679.0,25909.2,26139.4,26369.61
EU-EST,0.00017579001030634724,EST,EU-EST,MW,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0,1697.09,1724.18,1751.27,1778.36,1805.45,1836.26,1867.07,1897.87,1928.68,1959.49,1991.74,2023.99,2056.25,2088.5,2120.75,2154.2,2187.65,2221.11,2254.56,2288.01,2321.44,2354.87,2388.3,2421.73,2455.16,2486.45,2517.74,2549.03,2580.32,2611.61,2638.76,2665.91,2693.05,2720.2,2747.35,2776.57,2805.8,2835.02,2864.24,2893.47,2924.16,2954.86,2985.55,3016.25,3046.95,3077.19,3107.44,3137.69,3167.94,3198.18,3226.11,3254.04,3281.97,3309.9,3337.83,3364.44,3391.05,3417.66,3444.27,3470.88,3496.55,3522.22,3547.9,3573.57,3599.24,3625.37,3651.49,3677.61,3703.74,3729.86,3757.51,3785.16,3812.81,3840.45,3868.1,3896.33,3924.55,3952.77,3981.0,4009.22
