NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
AFG_Hyd_Capacity Scaler,13.7,14.2,23.1,48.2,48.2,48.2,48.2,30.7,25.1,25.5,16.8,14.1
AFG_Hyd_KajakiHydroele1,51.5,54.3,54.3,46.9,36.0,25.3,22.6,22.6,24.4,48.3,54.3,54.3
AFG_Hyd_MahiparHydroel2,16.5,19.4,35.8,54.3,54.3,35.4,28.4,29.7,35.8,54.3,54.3,21.8
AFG_Hyd_NaghluDamHydr3,47.4,47.4,47.4,27.9,16.7,14.5,12.0,11.4,16.8,17.1,29.4,47.4
AFG_Hyd_NangarharDaru4,30.5,30.5,30.5,17.9,14.9,12.0,11.2,7.4,8.1,16.9,22.2,30.5
AFG_Hyd_PuleKhumriHy6,4.5,4.9,7.1,11.5,43.3,43.3,43.3,29.7,37.7,43.3,15.5,7.1
AFG_Hyd_SarobiDamHydr7,4.7,4.9,5.8,7.7,18.5,47.4,47.4,47.4,32.5,47.4,22.1,7.8
AGO_Hyd_Biopiohydro49,42.0,42.3,42.9,47.7,58.3,76.6,76.6,76.6,63.0,76.6,66.9,44.7
AGO_Hyd_Cambambe50,62.8,65.7,60.4,57.4,76.6,71.5,69.9,65.7,62.8,73.8,72.4,65.7
AGO_Hyd_Capacity Scaler,76.6,76.6,69.2,68.3,65.5,61.4,57.5,57.2,63.2,70.9,76.6,76.6
AGO_Hyd_Capanda51,76.6,76.6,76.6,73.9,61.3,46.8,36.6,36.3,43.8,53.0,69.3,76.6
AGO_Hyd_Matala58,62.8,65.7,60.4,57.4,76.6,71.5,69.9,65.7,62.8,73.8,72.4,65.7
AGO_Hyd_RioLuachimo60,62.8,65.7,60.4,57.4,76.6,71.5,69.9,65.7,62.8,73.8,72.4,65.7
ALB_Hyd_Bistrica18,38.4,41.0,36.3,33.0,52.3,46.9,45.4,41.0,38.4,49.4,47.8,41.0
ALB_Hyd_Capacity Scaler,16.5,17.0,18.1,36.5,52.3,52.3,52.3,52.3,45.4,32.8,17.2,17.0
ALB_Hyd_Fierza9,21.5,22.9,43.8,52.3,52.3,36.3,34.0,33.5,39.8,52.3,52.3,27.1
ALB_Hyd_Koman10,16.5,20.5,34.8,52.3,52.3,42.5,38.4,36.5,49.2,52.3,52.3,18.1
ALB_Hyd_Lanabregas11,13.8,13.2,13.8,24.5,50.9,50.9,50.9,50.9,34.3,24.5,17.2,17.5
ALB_Hyd_Shkopet12,52.3,52.3,46.9,33.0,24.0,18.0,16.5,17.0,18.1,36.1,52.3,52.3
ALB_Hyd_Ulez13,6.5,7.1,15.1,29.8,46.6,52.3,52.3,52.3,52.3,27.2,7.2,6.5
ALB_Hyd_VauiDijes14,48.2,48.2,48.2,23.3,16.2,14.4,12.1,11.5,15.6,22.4,31.2,48.2
ARG_Hyd_AGUADELTORO66,22.4,22.8,24.0,35.9,74.6,74.6,53.1,52.5,74.6,74.6,36.3,22.6
ARG_Hyd_ALICURA67,28.2,28.2,22.6,17.8,25.8,18.2,28.2,17.7,18.5,20.5,28.2,22.0
ARG_Hyd_ALVAREZCONDARC71,9.2,12.3,19.8,24.6,37.0,77.8,77.8,77.8,77.8,42.5,14.3,8.4
ARG_Hyd_ARROYITO72,22.4,50.4,77.8,77.8,77.8,77.8,74.0,47.9,26.2,23.3,24.7,12.0
ARG_Hyd_BENJAMINREOLIN77,8.8,14.7,23.3,54.8,77.8,77.8,77.8,77.8,61.5,50.8,28.6,8.4
ARG_Hyd_CABRACORRAL82,8.4,9.2,9.0,9.2,24.9,77.8,77.8,77.8,77.8,50.2,22.3,9.2
ARG_Hyd_CACHEUTANUEVA83,64.8,64.8,64.8,31.9,18.7,16.0,15.4,15.6,17.4,28.7,56.1,64.8
ARG_Hyd_CASADEPIEDRA89,64.8,64.8,64.8,39.7,21.1,16.6,15.4,16.0,18.7,27.1,48.8,64.8
ARG_Hyd_CASSAFFOUSTH90,32.6,42.9,64.8,55.9,52.5,62.4,64.8,64.8,64.8,17.4,6.7,13.8
ARG_Hyd_CHLOSCARACOLE105,9.0,13.8,15.3,20.0,42.3,77.8,77.8,77.8,77.8,42.9,18.4,8.4
ARG_Hyd_CIPOLLETTI108,11.1,14.4,39.6,55.7,55.7,36.9,26.7,31.3,55.7,55.7,33.9,20.0
ARG_Hyd_CUESTADELVIEN189,7.5,6.5,9.7,15.3,32.1,60.1,64.8,64.8,46.6,64.8,64.8,39.2
ARG_Hyd_ELCADILLAL193,47.0,55.7,55.7,40.5,29.7,34.1,22.1,16.7,29.1,46.6,55.7,55.7
ARG_Hyd_ELCARRIZAL194,10.7,9.7,13.9,13.5,71.4,77.8,77.8,77.8,77.8,39.5,17.4,8.4
ARG_Hyd_ELCHOCON195,64.9,60.1,53.5,50.4,46.5,43.5,43.1,46.0,45.2,50.6,50.9,60.7
