technology_code,weo_region,,,
AFG,,,,Africa
AGO,,,,Brazil
ALB,,,,China
ARE,,,,Europe
ARG,,,,India
ARM,,,,Japan
ATA,,,,Middle East
AUS,,,,Russia
AUT,,,,United States
AZE,,,,
BDI,,,,Asia_average
BEL,,,,NA_average
BEN,,,,SA_average
BFA,,,,Global_average
BGD,,,,
BGR,,,,
BHR,,,,
BIH,,,,
BLR,,,,
BOL,,,,
BRA,,,,
BRN,,,,
BTN,,,,
BWA,,,,
CAF,,,,
CAN,,,,
CHE,,,,
CHL,,,,
CHN,,,,
CIV,,,,
CMR,,,,
COD,,,,
COG,,,,
COL,,,,
CPV,,,,
CRI,,,,
CUB,,,,
CYP,,,,
CZE,,,,
DEU,,,,
DJI,,,,
DNK,,,,
DOM,,,,
DZA,,,,
ECU,,,,
EGY,,,,
ERI,,,,
ESH,,,,
ESP,,,,
EST,,,,
ETH,,,,
FIN,,,,
FJI,,,,
FRA,,,,
GAB,,,,
GBR,,,,
GEO,,,,
GHA,,,,
GIN,,,,
GMB,,,,
GNB,,,,
GNQ,,,,
GRC,,,,
GTM,,,,
GUF,,,,
GUY,,,,
HND,,,,
HRV,,,,
HUN,,,,
IDN,,,,
IND,,,,
IRL,,,,
IRN,,,,
IRQ,,,,
ISL,,,,
ISR,,,,
ITA,,,,
JAM,,,,
JOR,,,,
JPN,,,,
KAZ,,,,
KEN,,,,
KGZ,,,,
KHM,,,,
KOR,,,,
KOS,,,,
KWT,,,,
LAO,,,,
LBN,,,,
LBR,,,,
LBY,,,,
LKA,,,,
LSO,,,,
LTU,,,,
LUX,,,,
LVA,,,,
MAR,,,,
MDA,,,,
MDG,,,,
MEX,,,,
MKD,,,,
MLI,,,,
MMR,,,,
MNE,,,,
MNG,,,,
MOZ,,,,
MRT,,,,
MUS,,,,
MWI,,,,
MYS,,,,
NAM,,,,
NER,,,,
NGA,,,,
NIC,,,,
NLD,,,,
NOR,,,,
NPL,,,,
NZL,,,,
OMN,,,,
PAK,,,,
PAN,,,,
PER,,,,
PHL,,,,
PNG,,,,
POL,,,,
PRK,,,,
PRT,,,,
PRY,,,,
QAT,,,,
ROU,,,,
RUS,,,,
RWA,,,,
SAU,,,,
SDN,,,,
SEN,,,,
SGP,,,,
SLE,,,,
SLV,,,,
SRB,,,,
SVK,,,,
SVN,,,,
SWE,,,,
SWZ,,,,
SYR,,,,
TGO,,,,
THA,,,,
TJK,,,,
TKM,,,,
TTO,,,,
TUN,,,,
TUR,,,,
TWN,,,,
TZA,,,,
UGA,,,,
UKR,,,,
URY,,,,
USA,,,,
UZB,,,,
VEN,,,,
VNM,,,,
YEM,,,,
ZAF,,,,
ZMB,,,,
ZWE,,,,
SOM,,,,
TCD,,,,
TLS,,,,
MLT,,,,
BLZ,,,,
HTI,,,,
SUR,,,,
