Code,Country,Region
BRNXX,Brunei,-
IDNJW,Indonesia,Jawa
IDNKA,Indonesia,Kalimantan
IDNML,Indonesia,Maluku
IDNNU,Indonesia,Nusa Tenggara
IDNPP,Indonesia,Papua
IDNSL,Indonesia,Sulawesi
IDNSM,Indonesia,Sumatera
KHMXX,Cambodia,-
LAOXX,Laos,-
MMRXX,Myanmar,-
MYSPE,Malaysia,Central
MYSSH,Malaysia,East
MYSSK,Malaysia,North
PHLLU,Philippines,Luzon
PHLMI,Philippines,Mindanao
PHLVI,Philippines,Visayas
SGPXX,Singapore,-
THACE,Thailand,Centre
THANO,Thailand,North
THASO,Thailand,South
VNMCE,Vietnam,Centre
VNMNO,Vietnam,North
VNMSO,Vietnam,South
