Province,Model code,2021,2025,2030,2040,2050
Banten,IDNBT,23831,27125,31314,41882,56285
Jawa Barat,IDNJB,53318,55595,58492,65137,72835
Jawa Timur,IDNJI,39457,41847,44887,51966,60358
Jakarta Raya,IDNJK,32709,56416,86572,192336,449512
Jawa Tengah,IDNJT,26661,26954,27327,28133,28964
Yogyakarta,IDNYO,3108,8022,14272,38962,110752
Kalimantan Barat,IDNKB,2913,4156,5900,9907,17475
Kalimantan Timur,IDNKI,4049,5840,8350,14305,26073
Kalimantan Selatan,IDNKS,3051,4413,6323,10866,19868
Kalimantan Tengah,IDNKT,1598,2254,3175,5220,8792
Kalimantan Utara,IDNKU,238,350,508,861,1485
Maluku,IDNMA,583,938,1300,2288,4145
Maluku Utara,IDNMU,637,1004,1380,2390,4263
Bali,IDNBA,4708,4896,5136,5716,6479
Nusa Tenggara Barat,IDNNB,2290,3623,4984,8592,15040
Nusa Tenggara Timur,IDNNT,1160,1843,2541,4451,8131
Papua,IDNPA,1238,1960,2699,4687,8373
Papua Barat,IDNPB,583,932,1288,2312,4460
Gorontalo,IDNGO,639,793,1025,1704,2857
Sulawesi Utara,IDNSA,1940,2446,3206,5454,9344
Sulawesi Tenggara,IDNSG,6598,8285,10822,18315,31268
Sulawesi Selatan,IDNSN,1354,1679,2168,3612,6117
Sulawesi Tengah,IDNST,1150,1430,1851,3264,6415
Aceh,IDNAC,3074,4284,5676,9738,16847
Kepulauan Bangka Belitung,IDNBB,1369,1877,2460,4179,7246
Bengkulu,IDNBE,1059,1474,1952,3371,5959
Jambi,IDNJA,2112,2952,3919,6744,11700
Kepulauan Riau,IDNKR,3479,4934,6608,13141,27719
Lampung,IDNLA,5177,7215,9559,16361,28107
Riau,IDNRI,6108,8130,10454,17263,29251
Sumatera Barat,IDNSB,3646,5145,6868,11909,20720
Sumatera Selatan,IDNSS,5594,7879,10507,18177,31532
Sumatera Utara,IDNSU,11748,16509,21983,38639,70244
Sulawesi Barat,IDNSR,439,547,709,1181,1973
