Code,Country,Region,2021,2030,2040,2050
BRNXX,Brunei,-,5,5,7,10
IDNJW,Indonesia,Jawa,179,263,418,779
IDNKA,Indonesia,Kalimantan,12,24,41,74
IDNML,Indonesia,Maluku,1,3,5,8
IDNNU,Indonesia,Nusa Tenggara,8,13,19,30
IDNPP,Indonesia,Papua,2,4,7,13
IDNSL,Indonesia,Sulawesi,12,20,34,58
IDNSM,Indonesia,Sumatera,43,80,140,249
KHMXX,Cambodia,-,10,26,61,139
LAOXX,Laos,-,6,16,59,245
MMRXX,Myanmar,-,14,16,20,30
MYSPE,Malaysia,Central,134,213,426,1074
MYSSH,Malaysia,East,10,13,21,45
MYSSK,Malaysia,North,16,21,36,82
PHLLU,Philippines,Luzon,70,123,232,513
PHLMI,Philippines,Mindanao,18,32,61,136
PHLVI,Philippines,Visayas,14,25,48,106
SGPXX,Singapore,-,55,63,79,114
THACE,Thailand,Centre,119,153,205,295
THANO,Thailand,North,89,123,168,244
THASO,Thailand,South,21,28,37,53
VNMCE,Vietnam,Centre,46,101,227,262
VNMNO,Vietnam,North,96,210,475,548
VNMSO,Vietnam,South,105,194,400,445
