Region,Province,Province (English),Model code
Jawa,Banten,Banten,IDNBT
Jawa,Jakarta Raya,Jakarta,IDNJK
Jawa,Jawa Barat,West Java,IDNJB
Jawa,Jawa Tengah,Central Java,IDNJT
Jawa,Jawa Timur,East Java,IDNJI
Jawa,Yogyakarta,Yogyakarta,IDNYO
Kalimantan,Kalimantan Barat,West Kalimantan,IDNKB
Kalimantan,Kalimantan Selatan,South Kalimantan,IDNKS
Kalimantan,Kalimantan Tengah,Central Kalimantan,IDNKT
Kalimantan,Kalimantan Timur,East Kalimantan,IDNKI
Kalimantan,Kalimantan Utara,North Kalimantan,IDNKU
Maluku,Maluku,Maluku,IDNMA
Maluku,Maluku Utara,North Maluku,IDNMU
Nusa Tenggara,Bali,Bali,IDNBA
Nusa Tenggara,Nusa Tenggara Barat,West Nusa Tenggara,IDNNB
Nusa Tenggara,Nusa Tenggara Timur,East Nusa Tenggara,IDNNT
Papua,Papua,Papua,IDNPA
Papua,Papua Barat,West Papua,IDNPB
Sulawesi,Gorontalo,Gorontalo,IDNGO
Sulawesi,Sulawesi Selatan,South Sulawesi,IDNSN
Sulawesi,Sulawesi Tengah,Central Sulawesi,IDNST
Sulawesi,Sulawesi Tenggara,Southeast Sulawesi,IDNSG
Sulawesi,Sulawesi Utara,North Sulawesi,IDNSA
Sulawesi,Sulawesi Barat,West Sulawesi,IDNSR
Sumatera,Aceh,Aceh,IDNAC
Sumatera,Bengkulu,Bengkulu,IDNBE
Sumatera,Jambi,Jambi,IDNJA
Sumatera,Kepulauan Bangka Belitung,Bangka-Belitung,IDNBB
Sumatera,Kepulauan Riau,Riau Islands,IDNKR
Sumatera,Lampung,Lampung,IDNLA
Sumatera,Riau,Riau,IDNRI
Sumatera,Sumatera Barat,West Sumatra,IDNSB
Sumatera,Sumatera Selatan,South Sumatra,IDNSS
Sumatera,Sumatera Utara,North Sumatra,IDNSU
