Potential (GW) by province,Solar photovoltaic,Wind - Onshore,Hydropower,Biomass,Geothermal
Banten,175.94,1.21,4.67,0.93,1.31
Jakarta Raya,11.60,0.02,0.09,0.02,0.03
Jawa Barat,11.97,0.00,0.11,0.34,0.64
Jawa Tengah,55.70,0.00,0.85,0.35,0.03
Jawa Timur,11.97,0.01,1.01,0.02,0.04
Yogyakarta,5.98,0.00,0.00,0.01,0.00
Kalimantan Barat,249.47,0.00,0.65,2.06,1.05
Kalimantan Selatan,40.91,0.42,1.45,0.36,6.63
Kalimantan Tengah,54.23,0.19,1.27,0.11,1.83
Kalimantan Timur,66.69,0.21,1.31,0.16,1.16
Kalimantan Utara,983.49,0.00,6.54,3.00,0.05
Maluku,193.80,0.09,0.93,0.87,0.00
Maluku Utara,586.46,0.00,2.49,3.77,0.00
Bali,1100.71,0.00,6.63,2.40,0.00
Nusa Tenggara Barat,135.59,0.00,5.01,0.55,0.00
Nusa Tenggara Timur,209.08,0.00,0.00,0.23,0.03
Papua,20.49,0.00,0.00,0.66,0.00
Papua Barat,64.98,0.00,0.47,1.65,2.86
Gorontalo,196.59,4.86,0.55,0.06,0.23
Sulawesi Selatan,81.05,0.00,0.18,0.01,0.23
Sulawesi Tengah,40.58,0.03,0.03,0.07,0.14
Sulawesi Tenggara,312.49,5.94,0.24,0.14,1.04
Sulawesi Utara,571.50,0.16,19.98,0.36,0.03
Sulawesi Barat,149.57,0.00,2.42,0.15,0.03
Aceh,261.47,0.00,0.14,4.67,0.03
Bengkulu,86.06,6.53,2.65,0.11,0.32
Jambi,156.68,0.00,4.55,0.06,0.37
Kepulauan Bangka Belitung,195.25,0.00,1.10,0.06,0.30
Kepulauan Riau,14.04,0.00,0.00,0.00,0.87
Lampung,72.76,0.00,2.87,1.00,1.62
Riau,389.52,0.00,0.97,5.00,1.91
Sumatera Barat,213.06,0.04,4.98,1.43,3.63
Sumatera Selatan,7.35,0.00,0.06,0.01,0.01
Sumatera Utara,22.27,0.00,0.89,0.11,0.00
