Technology,Unit,2020,2030,2040,2050
BAT,USD\ :sub:`2020`\/kWh,91750,55000,48194,41389
BIO,USD\ :sub:`2020`\/kW,2038,2038,2013,2013
CCG,USD\ :sub:`2020`\/kW,790,790,790,790
COA,USD\ :sub:`2020`\/kW,1442,1442,1442,1442
COG,USD\ :sub:`2020`\/kW,1030,1030,1030,1030
CSP,USD\ :sub:`2020`\/kW,3088,3088,2675,2675
GEO,USD\ :sub:`2020`\/kW,2625,2625,2513,2513
HYD,USD\ :sub:`2020`\/kW,2088,2088,2113,2113
OCG,USD\ :sub:`2020`\/kW,425,425,425,425
OIL,USD\ :sub:`2020`\/kW,1240,1240,1240,1240
OTH,USD\ :sub:`2020`\/kW,1240,1240,1240,1240
PET,USD\ :sub:`2020`\/kW,1240,1240,1240,1240
SPV,USD\ :sub:`2020`\/kW,723,723,615,615
URN,USD\ :sub:`2020`\/kW,3263,3263,3200,3200
WAS,USD\ :sub:`2020`\/kW,6663,6663,6550,6550
WAV,USD\ :sub:`2020`\/kW,4475,4475,3350,3350
WOF,USD\ :sub:`2020`\/kW,2355,2355,1968,1968
WON,USD\ :sub:`2020`\/kW,1513,1513,1475,1475
