REGION,FUEL,YEAR,VALUE
SIMPLICITY,ETH,2014,1.0
SIMPLICITY,RAWSUG,2014,0.5
SIMPLICITY,ETH,2015,1.03
SIMPLICITY,RAWSUG,2015,0.51
SIMPLICITY,ETH,2016,1.061
SIMPLICITY,RAWSUG,2016,0.519
SIMPLICITY,ETH,2017,1.093
SIMPLICITY,RAWSUG,2017,0.529
SIMPLICITY,ETH,2018,1.126
SIMPLICITY,RAWSUG,2018,0.5379999999999999
SIMPLICITY,ETH,2019,1.159
SIMPLICITY,RAWSUG,2019,0.5479999999999999
SIMPLICITY,ETH,2020,1.194
SIMPLICITY,RAWSUG,2020,0.5579999999999999
SIMPLICITY,ETH,2021,1.23
SIMPLICITY,RAWSUG,2021,0.5670000000000001
SIMPLICITY,ETH,2022,1.2670000000000001
SIMPLICITY,RAWSUG,2022,0.5770000000000001
SIMPLICITY,ETH,2023,1.305
SIMPLICITY,RAWSUG,2023,0.5870000000000001
SIMPLICITY,ETH,2024,1.344
SIMPLICITY,RAWSUG,2024,0.596
SIMPLICITY,ETH,2025,1.3840000000000001
SIMPLICITY,RAWSUG,2025,0.606
SIMPLICITY,ETH,2026,1.426
SIMPLICITY,RAWSUG,2026,0.615
SIMPLICITY,ETH,2027,1.469
SIMPLICITY,RAWSUG,2027,0.625
SIMPLICITY,ETH,2028,1.5130000000000001
SIMPLICITY,RAWSUG,2028,0.635
SIMPLICITY,ETH,2029,1.558
SIMPLICITY,RAWSUG,2029,0.644
SIMPLICITY,ETH,2030,1.605
SIMPLICITY,RAWSUG,2030,0.654
SIMPLICITY,ETH,2031,1.653
SIMPLICITY,RAWSUG,2031,0.6629999999999999
SIMPLICITY,ETH,2032,1.702
SIMPLICITY,RAWSUG,2032,0.6729999999999999
SIMPLICITY,ETH,2033,1.754
SIMPLICITY,RAWSUG,2033,0.6829999999999999
SIMPLICITY,ETH,2034,1.806
SIMPLICITY,RAWSUG,2034,0.6920000000000001
SIMPLICITY,ETH,2035,1.86
SIMPLICITY,RAWSUG,2035,0.7020000000000001
SIMPLICITY,ETH,2036,1.916
SIMPLICITY,RAWSUG,2036,0.7120000000000001
SIMPLICITY,ETH,2037,1.974
SIMPLICITY,RAWSUG,2037,0.721
SIMPLICITY,ETH,2038,2.033
SIMPLICITY,RAWSUG,2038,0.731
SIMPLICITY,ETH,2039,2.094
SIMPLICITY,RAWSUG,2039,0.74
SIMPLICITY,ETH,2040,2.157
SIMPLICITY,RAWSUG,2040,0.75
