REGION,EMISSION,YEAR,VALUE
SIMPLICITY,CO2,2014,0.05
SIMPLICITY,CO2,2015,0.05
SIMPLICITY,CO2,2016,0.05
SIMPLICITY,CO2,2017,0.05
SIMPLICITY,CO2,2018,0.05
SIMPLICITY,CO2,2019,0.05
SIMPLICITY,CO2,2020,0.05
SIMPLICITY,CO2,2021,0.05
SIMPLICITY,CO2,2022,0.05
SIMPLICITY,CO2,2023,0.05
SIMPLICITY,CO2,2024,0.05
SIMPLICITY,CO2,2025,0.05
SIMPLICITY,CO2,2026,0.05
SIMPLICITY,CO2,2027,0.05
SIMPLICITY,CO2,2028,0.05
SIMPLICITY,CO2,2029,0.05
SIMPLICITY,CO2,2030,0.05
SIMPLICITY,CO2,2031,0.05
SIMPLICITY,CO2,2032,0.05
SIMPLICITY,CO2,2033,0.05
SIMPLICITY,CO2,2034,0.05
SIMPLICITY,CO2,2035,0.05
SIMPLICITY,CO2,2036,0.05
SIMPLICITY,CO2,2037,0.05
SIMPLICITY,CO2,2038,0.05
SIMPLICITY,CO2,2039,0.05
SIMPLICITY,CO2,2040,0.05
