REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,BACKSTOP1,2014,999999.0
SIMPLICITY,BACKSTOP2,2014,999999.0
SIMPLICITY,ETHPLANT,2014,25.0
SIMPLICITY,GRID_EXP,2014,4000.0
SIMPLICITY,HYD1,2014,4500.0
SIMPLICITY,HYD2,2014,3500.0
SIMPLICITY,LNDSUGPLIR,2014,3.75
SIMPLICITY,LNDSUGPLRF,2014,2.75
SIMPLICITY,NGCC,2014,1100.0
SIMPLICITY,SOLPV1,2014,1700.0
SIMPLICITY,SOLPV2,2014,2700.0
SIMPLICITY,SUGFACTORY,2014,231.1
SIMPLICITY,WINDPOWER,2014,1845.0
SIMPLICITY,BACKSTOP1,2015,999999.0
SIMPLICITY,BACKSTOP2,2015,999999.0
SIMPLICITY,ETHPLANT,2015,25.0
SIMPLICITY,GRID_EXP,2015,4000.0
SIMPLICITY,HYD1,2015,4500.0
SIMPLICITY,HYD2,2015,3500.0
SIMPLICITY,LNDSUGPLIR,2015,3.75
SIMPLICITY,LNDSUGPLRF,2015,2.75
SIMPLICITY,NGCC,2015,1100.0
SIMPLICITY,SOLPV1,2015,1700.0
SIMPLICITY,SOLPV2,2015,2700.0
SIMPLICITY,SUGFACTORY,2015,228.69
SIMPLICITY,WINDPOWER,2015,1808.0
SIMPLICITY,BACKSTOP1,2016,999999.0
SIMPLICITY,BACKSTOP2,2016,999999.0
SIMPLICITY,ETHPLANT,2016,25.0
SIMPLICITY,GRID_EXP,2016,4000.0
SIMPLICITY,HYD1,2016,4500.0
SIMPLICITY,HYD2,2016,3500.0
SIMPLICITY,LNDSUGPLIR,2016,3.75
SIMPLICITY,LNDSUGPLRF,2016,2.75
SIMPLICITY,NGCC,2016,1100.0
SIMPLICITY,SOLPV1,2016,1700.0
SIMPLICITY,SOLPV2,2016,2700.0
SIMPLICITY,SUGFACTORY,2016,226.28
SIMPLICITY,WINDPOWER,2016,1772.0
SIMPLICITY,BACKSTOP1,2017,999999.0
SIMPLICITY,BACKSTOP2,2017,999999.0
SIMPLICITY,ETHPLANT,2017,25.0
