REGION,EMISSION,YEAR,VALUE
SIMPLICITY,CO2,2014,7.5
SIMPLICITY,CO2,2015,7.5
SIMPLICITY,CO2,2016,7.5
SIMPLICITY,CO2,2017,7.5
SIMPLICITY,CO2,2018,7.5
SIMPLICITY,CO2,2019,7.5
SIMPLICITY,CO2,2020,8.0
SIMPLICITY,CO2,2021,8.0
SIMPLICITY,CO2,2022,8.0
SIMPLICITY,CO2,2023,8.0
SIMPLICITY,CO2,2024,8.0
SIMPLICITY,CO2,2025,8.5
SIMPLICITY,CO2,2026,8.5
SIMPLICITY,CO2,2027,8.5
SIMPLICITY,CO2,2028,8.5
SIMPLICITY,CO2,2029,8.5
SIMPLICITY,CO2,2030,9.0
SIMPLICITY,CO2,2031,9.0
SIMPLICITY,CO2,2032,9.0
SIMPLICITY,CO2,2033,9.0
SIMPLICITY,CO2,2034,9.0
SIMPLICITY,CO2,2035,9.5
SIMPLICITY,CO2,2036,9.5
SIMPLICITY,CO2,2037,9.5
SIMPLICITY,CO2,2038,9.5
SIMPLICITY,CO2,2039,9.5
SIMPLICITY,CO2,2040,10.0
