REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,SOLPV1,2014,1.0
SIMPLICITY,SOLPV2,2014,1.0
SIMPLICITY,WINDPOWER,2014,1.0
SIMPLICITY,SOLPV1,2015,1.0
SIMPLICITY,SOLPV2,2015,1.0
SIMPLICITY,WINDPOWER,2015,1.0
SIMPLICITY,SOLPV1,2016,1.0
SIMPLICITY,SOLPV2,2016,1.0
SIMPLICITY,WINDPOWER,2016,1.0
SIMPLICITY,SOLPV1,2017,1.0
SIMPLICITY,SOLPV2,2017,1.0
SIMPLICITY,WINDPOWER,2017,1.0
SIMPLICITY,SOLPV1,2018,1.0
SIMPLICITY,SOLPV2,2018,1.0
SIMPLICITY,WINDPOWER,2018,1.0
SIMPLICITY,SOLPV1,2019,1.0
SIMPLICITY,SOLPV2,2019,1.0
SIMPLICITY,WINDPOWER,2019,1.0
SIMPLICITY,SOLPV1,2020,1.0
SIMPLICITY,SOLPV2,2020,1.0
SIMPLICITY,WINDPOWER,2020,1.0
SIMPLICITY,SOLPV1,2021,1.0
SIMPLICITY,SOLPV2,2021,1.0
SIMPLICITY,WINDPOWER,2021,1.0
SIMPLICITY,SOLPV1,2022,1.0
SIMPLICITY,SOLPV2,2022,1.0
SIMPLICITY,WINDPOWER,2022,1.0
SIMPLICITY,SOLPV1,2023,1.0
SIMPLICITY,SOLPV2,2023,1.0
SIMPLICITY,WINDPOWER,2023,1.0
SIMPLICITY,SOLPV1,2024,1.0
SIMPLICITY,SOLPV2,2024,1.0
SIMPLICITY,WINDPOWER,2024,1.0
SIMPLICITY,SOLPV1,2025,1.0
SIMPLICITY,SOLPV2,2025,1.0
SIMPLICITY,WINDPOWER,2025,1.0
SIMPLICITY,SOLPV1,2026,1.0
SIMPLICITY,SOLPV2,2026,1.0
SIMPLICITY,WINDPOWER,2026,1.0
SIMPLICITY,SOLPV1,2027,1.0
SIMPLICITY,SOLPV2,2027,1.0
SIMPLICITY,WINDPOWER,2027,1.0
SIMPLICITY,SOLPV1,2028,1.0
SIMPLICITY,SOLPV2,2028,1.0
SIMPLICITY,WINDPOWER,2028,1.0
SIMPLICITY,SOLPV1,2029,1.0
SIMPLICITY,SOLPV2,2029,1.0
SIMPLICITY,WINDPOWER,2029,1.0
SIMPLICITY,SOLPV1,2030,1.0
SIMPLICITY,SOLPV2,2030,1.0
SIMPLICITY,WINDPOWER,2030,1.0
SIMPLICITY,SOLPV1,2031,1.0
SIMPLICITY,SOLPV2,2031,1.0
SIMPLICITY,WINDPOWER,2031,1.0
SIMPLICITY,SOLPV1,2032,1.0
SIMPLICITY,SOLPV2,2032,1.0
SIMPLICITY,WINDPOWER,2032,1.0
SIMPLICITY,SOLPV1,2033,1.0
SIMPLICITY,SOLPV2,2033,1.0
SIMPLICITY,WINDPOWER,2033,1.0
SIMPLICITY,SOLPV1,2034,1.0
SIMPLICITY,SOLPV2,2034,1.0
SIMPLICITY,WINDPOWER,2034,1.0
SIMPLICITY,SOLPV1,2035,1.0
SIMPLICITY,SOLPV2,2035,1.0
SIMPLICITY,WINDPOWER,2035,1.0
SIMPLICITY,SOLPV1,2036,1.0
SIMPLICITY,SOLPV2,2036,1.0
SIMPLICITY,WINDPOWER,2036,1.0
SIMPLICITY,SOLPV1,2037,1.0
SIMPLICITY,SOLPV2,2037,1.0
SIMPLICITY,WINDPOWER,2037,1.0
SIMPLICITY,SOLPV1,2038,1.0
SIMPLICITY,SOLPV2,2038,1.0
SIMPLICITY,WINDPOWER,2038,1.0
SIMPLICITY,SOLPV1,2039,1.0
SIMPLICITY,SOLPV2,2039,1.0
SIMPLICITY,WINDPOWER,2039,1.0
SIMPLICITY,SOLPV1,2040,1.0
SIMPLICITY,SOLPV2,2040,1.0
SIMPLICITY,WINDPOWER,2040,1.0
