REGION,FUEL,YEAR,VALUE
GLOBAL,ELCAFGXX02,2015,25.558866
GLOBAL,ELCAFGXX02,2016,25.558866
GLOBAL,ELCAFGXX02,2017,25.558866
GLOBAL,ELCAFGXX02,2018,25.558866
GLOBAL,ELCAFGXX02,2019,25.558866
GLOBAL,ELCAFGXX02,2020,25.558866
GLOBAL,ELCAFGXX02,2021,25.558866
GLOBAL,ELCAFGXX02,2022,25.558866
GLOBAL,ELCAFGXX02,2023,25.558866
GLOBAL,ELCAFGXX02,2024,25.558866
GLOBAL,ELCAFGXX02,2025,25.558866
GLOBAL,ELCAFGXX02,2026,25.558866
GLOBAL,ELCAFGXX02,2027,25.558866
GLOBAL,ELCAFGXX02,2028,25.558866
GLOBAL,ELCAFGXX02,2029,25.558866
GLOBAL,ELCAFGXX02,2030,25.558866
GLOBAL,ELCAFGXX02,2031,25.558866
GLOBAL,ELCAFGXX02,2032,25.558866
GLOBAL,ELCAFGXX02,2033,25.558866
GLOBAL,ELCAFGXX02,2034,25.558866
GLOBAL,ELCAFGXX02,2035,25.558866
GLOBAL,ELCAFGXX02,2036,25.558866
GLOBAL,ELCAFGXX02,2037,25.558866
GLOBAL,ELCAFGXX02,2038,25.558866
GLOBAL,ELCAFGXX02,2039,25.558866
GLOBAL,ELCAFGXX02,2040,25.558866
GLOBAL,ELCAFGXX02,2041,25.558866
GLOBAL,ELCAFGXX02,2042,25.558866
GLOBAL,ELCAFGXX02,2043,25.558866
GLOBAL,ELCAFGXX02,2044,25.558866
GLOBAL,ELCAFGXX02,2045,25.558866
GLOBAL,ELCAFGXX02,2046,25.558866
GLOBAL,ELCAFGXX02,2047,25.558866
GLOBAL,ELCAFGXX02,2048,25.558866
GLOBAL,ELCAFGXX02,2049,25.558866
GLOBAL,ELCAFGXX02,2050,25.558866
GLOBAL,ELCAGOXX02,2015,35.136136799999996
GLOBAL,ELCAGOXX02,2016,35.136136799999996
GLOBAL,ELCAGOXX02,2017,35.136136799999996
GLOBAL,ELCAGOXX02,2018,35.136136799999996
GLOBAL,ELCAGOXX02,2019,35.136136799999996
GLOBAL,ELCAGOXX02,2020,35.136136799999996
GLOBAL,ELCAGOXX02,2021,35.136136799999996
GLOBAL,ELCAGOXX02,2022,35.136136799999996
GLOBAL,ELCAGOXX02,2023,35.136136799999996
GLOBAL,ELCAGOXX02,2024,35.136136799999996
GLOBAL,ELCAGOXX02,2025,35.136136799999996
GLOBAL,ELCAGOXX02,2026,35.136136799999996
GLOBAL,ELCAGOXX02,2027,35.136136799999996
GLOBAL,ELCAGOXX02,2028,35.136136799999996
GLOBAL,ELCAGOXX02,2029,35.136136799999996
GLOBAL,ELCAGOXX02,2030,35.136136799999996
GLOBAL,ELCAGOXX02,2031,35.136136799999996
GLOBAL,ELCAGOXX02,2032,35.136136799999996
GLOBAL,ELCAGOXX02,2033,35.136136799999996
GLOBAL,ELCAGOXX02,2034,35.136136799999996
GLOBAL,ELCAGOXX02,2035,35.136136799999996
GLOBAL,ELCAGOXX02,2036,35.136136799999996
GLOBAL,ELCAGOXX02,2037,35.136136799999996
GLOBAL,ELCAGOXX02,2038,35.136136799999996
GLOBAL,ELCAGOXX02,2039,35.136136799999996
GLOBAL,ELCAGOXX02,2040,35.136136799999996
GLOBAL,ELCAGOXX02,2041,35.136136799999996
GLOBAL,ELCAGOXX02,2042,35.136136799999996
GLOBAL,ELCAGOXX02,2043,35.136136799999996
GLOBAL,ELCAGOXX02,2044,35.136136799999996
GLOBAL,ELCAGOXX02,2045,35.136136799999996
GLOBAL,ELCAGOXX02,2046,35.136136799999996
GLOBAL,ELCAGOXX02,2047,35.136136799999996
GLOBAL,ELCAGOXX02,2048,35.136136799999996
GLOBAL,ELCAGOXX02,2049,35.136136799999996
GLOBAL,ELCAGOXX02,2050,35.136136799999996
GLOBAL,ELCALBXX02,2015,26.2801728
GLOBAL,ELCALBXX02,2016,26.2801728
GLOBAL,ELCALBXX02,2017,26.2801728
GLOBAL,ELCALBXX02,2018,26.2801728
GLOBAL,ELCALBXX02,2019,26.2801728
GLOBAL,ELCALBXX02,2020,26.2801728
GLOBAL,ELCALBXX02,2021,26.2801728
GLOBAL,ELCALBXX02,2022,26.2801728
GLOBAL,ELCALBXX02,2023,26.2801728
GLOBAL,ELCALBXX02,2024,26.2801728
GLOBAL,ELCALBXX02,2025,26.2801728
GLOBAL,ELCALBXX02,2026,26.2801728
GLOBAL,ELCALBXX02,2027,26.2801728
GLOBAL,ELCALBXX02,2028,26.2801728
GLOBAL,ELCALBXX02,2029,26.2801728
GLOBAL,ELCALBXX02,2030,26.2801728
GLOBAL,ELCALBXX02,2031,26.2801728
GLOBAL,ELCALBXX02,2032,26.2801728
GLOBAL,ELCALBXX02,2033,26.2801728
GLOBAL,ELCALBXX02,2034,26.2801728
GLOBAL,ELCALBXX02,2035,26.2801728
GLOBAL,ELCALBXX02,2036,26.2801728
GLOBAL,ELCALBXX02,2037,26.2801728
GLOBAL,ELCALBXX02,2038,26.2801728
GLOBAL,ELCALBXX02,2039,26.2801728
GLOBAL,ELCALBXX02,2040,26.2801728
GLOBAL,ELCALBXX02,2041,26.2801728
GLOBAL,ELCALBXX02,2042,26.2801728
GLOBAL,ELCALBXX02,2043,26.2801728
GLOBAL,ELCALBXX02,2044,26.2801728
GLOBAL,ELCALBXX02,2045,26.2801728
GLOBAL,ELCALBXX02,2046,26.2801728
GLOBAL,ELCALBXX02,2047,26.2801728
GLOBAL,ELCALBXX02,2048,26.2801728
GLOBAL,ELCALBXX02,2049,26.2801728
GLOBAL,ELCALBXX02,2050,26.2801728
GLOBAL,ELCAREXX02,2015,458.67602519999997
GLOBAL,ELCAREXX02,2016,458.67602519999997
GLOBAL,ELCAREXX02,2017,458.67602519999997
GLOBAL,ELCAREXX02,2018,458.67602519999997
