REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,HYD1,2014,0.0
SIMPLICITY,HYD2,2014,0.0
SIMPLICITY,LNDSUGPLIR,2014,5.0
SIMPLICITY,HYD1,2015,0.0
SIMPLICITY,HYD2,2015,0.0
SIMPLICITY,LNDSUGPLIR,2015,5.0
SIMPLICITY,HYD1,2016,0.0
SIMPLICITY,HYD2,2016,0.0
SIMPLICITY,LNDSUGPLIR,2016,5.0
SIMPLICITY,HYD1,2017,0.0
SIMPLICITY,HYD2,2017,0.0
SIMPLICITY,LNDSUGPLIR,2017,5.0
SIMPLICITY,HYD1,2018,0.0
SIMPLICITY,HYD2,2018,0.0
SIMPLICITY,LNDSUGPLIR,2018,5.0
SIMPLICITY,HYD1,2019,0.0
SIMPLICITY,HYD2,2019,0.0
SIMPLICITY,LNDSUGPLIR,2019,5.0
SIMPLICITY,HYD1,2020,0.02
SIMPLICITY,HYD2,2020,0.0
SIMPLICITY,LNDSUGPLIR,2020,5.0
SIMPLICITY,HYD1,2021,0.0
SIMPLICITY,HYD2,2021,0.0
SIMPLICITY,LNDSUGPLIR,2021,5.0
SIMPLICITY,HYD1,2022,0.0
SIMPLICITY,HYD2,2022,0.1
SIMPLICITY,LNDSUGPLIR,2022,5.0
SIMPLICITY,HYD1,2023,0.0
SIMPLICITY,HYD2,2023,0.1
SIMPLICITY,LNDSUGPLIR,2023,5.0
SIMPLICITY,HYD1,2024,0.0
SIMPLICITY,HYD2,2024,0.1
SIMPLICITY,LNDSUGPLIR,2024,7.5
SIMPLICITY,HYD1,2025,0.0
SIMPLICITY,HYD2,2025,0.1
SIMPLICITY,LNDSUGPLIR,2025,7.5
SIMPLICITY,HYD1,2026,0.0
SIMPLICITY,HYD2,2026,0.1
SIMPLICITY,LNDSUGPLIR,2026,7.5
SIMPLICITY,HYD1,2027,0.0
SIMPLICITY,HYD2,2027,0.1
SIMPLICITY,LNDSUGPLIR,2027,7.5
SIMPLICITY,HYD1,2028,0.0
SIMPLICITY,HYD2,2028,0.1
SIMPLICITY,LNDSUGPLIR,2028,7.5
SIMPLICITY,HYD1,2029,0.0
SIMPLICITY,HYD2,2029,0.1
SIMPLICITY,LNDSUGPLIR,2029,7.5
SIMPLICITY,HYD1,2030,0.0
SIMPLICITY,HYD2,2030,0.1
SIMPLICITY,LNDSUGPLIR,2030,7.5
SIMPLICITY,HYD1,2031,0.0
SIMPLICITY,HYD2,2031,0.1
SIMPLICITY,LNDSUGPLIR,2031,7.5
SIMPLICITY,HYD1,2032,0.0
SIMPLICITY,HYD2,2032,0.1
SIMPLICITY,LNDSUGPLIR,2032,7.5
SIMPLICITY,HYD1,2033,0.0
SIMPLICITY,HYD2,2033,0.1
SIMPLICITY,LNDSUGPLIR,2033,7.5
SIMPLICITY,HYD1,2034,0.0
SIMPLICITY,HYD2,2034,0.1
SIMPLICITY,LNDSUGPLIR,2034,10.0
SIMPLICITY,HYD1,2035,0.0
SIMPLICITY,HYD2,2035,0.1
SIMPLICITY,LNDSUGPLIR,2035,10.0
SIMPLICITY,HYD1,2036,0.0
SIMPLICITY,HYD2,2036,0.1
SIMPLICITY,LNDSUGPLIR,2036,10.0
SIMPLICITY,HYD1,2037,0.0
SIMPLICITY,HYD2,2037,0.1
SIMPLICITY,LNDSUGPLIR,2037,10.0
SIMPLICITY,HYD1,2038,0.0
SIMPLICITY,HYD2,2038,0.1
SIMPLICITY,LNDSUGPLIR,2038,10.0
SIMPLICITY,HYD1,2039,0.0
SIMPLICITY,HYD2,2039,0.1
SIMPLICITY,LNDSUGPLIR,2039,10.0
SIMPLICITY,HYD1,2040,0.0
SIMPLICITY,HYD2,2040,0.1
SIMPLICITY,LNDSUGPLIR,2040,10.0
