REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,LNDRES,2014,300.0
SIMPLICITY,RIVER,2014,10.0
SIMPLICITY,LNDRES,2015,300.0
SIMPLICITY,RIVER,2015,10.0
SIMPLICITY,LNDRES,2016,300.0
SIMPLICITY,RIVER,2016,10.0
SIMPLICITY,LNDRES,2017,300.0
SIMPLICITY,RIVER,2017,10.0
SIMPLICITY,LNDRES,2018,300.0
SIMPLICITY,RIVER,2018,10.0
SIMPLICITY,LNDRES,2019,300.0
SIMPLICITY,RIVER,2019,10.0
SIMPLICITY,LNDRES,2020,300.0
SIMPLICITY,RIVER,2020,10.0
SIMPLICITY,LNDRES,2021,300.0
SIMPLICITY,RIVER,2021,10.0
SIMPLICITY,LNDRES,2022,300.0
SIMPLICITY,RIVER,2022,10.0
SIMPLICITY,LNDRES,2023,300.0
SIMPLICITY,RIVER,2023,10.0
SIMPLICITY,LNDRES,2024,300.0
SIMPLICITY,RIVER,2024,10.0
SIMPLICITY,LNDRES,2025,300.0
SIMPLICITY,RIVER,2025,10.0
SIMPLICITY,LNDRES,2026,300.0
SIMPLICITY,RIVER,2026,10.0
SIMPLICITY,LNDRES,2027,300.0
SIMPLICITY,RIVER,2027,10.0
SIMPLICITY,LNDRES,2028,300.0
SIMPLICITY,RIVER,2028,10.0
SIMPLICITY,LNDRES,2029,300.0
SIMPLICITY,RIVER,2029,10.0
SIMPLICITY,LNDRES,2030,300.0
SIMPLICITY,RIVER,2030,10.0
SIMPLICITY,LNDRES,2031,300.0
SIMPLICITY,RIVER,2031,10.0
SIMPLICITY,LNDRES,2032,300.0
SIMPLICITY,RIVER,2032,10.0
SIMPLICITY,LNDRES,2033,300.0
SIMPLICITY,RIVER,2033,10.0
SIMPLICITY,LNDRES,2034,300.0
SIMPLICITY,RIVER,2034,10.0
SIMPLICITY,LNDRES,2035,300.0
SIMPLICITY,RIVER,2035,10.0
SIMPLICITY,LNDRES,2036,300.0
SIMPLICITY,RIVER,2036,10.0
SIMPLICITY,LNDRES,2037,300.0
SIMPLICITY,RIVER,2037,10.0
SIMPLICITY,LNDRES,2038,300.0
SIMPLICITY,RIVER,2038,10.0
SIMPLICITY,LNDRES,2039,300.0
SIMPLICITY,RIVER,2039,10.0
SIMPLICITY,LNDRES,2040,300.0
SIMPLICITY,RIVER,2040,10.0
