PLEXOS_Nodes,Country,PLEXOS_Countries,Share_%_Country_Demand,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
EU-AUT,AUT,EU-AUT,1.0,GWh,75359.98,75359.98,75359.98,75359.98,75359.98,75359.98,75479.708,75599.436,75719.16399999999,75838.89199999999,75958.62,77241.166,78523.712,79806.258,81088.804,82371.35,83640.782,84910.214,86179.646,87449.078,88718.51,90015.372,91312.234,92609.096,93905.958,95202.82,96573.05200000001,97943.284,99313.516,100683.74799999999,102053.98,103455.556,104857.132,106258.708,107660.284,109061.86,110404.298,111746.736,113089.174,114431.61200000001,115774.05,117068.55,118363.05,119657.55,120952.05,122246.55,123514.096,124781.642,126049.188,127316.734,128584.28,129817.652,131051.024,132284.396,133517.768,134751.14,135930.64800000002,137110.15600000002,138289.664,139469.172,140648.68,141775.328,142901.976,144028.624,145155.272,146281.92,147327.33800000002,148372.75600000002,149418.174,150463.592,151509.01,152455.79,153402.57,154349.35,155296.13,156242.91,157094.71600000001,157946.522,158798.328,159650.134,160501.94,161264.846,162027.752,162790.658,163553.564,164316.47,164985.526,165654.582,166323.638,166992.694,167661.75
EU-BEL,BEL,EU-BEL,1.0,GWh,133679.83,134918.44,136157.05,137395.66,138634.27,139872.88,141177.336,142481.79200000002,143786.248,145090.704,146395.16,147864.304,149333.448,150802.592,152271.736,153740.88,155388.508,157036.136,158683.764,160331.392,161979.02,163745.57799999998,165512.136,167278.694,169045.252,170811.81,172628.756,174445.702,176262.64800000002,178079.594,179896.54,181717.858,183539.176,185360.494,187181.812,189003.13,190797.45,192591.77000000002,194386.09,196180.41,197974.73,199788.28600000002,201601.842,203415.39800000002,205228.954,207042.51,208912.806,210783.102,212653.398,214523.694,216393.99,218261.478,220128.966,221996.454,223863.94199999998,225731.43,227555.838,229380.24599999998,231204.654,233029.062,234853.47,236626.85,238400.23,240173.61,241946.99,243720.37,245446.21,247172.05,248897.89,250623.73,252349.57,254019.522,255689.474,257359.426,259029.378,260699.33,262317.644,263935.958,265554.272,267172.586,268790.9,270355.09400000004,271919.288,273483.482,275047.676,276611.87,278045.392,279478.914,280912.436,282345.958,283779.48
EU-BGR,BGR,EU-BGR,1.0,GWh,40572.85,41121.702,41670.554,42219.406,42768.258,43317.11,44080.948000000004,44844.786,45608.624,46372.462,47136.3,47865.334,48594.368,49323.402,50052.436,50781.47,51505.238,52229.006,52952.774,53676.542,54400.31,55097.27,55794.229999999996,56491.19,57188.15,57885.11,58532.340000000004,59179.57,59826.8,60474.03,61121.26,61735.29,62349.32,62963.350000000006,63577.380000000005,64191.41,64754.132000000005,65316.85400000001,65879.576,66442.29800000001,67005.02,67547.484,68089.948,68632.412,69174.876,69717.34,70279.216,70841.092,71402.968,71964.844,72526.72,73049.54000000001,73572.36,74095.18000000001,74618.0,75140.82,75579.84800000001,76018.876,76457.90400000001,76896.932,77335.96,77681.28,78026.6,78371.92,78717.24,79062.56,79348.628,79634.696,79920.764,80206.832,80492.9,80737.73,80982.56,81227.39,81472.22,81717.05,81930.172,82143.29400000001,82356.416,82569.538,82782.66,82959.388,83136.11600000001,83312.844,83489.572,83666.3,83792.75200000001,83919.204,84045.656,84172.108,84298.56
EU-BIH,BIH,EU-BIH,1.0,GWh,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13874.228,14248.456,14622.684,14996.912,15371.14,15785.645999999999,16200.151999999998,16614.658,17029.163999999997,17443.67,17812.199999999997,18180.73,18549.26,18917.79,19286.32,19593.036,19899.752,20206.468,20513.184,20819.9,21066.952,21314.004,21561.056,21808.108,22055.16,22271.336,22487.512,22703.688000000002,22919.864,23136.04,23293.856,23451.672,23609.488,23767.304,23925.12,24043.392,24161.664,24279.935999999998,24398.208,24516.48,24597.114,24677.748,24758.382,24839.016,24919.65,24961.616,25003.582000000002,25045.548,25087.514,25129.48,25148.012,25166.543999999998,25185.076,25203.608,25222.14,25227.572,25233.004,25238.435999999998,25243.868,25249.3,25248.332,25247.363999999998,25246.396,25245.428,25244.46,25241.054,25237.648,25234.242,25230.836,25227.43
EU-CHE,CHE,EU-CHE,1.0,GWh,69333.78,70772.094,72210.408,73648.72200000001,75087.03600000001,76525.35,78050.93000000001,79576.51000000001,81102.09,82627.67,84153.25,85618.894,87084.538,88550.182,90015.826,91481.47,92900.3,94319.13,95737.95999999999,97156.79,98575.62,100008.70199999999,101441.784,102874.866,104307.948,105741.03,107292.184,108843.338,110394.492,111945.64600000001,113496.8,115142.908,116789.016,118435.124,120081.232,121727.34,123415.31999999999,125103.3,126791.28,128479.26000000001,130167.24,131926.922,133686.604,135446.286,137205.968,138965.65,140745.16,142524.67,144304.18,146083.69,147863.2,149634.68600000002,151406.17200000002,153177.658,154949.144,156720.63,158467.912,160215.19400000002,161962.476,163709.758,165457.04,167150.994,168844.948,170538.902,172232.856,173926.81,175570.388,177213.96600000001,178857.544,180501.122,182144.7,183716.154,185287.608,186859.062,188430.516,190001.97,191446.988,192892.006,194337.024,195782.042,197227.06,198545.818,199864.576,201183.334,202502.092,203820.85,205043.758,206266.666,207489.57400000002,208712.48200000002,209935.39
EU-CYP,CYP,EU-CYP,1.0,GWh,6539.18,6677.828,6816.476000000001,6955.124,7093.772,7232.42,7418.736,7605.052,7791.368,7977.684,8164.0,8356.692,8549.384,8742.076,8934.768,9127.46,9330.374,9533.288,9736.202,9939.116,10142.03,10343.508,10544.986,10746.464,10947.942000000001,11149.42,11347.94,11546.460000000001,11744.98,11943.5,12142.02,12341.306,12540.592,12739.878,12939.164,13138.45,13334.182,13529.914,13725.646,13921.378,14117.11,14311.806,14506.502,14701.198,14895.894,15090.59,15286.022,15481.454,15676.886,15872.318,16067.75,16254.93,16442.11,16629.29,16816.47,17003.65,17177.738,17351.826,17525.914,17700.002,17874.09,18029.29,18184.49,18339.69,18494.89,18650.09,18784.556,18919.022,19053.487999999998,19187.953999999998,19322.42,19436.868,19551.316,19665.764,19780.212,19894.66,19994.88,20095.1,20195.32,20295.539999999997,20395.76,20486.688,20577.615999999998,20668.544,20759.472,20850.4,20933.062,21015.724000000002,21098.386,21181.048,21263.71
EU-CZE,CZE,EU-CZE,1.0,GWh,74670.82,76521.528,78372.236,80222.944,82073.652,83924.36,86018.2,88112.04,90205.88,92299.72,94393.56,96532.668,98671.776,100810.884,102949.992,105089.1,107312.71800000001,109536.33600000001,111759.954,113983.572,116207.19,118454.85,120702.51000000001,122950.17,125197.83,127445.49,129679.79800000001,131914.106,134148.414,136382.722,138617.03,140743.502,142869.97400000002,144996.446,147122.918,149249.39,151426.31600000002,153603.242,155780.168,157957.09399999998,160134.02,162260.012,164386.004,166511.996,168637.988,170763.98,172889.44400000002,175014.908,177140.372,179265.83599999998,181391.3,183548.76799999998,185706.236,187863.704,190021.17200000002,192178.64,194238.0,196297.36000000002,198356.72,200416.08000000002,202475.44,204328.494,206181.548,208034.60199999998,209887.656,211740.71,213463.72199999998,215186.734,216909.74599999998,218632.758,220355.77,222003.478,223651.186,225298.894,226946.60199999998,228594.31,230185.56399999998,231776.818,233368.072,234959.326,236550.58,238120.466,239690.35199999998,241260.238,242830.124,244400.01,245949.082,247498.154,249047.226,250596.298,252145.37
EU-DEU,DEU,EU-DEU,1.0,GWh,678378.47,689970.248,701562.026,713153.804,724745.5819999999,736337.36,745782.546,755227.732,764672.9180000001,774118.104,783563.29,791899.848,800236.406,808572.964,816909.522,825246.08,833030.6279999999,840815.176,848599.7239999999,856384.272,864168.82,872188.0519999999,880207.284,888226.516,896245.748,904264.98,913214.444,922163.908,931113.372,940062.836,949012.3,957690.8620000001,966369.424,975047.986,983726.548,992405.11,1000375.546,1008345.982,1016316.4180000001,1024286.854,1032257.29,1039756.9280000001,1047256.566,1054756.204,1062255.842,1069755.48,1077608.2,1085460.92,1093313.6400000001,1101166.36,1109019.08,1116628.47,1124237.86,1131847.25,1139456.6400000001,1147066.03,1154626.518,1162187.006,1169747.494,1177307.982,1184868.47,1192132.72,1199396.97,1206661.22,1213925.47,1221189.72,1227997.868,1234806.016,1241614.1639999999,1248422.312,1255230.46,1261383.788,1267537.116,1273690.4440000001,1279843.772,1285997.1,1291558.35,1297119.6,1302680.85,1308242.1,1313803.35,1318923.1940000001,1324043.0380000002,1329162.882,1334282.726,1339402.57,1343778.07,1348153.57,1352529.07,1356904.57,1361280.07
EU-DNK,DNK,EU-DNK,1.0,GWh,59379.7,60129.112,60878.524,61627.936,62377.348,63126.76,63914.272000000004,64701.78400000001,65489.296,66276.808,67064.32,67804.97,68545.62000000001,69286.27,70026.92000000001,70767.57,71495.282,72222.994,72950.706,73678.418,74406.13,75153.27,75900.41,76647.55,77394.69,78141.83,78957.602,79773.374,80589.14600000001,81404.918,82220.69,83130.352,84040.014,84949.676,85859.338,86769.0,87765.618,88762.236,89758.85399999999,90755.472,91752.09,92796.842,93841.594,94886.346,95931.098,96975.85,98069.868,99163.886,100257.90400000001,101351.922,102445.94,103584.158,104722.376,105860.594,106998.812,108137.03,109317.082,110497.13399999999,111677.186,112857.238,114037.29,115260.014,116482.738,117705.462,118928.186,120150.91,121429.594,122708.278,123986.962,125265.64600000001,126544.33,127851.826,129159.322,130466.818,131774.314,133081.81,134397.348,135712.886,137028.424,138343.962,139659.5,140979.318,142299.136,143618.954,144938.772,146258.59,147594.274,148929.958,150265.642,151601.326,152937.01
EU-EST,EST,EU-EST,1.0,GWh,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9499.97,9653.923999999999,9807.877999999999,9961.832,10115.786,10269.74,10445.066,10620.392,10795.718,10971.044,11146.37,11329.926000000001,11513.482,11697.038,11880.594,12064.15,12254.528,12444.906,12635.284,12825.662,13016.04,13206.300000000001,13396.560000000001,13586.82,13777.08,13967.34,14145.412,14323.484,14501.556,14679.628,14857.7,15012.210000000001,15166.720000000001,15321.23,15475.74,15630.25,15796.576000000001,15962.902,16129.228000000001,16295.554,16461.88,16636.594,16811.308,16986.022,17160.736,17335.45,17507.62,17679.79,17851.96,18024.13,18196.3,18355.273999999998,18514.248,18673.221999999998,18832.196,18991.17,19142.634,19294.097999999998,19445.562,19597.026,19748.49,19894.632,20040.774,20186.916,20333.058,20479.2,20627.906,20776.612,20925.318,21074.024,21222.73,21380.12,21537.51,21694.9,21852.29,22009.68,22170.348,22331.016,22491.684,22652.352,22813.02
