region,lat,long
AFGXX,36.77903,69.949081
AGOXX,-8.8383,13.2344
ALBXX,41.3275,19.8189
AREXX,25.23,55.28
ARGXX,-34.6025,-58.3975
ARMXX,40.1812,44.5136
AUSNT,-12.4254,130.85
AUSQL,-27.455,153.0351
AUSSA,-34.935,138.6
AUSSW,-33.92,151.1852
AUSTA,-42.85,147.295
AUSVI,-37.82,144.975
AUSWA,-31.955,115.84
AUTXX,48.2,16.3666
AZEXX,40.3953,49.8622
BDIXX,-3.3761,29.36
BELXX,50.8333,4.3333
BENXX,7.1904,1.99
BFAXX,12.3703,-1.5247
BGDXX,23.7231,90.4086
BGRXX,42.6833,23.3167
BHRXX,26.2361,50.5831
BIHXX,43.85,18.383
BLRXX,53.9,27.5666
BLZXX,17.4987,-88.1884
BOLXX,-17.7539,-63.226
BRACN,-1.45,-48.48
BRACW,-15.7833,-47.9161
BRANE,-12.97,-38.48
BRANW,-3.1,-60
BRASE,-23.533773,-46.62529
BRASO,-25.42,-49.32
BRAWE,-8.75,-63.9
BRNXX,4.8833,114.9333
BTNXX,27.473,89.639
BWAXX,-24.6463,25.9119
CAFXX,4.3666,18.5583
CANAB,51.083,-114.08
CANAR,44.65,-63.6
CANBC,49.2734,-123.1216
CANMB,49.883,-97.166
CANNL,47.560539,-52.71283
CANNO,62.442,-114.397
CANON,43.7,-79.42
CANQC,45.5,-73.5833
CANSK,52.17,-106.67
CHEXX,47.38,8.55
CHLXX,-33.45,-70.667
CHNAN,31.85,117.28
CHNBE,39.9289,116.3883
CHNCH,29.565,106.595
CHNEM,42.27,118.95
CHNFU,24.45,118.08
CHNGA,36.056,103.792
CHNGD,23.145,113.325
CHNGU,26.58,106.72
CHNGX,22.82,108.32
CHNHA,20.05,110.32
CHNHB,38.05,114.48
CHNHE,34.755,113.6651
CHNHJ,45.75,126.65
CHNHK,22.305,114.185
CHNHN,28.2,112.97
CHNHU,30.58,114.27
CHNJI,43.865,125.34
CHNJS,32.05,118.78
CHNJX,28.68,115.88
CHNLI,41.805,123.45
CHNMA,22.203,113.545
CHNNI,38.468,106.273
CHNQI,36.62,101.77
CHNSC,30.67,104.07
CHNSD,36.09,120.33
CHNSH,31.2165,121.4365
CHNSI,34.275,108.895
CHNSX,37.875,112.5451
CHNTI,29.645,91.1
CHNTJ,39.13,117.2
CHNWM,40.6522,109.822
CHNXI,43.805,87.575
CHNYU,25.07,102.68
CHNZH,30.25,120.17
CIVXX,5.32,-4.04
CMRXX,3.8667,11.5167
