FUEL_TYPE,CUSTOM_NODE,CAPACITY
GEO,AGOXX,0
SPV,AGOXX,16
WON,AGOXX,4
HYD,AGOXX,18
GEO,BWAXX,0
SPV,BWAXX,13764
WON,BWAXX,0
HYD,BWAXX,0
CSP,BWAXX,364
GEO,CODXX,0
SPV,CODXX,2610
WON,CODXX,248
HYD,CODXX,100
GEO,LSOXX,0
SPV,LSOXX,107
WON,LSOXX,5
HYD,LSOXX,0
CSP,LSOXX,128
GEO,SWZXX,0
SPV,SWZXX,65
WON,SWZXX,54
HYD,SWZXX,0
CSP,SWZXX,64
GEO,MWIXX,0
SPV,MWIXX,595
WON,MWIXX,227
HYD,MWIXX,1
CSP,MWIXX,511
GEO,MOZXX,0
SPV,MOZXX,595
WON,MOZXX,227
HYD,MOZXX,12
CSP,MOZXX,511
GEO,NAMXX,0
SPV,NAMXX,2989
WON,NAMXX,1735
HYD,NAMXX,1
CSP,NAMXX,3392
GEO,ZAFXX,0
SPV,ZAFXX,4822
WON,ZAFXX,4703
HYD,ZAFXX,1
CSP,ZAFXX,4940
GEO,TZAXX,1
SPV,TZAXX,4430
WON,TZAXX,2107
HYD,TZAXX,4
CSP,TZAXX,3594
GEO,ZMBXX,0
SPV,ZMBXX,2043
WON,ZMBXX,1510
HYD,ZMBXX,6
CSP,ZMBXX,1791
GEO,ZWEXX,0
SPV,ZWEXX,1811
WON,ZWEXX,1386
HYD,ZWEXX,2
CSP,ZWEXX,1355
BIO,ZWEXX,0.4
BIO,AGOXX,4
BIO,BWAXX,0
BIO,CODXX,0
 
