NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
BTNXX,45.6,45.8,46.8,52.4,66.3,80,80,80,80,56.9,46.4,45.7
INDEA,7.1,7.4,7.5,13,24.4,67.4,67.4,67.4,67.4,32.8,9.3,6.7
INDNE,6.7,7.7,13.3,27.8,58.3,67.4,67.4,67.4,65.5,36.5,9.7,7.1
INDNO,21.8,28.9,37.8,31.6,33.7,60.5,67.4,67.4,64.1,18,7.1,11.4
INDSO,6.9,6.9,7.8,12,26.9,66.7,67.4,67.4,55.8,60.6,34.6,13.3
INDWE,7.9,8.1,7,6.9,8.8,67.4,67.4,67.4,67.4,28.2,10.2,7.9
BGDXX,36.2,29.3,31,24.1,20.7,41.4,74.1,98.3,91.4,100,69,34.5
COLXX,90,80,90.3,85.4,94.9,91.5,99.1,100,93.3,92.2,96.9,90.9
FJIXX,77.1,68.9,58.2,55.3,52.3,64.6,73,97.9,100,96.1,96.1,82
GMBXX,0,0,0,0,0,0,0,0,0,0,0,0
GHAXX,90,80,90.3,85.4,94.9,91.5,99.1,100,93.3,92.2,96.9,90.9
HNDXX,90,80,90.3,85.4,94.9,91.5,99.1,100,93.3,92.2,96.9,90.9
MDGXX,90,80,90.3,85.4,94.9,91.5,99.1,100,93.3,92.2,96.9,90.9
PAKXX,15,34.5,32.7,41,67.5,76.6,93.4,100,87.2,54.9,49.3,32.1
PHLXX,77.1,68.9,58.2,55.3,52.3,64.6,73,97.9,100,96.1,96.1,82
TZAXX,90,80,90.3,85.4,94.9,91.5,99.1,100,93.3,92.2,96.9,90.9
CPVXX,0,0,0,0,0,0,0,0,0,0,0,0
