Datetime,BTNXX,INDEA,INDNE,INDNO,INDSO,INDWE,BGDXX,COLXX,FJIXX,GMBXX,GHAXX,HNDXX,MDGXX,PAKXX,PHLXX,TZAXX,CPVXX
01/01/2015 00:00,0.1,12.6,2.9,31.5,2.8,20.5,0.043,0.653,0.961,0.123,0.481,0.167,0.196,0,0.294,0.125,0.502
01/01/2015 01:00,0.2,12.3,3.4,31.3,2.3,19.3,0.048,0.798,0.916,0.167,0.467,0.203,0.194,0,0.272,0.111,0.565
01/01/2015 02:00,0.2,12.1,2.2,28.4,1.5,17.1,0.018,0.668,0.853,0.192,0.459,0.179,0.184,0,0.224,0.095,0.613
01/01/2015 03:00,0.2,14.2,0.7,17,1.9,14.8,0.007,0.58,0.8,0.21,0.433,0.143,0.158,0,0.158,0.079,0.64
01/01/2015 04:00,0.3,13.5,0.4,10.1,2.1,14,0.004,0.581,0.76,0.248,0.388,0.12,0.21,0,0.1,0.107,0.672
01/01/2015 05:00,0.7,14,0.4,15.2,2.5,13.8,0.001,0.652,0.72,0.329,0.323,0.114,0.187,0,0.06,0.189,0.698
01/01/2015 06:00,1.3,17.4,0.4,20.8,3.5,14.2,0,0.683,0.706,0.404,0.248,0.113,0.154,0,0.039,0.207,0.723
01/01/2015 07:00,2,19.7,0.4,18,5.1,14.5,0,0.66,0.718,0.467,0.101,0.114,0.119,0,0.025,0.161,0.756
01/01/2015 08:00,2.6,17.7,0.3,17.8,7.1,15.3,0,0.601,0.73,0.376,0.104,0.118,0.085,0,0.016,0.101,0.791
01/01/2015 09:00,1.8,15.4,0.1,21,9.8,17.3,0,0.613,0.734,0.231,0.336,0.12,0.051,0,0.015,0.066,0.822
01/01/2015 10:00,0.3,11.8,0.1,26.1,12,20.1,0,0.557,0.737,0.338,0.399,0.153,0.026,0.003,0.026,0.046,0.843
01/01/2015 11:00,0.1,10.5,0.1,29.7,12.4,22.8,0.002,0.507,0.741,0.503,0.372,0.17,0.011,0.023,0.045,0.038,0.848
