FUEL,COUNTRY,VALUE,YEAR
GAS,IDN,453,2021
GAS,IDN,933,2035
GAS,IDN,933,2050
COA,IDN,3300,2021
COA,IDN,3300,2050
OIL,IDN,0,2021
OIL,IDN,0,2050
GAS,VNM,89,2021
GAS,VNM,178,2035
GAS,VNM,178,2050
COA,VNM,510,2021
COA,VNM,510,2050
OIL,VNM,0,2021
OIL,VNM,0,2050
GAS,MYS,667,2021
GAS,MYS,1335,2035
GAS,MYS,1335,2050
COA,MYS,0,2021
COA,MYS,0,2050
OIL,MYS,0,2021
OIL,MYS,0,2050
GAS,PHL,35,2021
GAS,PHL,71,2035
GAS,PHL,71,2050
COA,PHL,129,2021
COA,PHL,129,2050
OIL,PHL,0,2021
OIL,PHL,0,2050
GAS,LAO,0,2021
GAS,LAO,0,2035
GAS,LAO,0,2050
COA,LAO,236,2021
COA,LAO,236,2050
OIL,LAO,0,2021
OIL,LAO,0,2050
GAS,THA,339,2021
GAS,THA,678,2035
GAS,THA,678,2050
COA,THA,140,2021
COA,THA,140,2050
OIL,THA,0,2021
OIL,THA,0,2050
GAS,KHM,0,2021
GAS,KHM,0,2035
GAS,KHM,0,2050
COA,KHM,0,2021
COA,KHM,0,2050
OIL,KHM,0,2021
OIL,KHM,0,2050
GAS,SGP,0,2021
GAS,SGP,0,2035
GAS,SGP,0,2050
COA,SGP,0,2021
COA,SGP,0,2050
OIL,SGP,0,2021
OIL,SGP,0,2050
GAS,BRN,108,2021
GAS,BRN,216,2035
GAS,BRN,216,2050
COA,BRN,0,2021
COA,BRN,0,2050
OIL,BRN,0,2021
OIL,BRN,0,2050
GAS,MMR,157,2021
GAS,MMR,315,2035
GAS,MMR,315,2050
COA,MMR,0,2021
COA,MMR,0,2050
OIL,MMR,0,2021
OIL,MMR,0,2050
