TYPE,COUNTRY,METHOD,MAX_BUILD,START_YEAR,END_YEAR
BIO,BGD,ABS,0,2021,2023
BIO,BGD,ABS,5,2024,2033
BIO,BGD,ABS,10,2034,2050
BIO,BTN,ABS,0,2021,2023
BIO,BTN,ABS,5,2024,2033
BIO,BTN,ABS,10,2034,2050
BIO,IND,ABS,0,2021,2023
BIO,IND,ABS,5,2024,2033
BIO,IND,ABS,10,2034,2050
BIO,NPL,ABS,0,2021,2023
BIO,NPL,ABS,5,2024,2033
BIO,NPL,ABS,10,2034,2050
CCG,BGD,ABS,0,2021,2023
CCG,BTN,ABS,0,2021,2023
CCG,IND,ABS,0,2021,2023
CCG,NPL,ABS,0,2021,2023
CCS,BGD,ABS,0,2021,2039
CCS,BTN,ABS,0,2021,2039
CCS,IND,ABS,0,2021,2039
CCS,NPL,ABS,0,2021,2039
COA,BGD,ABS,0,2021,2023
COA,BTN,ABS,0,2021,2023
COA,IND,ABS,0,2021,2023
COA,NPL,ABS,0,2021,2023
GEO,BGD,ABS,0,2021,2023
GEO,BGD,PCT,20,2024,2050
GEO,BTN,ABS,0,2021,2023
GEO,BTN,PCT,20,2024,2050
GEO,IND,ABS,0,2021,2023
GEO,IND,PCT,20,2024,2050
GEO,NPL,ABS,0,2021,2023
GEO,NPL,PCT,20,2024,2050
HYD,BGD,ABS,0,2021,2023
HYD,BGD,PCT,20,2024,2030
HYD,BTN,ABS,0,2021,2023
HYD,BTN,PCT,20,2024,2030
HYD,IND,ABS,0,2021,2023
HYD,IND,PCT,20,2024,2030
HYD,NPL,ABS,0,2021,2023
HYD,NPL,PCT,20,2024,2030
OCG,BGD,ABS,0,2021,2023
OCG,BTN,ABS,0,2021,2023
OCG,IND,ABS,0,2021,2023
OCG,NPL,ABS,0,2021,2023
OIL,BGD,ABS,0,2021,2023
OIL,BTN,ABS,0,2021,2023
OIL,IND,ABS,0,2021,2023
OIL,NPL,ABS,0,2021,2023
SPV,BGD,ABS,0,2021,2023
SPV,BGD,PCT,10,2024,2050
SPV,BTN,ABS,0,2021,2023
SPV,BTN,PCT,10,2024,2050
SPV,IND,ABS,0,2021,2023
SPV,IND,PCT,10,2024,2050
SPV,NPL,ABS,0,2021,2023
SPV,NPL,PCT,10,2024,2050
URN,BGD,ABS,0,2021,2030
URN,BGD,ABS,2,2031,2050
URN,BTN,ABS,0,2021,2050
URN,IND,ABS,0,2021,2030
URN,IND,ABS,2,2031,2050
URN,NPL,ABS,0,2021,2050
WAS,BGD,ABS,0,2021,2023
WAS,BGD,ABS,0.5,2024,2033
WAS,BGD,ABS,1,2034,2050
WAS,BTN,ABS,0,2021,2023
WAS,BTN,ABS,0.5,2024,2033
WAS,BTN,ABS,1,2034,2050
WAS,IND,ABS,0,2021,2023
WAS,IND,ABS,0.5,2024,2033
WAS,IND,ABS,1,2034,2050
WAS,NPL,ABS,0,2021,2023
WAS,NPL,ABS,0.5,2024,2033
WAS,NPL,ABS,1,2034,2050
WOF,BGD,ABS,0,2021,2023
WOF,BGD,PCT,20,2024,2050
WOF,BTN,ABS,0,2021,2023
WOF,BTN,PCT,20,2024,2050
WOF,IND,ABS,0,2021,2023
WOF,IND,PCT,20,2024,2050
WOF,NPL,ABS,0,2021,2023
WOF,NPL,PCT,20,2024,2050
WON,BGD,ABS,0,2021,2023
WON,BGD,PCT,10,2024,2050
WON,BTN,ABS,0,2021,2023
WON,BTN,PCT,10,2024,2050
WON,IND,ABS,0,2021,2023
WON,IND,PCT,10,2024,2050
WON,NPL,ABS,0,2021,2023
WON,NPL,PCT,10,2024,2050
