CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY,,
BTNXX,HYD,1986,2066,336,,
BTNXX,HYD,2006,2086,1020,,
BTNXX,HYD,2015,2095,126,,
BTNXX,HYD,2019,2099,720,,
BTNXX,HYD,2023,2103,118,,
BTNXX,HYD,2023,2103,1020,,
BTNXX,HYD,2025,2105,1200,,
INDEA,CCG,2000,2030,116,,
INDEA,CCG,2006,2036,54,,
INDEA,COA,1965,2025,60,,
INDEA,COA,1972,2025,55,,
INDEA,COA,1973,2025,55,,
INDEA,COA,1974,2025,120,,
INDEA,COA,1975,2030,120,,
INDEA,COA,1979,2030,120,,
INDEA,COA,1982,2030,210,,
INDEA,COA,1983,2030,110,,
INDEA,COA,1983,2030,60,,
INDEA,COA,1983,2030,60,,
INDEA,COA,1984,2030,60,,
INDEA,COA,1984,2030,210,,
INDEA,COA,1985,2030,110,,
INDEA,COA,1985,2030,60,,
INDEA,COA,1985,2030,30,,
INDEA,COA,1985,2030,30,,
INDEA,COA,1985,2030,120,,
INDEA,COA,1985,2030,120,,
INDEA,COA,1985,2030,120,,
INDEA,COA,1985,2030,120,,
INDEA,COA,1986,2030,60,,
INDEA,COA,1986,2030,200,,
INDEA,COA,1986,2030,200,,
INDEA,COA,1987,2030,200,,
INDEA,COA,1987,2030,60,,
INDEA,COA,1987,2030,60,,
INDEA,COA,1988,2023,60,,
INDEA,COA,1988,2023,60,,
INDEA,COA,1988,2023,60,,
INDEA,COA,1988,2023,54,,
INDEA,COA,1988,2023,54,,
INDEA,COA,1989,2024,60,,
INDEA,COA,1990,2025,30,,
INDEA,COA,1990,2025,120,,
INDEA,COA,1990,2025,67.5,,
INDEA,COA,1990,2025,67.5,,
INDEA,COA,1991,2026,210,,
INDEA,COA,1992,2027,500,,
INDEA,COA,1992,2027,210,,
INDEA,COA,1994,2029,210,,
INDEA,COA,1994,2029,120,,
INDEA,COA,1994,2029,500,,
INDEA,COA,1994,2029,210,,
INDEA,COA,1994,2029,67.5,,
INDEA,COA,1995,2030,210,,
INDEA,COA,1995,2030,210,,
INDEA,COA,1995,2030,210,,
INDEA,COA,1995,2030,210,,
INDEA,COA,1995,2030,500,,
INDEA,COA,1996,2031,210,,
INDEA,COA,1996,2031,500,,
INDEA,COA,1996,2031,67.5,,
INDEA,COA,1996,2031,210,,
INDEA,COA,1996,2031,210,,
INDEA,COA,1997,2032,210,,
INDEA,COA,1997,2032,250,,
INDEA,COA,1998,2033,210,,
INDEA,COA,1999,2034,210,,
INDEA,COA,1999,2034,250,,
INDEA,COA,1999,2034,55,,
INDEA,COA,1999,2034,55,,
INDEA,COA,1999,2034,210,,
INDEA,COA,2000,2035,120,,
INDEA,COA,2000,2035,210,,
INDEA,COA,2000,2035,30,,
INDEA,COA,2001,2036,120,,
INDEA,COA,2001,2036,210,,
INDEA,COA,2002,2037,120,,
INDEA,COA,2003,2038,500,,
INDEA,COA,2003,2038,500,,
INDEA,COA,2005,2040,40,,
INDEA,COA,2005,2040,350,,
INDEA,COA,2005,2040,100,,
INDEA,COA,2005,2040,500,,
INDEA,COA,2005,2040,120,,
INDEA,COA,2005,2040,210,,
INDEA,COA,2006,2041,60,,
INDEA,COA,2006,2041,30,,
INDEA,COA,2006,2041,100,,
INDEA,COA,2006,2041,500,,
INDEA,COA,2007,2042,250,,
INDEA,COA,2007,2042,125,,
INDEA,COA,2007,2042,30,,
INDEA,COA,2007,2042,40,,
INDEA,COA,2007,2042,300,,
INDEA,COA,2007,2042,210,,
INDEA,COA,2008,2043,300,,
INDEA,COA,2008,2043,300,,
INDEA,COA,2008,2043,135,,
INDEA,COA,2008,2043,135,,
INDEA,COA,2008,2043,135,,
INDEA,COA,2008,2043,135,,
INDEA,COA,2008,2043,135,,
INDEA,COA,2008,2043,135,,
INDEA,COA,2008,2043,135,,
INDEA,COA,2008,2043,30,,
INDEA,COA,2008,2043,30,,
INDEA,COA,2008,2043,30,,
INDEA,COA,2008,2043,500,,
INDEA,COA,2008,2043,100,,
INDEA,COA,2008,2043,250,,
INDEA,COA,2008,2043,250,,
INDEA,COA,2009,2044,130,,
INDEA,COA,2009,2044,130,,
INDEA,COA,2009,2044,125,,
INDEA,COA,2009,2044,150,,
INDEA,COA,2009,2044,150,,
INDEA,COA,2009,2044,120,,
INDEA,COA,2009,2044,500,,
INDEA,COA,2009,2044,210,,
INDEA,COA,2010,2045,50,,
INDEA,COA,2010,2045,600,,
INDEA,COA,2010,2045,600,,
INDEA,COA,2010,2045,120,,
INDEA,COA,2010,2045,120,,
INDEA,COA,2010,2045,30,,
INDEA,COA,2010,2045,500,,
INDEA,COA,2010,2045,500,,
INDEA,COA,2010,2045,250,,
INDEA,COA,2011,2046,250,,
INDEA,COA,2011,2046,135,,
INDEA,COA,2011,2046,135,,
INDEA,COA,2011,2046,600,,
INDEA,COA,2011,2046,500,,
INDEA,COA,2011,2046,525,,
INDEA,COA,2011,2046,135,,
INDEA,COA,2011,2046,50,,
INDEA,COA,2011,2046,30,,
INDEA,COA,2011,2046,30,,
INDEA,COA,2011,2046,30,,
INDEA,COA,2011,2046,500,,
INDEA,COA,2011,2046,500,,
INDEA,COA,2011,2046,250,,
INDEA,COA,2011,2046,250,,
INDEA,COA,2011,2046,120,,
INDEA,COA,2011,2046,120,,
INDEA,COA,2011,2046,120,,
INDEA,COA,2011,2046,500,,
INDEA,COA,2012,2047,600,,
INDEA,COA,2012,2047,525,,
INDEA,COA,2012,2047,135,,
INDEA,COA,2012,2047,500,,
INDEA,COA,2012,2047,270,,
INDEA,COA,2013,2048,64,,
INDEA,COA,2013,2048,60,,
INDEA,COA,2013,2048,500,,
INDEA,COA,2013,2048,135,,
INDEA,COA,2013,2048,135,,
INDEA,COA,2013,2048,135,,
INDEA,COA,2013,2048,50,,
INDEA,COA,2013,2048,270,,
INDEA,COA,2013,2048,350,,
INDEA,COA,2013,2048,350,,
INDEA,COA,2013,2048,55,,
INDEA,COA,2013,2048,60,,
INDEA,COA,2013,2048,60,,
INDEA,COA,2014,2049,36,,
INDEA,COA,2014,2049,250,,
INDEA,COA,2014,2049,135,,
INDEA,COA,2014,2049,350,,
INDEA,COA,2014,2049,660,,
INDEA,COA,2014,2049,63,,
INDEA,COA,2014,2049,150,,
INDEA,COA,2014,2049,150,,
INDEA,COA,2014,2049,150,,
INDEA,COA,2014,2049,150,,
INDEA,COA,2014,2049,150,,
INDEA,COA,2014,2049,150,,
INDEA,COA,2014,2049,600,,
INDEA,COA,2014,2049,600,,
INDEA,COA,2015,2050,500,,
INDEA,COA,2015,2050,195,,
INDEA,COA,2015,2050,660,,
INDEA,COA,2015,2050,600,,
INDEA,COA,2015,2050,30,,
INDEA,COA,2015,2050,30,,
INDEA,COA,2015,2050,600,,
INDEA,COA,2015,2050,600,,
INDEA,COA,2016,2051,500,,
INDEA,COA,2016,2051,500,,
INDEA,COA,2016,2051,600,,
INDEA,COA,2016,2051,30,,
INDEA,COA,2016,2051,250,,
INDEA,COA,2016,2051,67.5,,
INDEA,COA,2016,2051,67.5,,
INDEA,COA,2016,2051,350,,
INDEA,COA,2017,2052,195,,
INDEA,COA,2017,2052,250,,
INDEA,COA,2017,2052,150,,
INDEA,COA,2017,2052,150,,
INDEA,COA,2018,2053,250,,
INDEA,COA,2019,2054,250,,
INDEA,COA,2019,2054,660,,
INDEA,COA,2019,2054,800,,
INDEA,COA,2019,2054,660,,
INDEA,COA,2019,2054,660,,
INDEA,COA,2021,2056,250,,
INDEA,COA,2021,2056,250,,
INDEA,COA,2021,2056,660,,
INDEA,COA,2021,2056,800,,
INDEA,COA,2021,2056,660,,
INDEA,COA,2022,2057,30,,
INDEA,COA,2022,2057,30,,
INDEA,COA,2022,2057,250,,
INDEA,COA,2022,2057,660,,
INDEA,COA,2023,2058,350,,
INDEA,COA,2023,2058,660,,
INDEA,COA,2023,2058,800,,
INDEA,COA,2023,2058,800,,
INDEA,COA,2023,2058,660,,
INDEA,COA,2023,2058,660,,
INDEA,COA,2023,2058,525,,
INDEA,COA,2023,2058,525,,
INDEA,COA,2024,2059,800,,
INDEA,COA,2024,2059,660,,
INDEA,COA,2024,2059,660,,
INDEA,COA,2024,2059,660,,
INDEA,COA,2024,2059,660,,
INDEA,COA,2024,2059,660,,
INDEA,COA,2025,2060,800,,
INDEA,COA,2025,2060,800,,
INDEA,COA,2026,2061,660,,
INDEA,COA,2026,2061,800,,
INDEA,COA,2027,2062,660,,
INDEA,COA,2027,2062,800,,
INDEA,COA,2027,2062,800,,
INDEA,HYD,1956,2056,288,,
INDEA,HYD,1959,2059,80,,
