CUSTOM_NODE,YEAR,VALUE
AGOXX,2023,34
AGOXX,2024,35
AGOXX,2025,36
AGOXX,2026,37
AGOXX,2027,38
AGOXX,2028,39
AGOXX,2029,40
AGOXX,2030,41
AGOXX,2031,43
AGOXX,2032,44
AGOXX,2033,46
AGOXX,2034,47
AGOXX,2035,49
AGOXX,2036,50
AGOXX,2037,52
AGOXX,2038,54
AGOXX,2039,56
AGOXX,2040,58
AGOXX,2041,59
AGOXX,2042,61
AGOXX,2043,63
AGOXX,2044,65
AGOXX,2045,67
AGOXX,2046,69
AGOXX,2047,71
AGOXX,2048,74
AGOXX,2049,76
AGOXX,2050,78
BWAXX,2023,20
BWAXX,2024,21
BWAXX,2025,22
BWAXX,2026,23
BWAXX,2027,23
BWAXX,2028,24
BWAXX,2029,25
BWAXX,2030,26
BWAXX,2031,27
BWAXX,2032,28
BWAXX,2033,29
BWAXX,2034,30
BWAXX,2035,30
BWAXX,2036,31
BWAXX,2037,32
BWAXX,2038,33
BWAXX,2039,34
BWAXX,2040,35
BWAXX,2041,36
BWAXX,2042,37
BWAXX,2043,39
BWAXX,2044,40
BWAXX,2045,41
BWAXX,2046,43
BWAXX,2047,44
BWAXX,2048,46
BWAXX,2049,47
BWAXX,2050,49
CODXX,2023,32
CODXX,2024,32
CODXX,2025,38
CODXX,2026,39
CODXX,2027,41
CODXX,2028,42
CODXX,2029,44
CODXX,2030,46
CODXX,2031,48
CODXX,2032,50
CODXX,2033,52
CODXX,2034,55
CODXX,2035,57
CODXX,2036,60
CODXX,2037,62
CODXX,2038,65
CODXX,2039,68
CODXX,2040,71
CODXX,2041,73
CODXX,2042,76
CODXX,2043,79
CODXX,2044,82
CODXX,2045,85
CODXX,2046,88
CODXX,2047,91
CODXX,2048,94
CODXX,2049,98
CODXX,2050,102
LSOXX,2023,1
LSOXX,2024,3
LSOXX,2025,4
LSOXX,2026,4
LSOXX,2027,4
LSOXX,2028,5
LSOXX,2029,5
LSOXX,2030,5
LSOXX,2031,5
LSOXX,2032,6
LSOXX,2033,6
LSOXX,2034,6
LSOXX,2035,6
LSOXX,2036,7
LSOXX,2037,7
LSOXX,2038,7
LSOXX,2039,7
LSOXX,2040,8
LSOXX,2041,8
LSOXX,2042,8
LSOXX,2043,9
LSOXX,2044,9
LSOXX,2045,10
LSOXX,2046,10
LSOXX,2047,11
LSOXX,2048,11
LSOXX,2049,12
LSOXX,2050,12
MOZXX,2023,59
MOZXX,2024,59
MOZXX,2025,64
MOZXX,2026,66
MOZXX,2027,68
MOZXX,2028,70
MOZXX,2029,72
MOZXX,2030,74
MOZXX,2031,77
MOZXX,2032,79
MOZXX,2033,81
MOZXX,2034,83
MOZXX,2035,86
MOZXX,2036,88
MOZXX,2037,91
MOZXX,2038,93
MOZXX,2039,96
MOZXX,2040,98
MOZXX,2041,101
MOZXX,2042,104
MOZXX,2043,107
MOZXX,2044,110
MOZXX,2045,113
MOZXX,2046,117
MOZXX,2047,120
