Month,Day,Hour,BTNXX,INDEA,INDNE,INDNO,INDSO,INDWE,BGDXX,COLXX,GHAXX,HONXX
1,1,0,0.00012,0.00009,0.00011,0.0001,0.00011,0.00011,7.58E-05,9.60E-05,9.10E-05,0.000104195
1,1,1,0.00013,0.00009,0.00012,0.00011,0.00011,0.00012,7.26E-05,9.33E-05,9.09E-05,0.000100315
1,1,2,0.00013,0.0001,0.00011,0.00012,0.00011,0.00012,7.01E-05,9.02E-05,9.17E-05,9.73E-05
1,1,3,0.00013,0.0001,0.00011,0.00012,0.00011,0.00012,6.73E-05,8.69E-05,9.29E-05,9.51E-05
1,1,4,0.00013,0.0001,0.0001,0.00012,0.00011,0.00012,6.60E-05,8.44E-05,9.30E-05,9.52E-05
1,1,5,0.00013,0.0001,0.0001,0.00012,0.00011,0.00013,6.94E-05,8.29E-05,9.77E-05,9.79E-05
1,1,6,0.00013,0.0001,0.0001,0.00011,0.00011,0.00012,7.23E-05,7.64E-05,0.00010364,9.95E-05
1,1,7,0.00013,0.0001,0.0001,0.00011,0.00011,0.00012,8.07E-05,7.72E-05,0.00010879,0.000104379
1,1,8,0.00013,0.00009,0.0001,0.00011,0.00011,0.00012,8.69E-05,8.08E-05,0.000112,0.000110791
1,1,9,0.00013,0.00009,0.0001,0.00011,0.00011,0.00012,8.51E-05,8.40E-05,0.0001151,0.000114277
1,1,10,0.00013,0.00009,0.00011,0.00011,0.00011,0.00012,8.59E-05,8.70E-05,0.00011428,0.000118328
1,1,11,0.00013,0.0001,0.00014,0.00011,0.00011,0.00012,9.08E-05,8.90E-05,0.00011183,0.000123251
1,1,12,0.00013,0.00011,0.00015,0.00011,0.00011,0.00012,9.33E-05,9.09E-05,0.000111,0.00012347
1,1,13,0.00014,0.00011,0.00015,0.00012,0.00012,0.00012,9.05E-05,9.03E-05,0.00011148,0.000124496
1,1,14,0.00014,0.00011,0.00015,0.00011,0.00012,0.00012,8.56E-05,8.85E-05,0.00011118,0.000125225
1,1,15,0.00014,0.00011,0.00015,0.00011,0.00012,0.00012,8.40E-05,8.76E-05,0.00011363,0.000124749
1,1,16,0.00013,0.0001,0.00012,0.00011,0.00012,0.00012,8.61E-05,8.64E-05,0.00011835,0.000122189
1,1,17,0.00012,0.0001,0.00012,0.0001,0.00011,0.00011,9.48E-05,8.88E-05,0.00012523,0.000120629
1,1,18,0.00012,0.0001,0.00011,0.0001,0.00011,0.00011,9.86E-05,0.00010452,0.00013413,0.000129299
1,1,19,0.00012,0.00009,0.0001,0.0001,0.00011,0.00011,9.76E-05,0.00010959,0.00014076,0.000131903
1,1,20,0.00012,0.00009,0.0001,0.0001,0.00011,0.00011,9.42E-05,0.00010793,0.0001438,0.000128079
1,1,21,0.00012,0.00009,0.0001,0.0001,0.00011,0.0001,8.86E-05,0.00010277,0.00013887,0.000122931
1,1,22,0.00012,0.00009,0.0001,0.00009,0.00011,0.0001,8.31E-05,9.85E-05,0.00012841,0.000116477
1,1,23,0.00012,0.0001,0.0001,0.00009,0.00011,0.0001,7.92E-05,9.23E-05,0.00011571,0.00010986
2,1,0,0.00012,0.0001,0.00011,0.0001,0.00011,0.00011,7.74E-05,9.84E-05,9.06E-05,0.000104195
2,1,1,0.00013,0.0001,0.00011,0.00011,0.00011,0.00012,7.52E-05,9.45E-05,9.07E-05,0.000100315
2,1,2,0.00013,0.0001,0.00011,0.00011,0.00011,0.00012,7.22E-05,9.16E-05,9.03E-05,9.73E-05
2,1,3,0.00013,0.0001,0.00011,0.00011,0.00011,0.00012,7.01E-05,9.12E-05,9.15E-05,9.51E-05
2,1,4,0.00013,0.0001,0.00011,0.00012,0.00011,0.00012,6.96E-05,9.51E-05,9.32E-05,9.52E-05
2,1,5,0.00013,0.0001,0.0001,0.00011,0.00011,0.00013,7.43E-05,0.00010595,9.77E-05,9.79E-05
2,1,6,0.00013,0.0001,0.0001,0.00011,0.00011,0.00012,8.27E-05,0.00010957,0.00010279,9.95E-05
2,1,7,0.00013,0.0001,0.0001,0.00011,0.00011,0.00012,8.84E-05,0.00011346,0.00011044,0.000104379
2,1,8,0.00013,0.00009,0.0001,0.00011,0.00011,0.00012,9.49E-05,0.00012164,0.00011378,0.000110791
2,1,9,0.00013,0.00009,0.0001,0.00011,0.00011,0.00012,9.64E-05,0.00012754,0.00011444,0.000114277
2,1,10,0.00013,0.0001,0.00011,0.00011,0.00011,0.00012,9.73E-05,0.00013388,0.00011553,0.000118328
2,1,11,0.00013,0.00011,0.00013,0.00011,0.00011,0.00012,0.00010259,0.0001373,0.00011192,0.000123251
2,1,12,0.00013,0.00011,0.00014,0.00012,0.00011,0.00012,0.00010499,0.00013451,0.00011245,0.00012347
2,1,13,0.00014,0.00012,0.00014,0.00012,0.00012,0.00012,0.000101991,0.00013529,0.00011081,0.000124496
2,1,14,0.00014,0.00012,0.00015,0.00011,0.00012,0.00012,9.80E-05,0.00013838,0.00011087,0.000125225
2,1,15,0.00014,0.00012,0.00014,0.00011,0.00012,0.00011,9.40E-05,0.00013893,0.00011343,0.000124749
2,1,16,0.00013,0.00011,0.00013,0.0001,0.00012,0.00011,9.63E-05,0.00013634,0.00011752,0.000122189
2,1,17,0.00012,0.0001,0.00012,0.0001,0.00011,0.00011,0.000101691,0.0001325,0.00012524,0.000120629
2,1,18,0.00012,0.0001,0.00011,0.0001,0.00011,0.00011,0.000103345,0.00014199,0.00013419,0.000129299
2,1,19,0.00011,0.0001,0.0001,0.0001,0.00011,0.0001,0.000102281,0.00014749,0.00014303,0.000131903
2,1,20,0.00011,0.00009,0.0001,0.0001,0.00011,0.0001,0.000101181,0.00014445,0.00014438,0.000128079
2,1,21,0.00011,0.00009,0.0001,0.0001,0.00011,0.0001,9.59E-05,0.00013672,0.00013989,0.000122931
2,1,22,0.00012,0.0001,0.0001,0.00009,0.00011,0.0001,9.00E-05,0.00012425,0.00012755,0.000116477
2,1,23,0.00012,0.0001,0.0001,0.0001,0.00011,0.0001,8.71E-05,0.00011221,0.00011422,0.00010986
3,1,0,0.00012,0.0001,0.00011,0.0001,0.00011,0.00011,8.91E-05,9.95E-05,9.04E-05,0.000104195
3,1,1,0.00012,0.0001,0.00011,0.00011,0.00011,0.00012,8.48E-05,9.60E-05,9.09E-05,0.000100315
3,1,2,0.00013,0.0001,0.00011,0.00012,0.00011,0.00012,8.22E-05,9.38E-05,9.12E-05,9.73E-05
3,1,3,0.00013,0.0001,0.0001,0.00012,0.00011,0.00012,8.03E-05,9.32E-05,9.25E-05,9.51E-05
3,1,4,0.00013,0.0001,0.0001,0.00012,0.00011,0.00012,7.90E-05,9.65E-05,9.50E-05,9.52E-05
3,1,5,0.00013,0.0001,0.0001,0.00012,0.00011,0.00013,8.09E-05,0.00010662,9.72E-05,9.79E-05
3,1,6,0.00013,0.0001,0.00011,0.00011,0.00011,0.00012,8.46E-05,0.00010876,0.00010328,9.95E-05
3,1,7,0.00012,0.0001,0.0001,0.00011,0.00011,0.00012,9.09E-05,0.00011287,0.00010836,0.000104379
3,1,8,0.00012,0.00009,0.0001,0.00011,0.00011,0.00012,9.19E-05,0.00012056,0.00011409,0.000110791
3,1,9,0.00012,0.00009,0.0001,0.00011,0.00011,0.00012,9.15E-05,0.0001257,0.00011508,0.000114277
3,1,10,0.00013,0.0001,0.00012,0.00011,0.00011,0.00012,9.34E-05,0.00013129,0.00011472,0.000118328
