TECHNOLOGY,MAX_BUILD,START_YEAR,END_YEAR
TRNAGOXXCODXX,0,2021,2024
TRNAGOXXCODXX,0,2025,2050
TRNAGOXXCOGXX,0,2021,2024
TRNAGOXXCOGXX,0,2025,2050
TRNAGOXXNAMXX,0,2021,2024
TRNAGOXXNAMXX,0,2025,2050
TRNAGOXXZMBXX,0,2021,2024
TRNAGOXXZMBXX,0,2025,2050
TRNBDIXXCODXX,0,2021,2024
TRNBDIXXCODXX,0,2025,2050
TRNBDIXXTZAXX,0,2021,2024
TRNBDIXXTZAXX,0,2025,2050
TRNBWAXXNAMXX,0,2021,2024
TRNBWAXXNAMXX,0,2025,2050
TRNBWAXXZAFXX,0,2021,2024
TRNBWAXXZAFXX,0,2025,2050
TRNBWAXXZMBXX,0,2021,2024
TRNBWAXXZMBXX,0,2025,2050
TRNBWAXXZWEXX,0,2021,2024
TRNBWAXXZWEXX,0,2025,2050
TRNCAFXXCODXX,0,2021,2024
TRNCAFXXCODXX,0,2025,2050
TRNCODXXCOGXX,0,2021,2024
TRNCODXXCOGXX,0,2025,2050
TRNCODXXRWAXX,0,2021,2024
TRNCODXXRWAXX,0,2025,2050
TRNCODXXSSDXX,0,2021,2024
TRNCODXXSSDXX,0,2025,2050
TRNCODXXTZAXX,0,2021,2024
TRNCODXXTZAXX,0,2025,2050
TRNCODXXUGAXX,0,2021,2024
TRNCODXXUGAXX,0,2025,2050
TRNCODXXZMBXX,0,2021,2024
TRNCODXXZMBXX,0,2025,2050
TRNKENXXTZAXX,0,2021,2024
TRNKENXXTZAXX,0,2025,2050
TRNLSOXXZAFXX,0,2021,2024
TRNLSOXXZAFXX,0,2025,2050
TRNMOZXXMWIXX,0,2021,2024
TRNMOZXXMWIXX,0,2025,2050
TRNMOZXXSWZXX,0,2021,2024
TRNMOZXXSWZXX,0,2025,2050
TRNMOZXXTZAXX,0,2021,2024
TRNMOZXXTZAXX,0,2025,2050
TRNMOZXXZAFXX,0,2021,2024
TRNMOZXXZAFXX,0,2025,2050
TRNMOZXXZMBXX,0,2021,2024
TRNMOZXXZMBXX,0,2025,2050
TRNMOZXXZWEXX,0,2021,2024
TRNMOZXXZWEXX,0,2025,2050
TRNMWIXXTZAXX,0,2021,2024
TRNMWIXXTZAXX,0,2025,2050
TRNMWIXXZMBXX,0,2021,2024
TRNMWIXXZMBXX,0,2025,2050
TRNNAMXXZAFXX,0,2021,2024
TRNNAMXXZAFXX,0,2025,2050
TRNNAMXXZMBXX,0,2021,2024
TRNNAMXXZMBXX,0,2025,2050
TRNRWAXXTZAXX,0,2021,2024
TRNRWAXXTZAXX,0,2025,2050
TRNSWZXXZAFXX,0,2021,2024
TRNSWZXXZAFXX,0,2025,2050
TRNTZAXXUGAXX,0,2021,2024
TRNTZAXXUGAXX,0,2025,2050
TRNTZAXXZMBXX,0,2021,2024
TRNTZAXXZMBXX,0,2025,2050
TRNZAFXXZWEXX,0,2021,2024
TRNZAFXXZWEXX,0,2025,2050
TRNZMBXXZWEXX,0,2021,2024
TRNZMBXXZWEXX,0,2025,2050
