FUEL_TYPE,CUSTOM_NODE,CAPACITY
SPV,IDNAC,175.94
SPV,IDNBA,11.6
SPV,IDNBT,11.97
SPV,IDNBE,55.7
SPV,IDNGO,11.97
SPV,IDNJK,5.98
SPV,IDNJA,249.47
SPV,IDNJB,40.91
SPV,IDNJT,54.23
SPV,IDNJI,66.69
SPV,IDNKB,983.49
SPV,IDNKS,193.8
SPV,IDNKT,586.46
SPV,IDNKI,1100.71
SPV,IDNKU,135.59
SPV,IDNBB,209.08
SPV,IDNKR,20.49
SPV,IDNLA,64.98
SPV,IDNMA,196.59
SPV,IDNMU,81.05
SPV,IDNNB,40.58
SPV,IDNNT,312.49
SPV,IDNPA,571.5
SPV,IDNPB,149.57
SPV,IDNRI,261.47
SPV,IDNSN,86.06
SPV,IDNST,156.68
SPV,IDNSG,195.25
SPV,IDNSA,14.04
SPV,IDNSB,72.76
SPV,IDNSS,389.52
SPV,IDNSU,213.06
SPV,IDNYO,7.35
SPV,IDNSR,22.27
HYD,IDNAC,0.34
HYD,IDNBA,0.06
HYD,IDNBT,0.02
HYD,IDNBE,0.06
HYD,IDNGO,0.13
HYD,IDNJK,0
HYD,IDNJA,0.05
HYD,IDNJB,0.25
HYD,IDNJT,0.22
HYD,IDNJI,0.22
HYD,IDNKB,0.25
HYD,IDNKS,0.04
HYD,IDNKT,0.1
HYD,IDNKI,0.25
HYD,IDNKU,0.19
HYD,IDNBB,0
HYD,IDNKR,0
HYD,IDNLA,0.03
HYD,IDNMA,0.27
HYD,IDNMU,0.09
HYD,IDNNB,0.02
HYD,IDNNT,0.15
HYD,IDNPA,1.41
HYD,IDNPB,0.17
HYD,IDNRI,0.01
HYD,IDNSN,0.33
HYD,IDNST,0.57
HYD,IDNSG,0.14
HYD,IDNSA,0
HYD,IDNSB,0.21
HYD,IDNSS,0.07
HYD,IDNSU,0.36
HYD,IDNYO,0.01
HYD,IDNSR,0.11
WON,IDNAC,1.2111
WON,IDNBA,0.02
WON,IDNBT,0
WON,IDNBE,0
WON,IDNGO,0.01
WON,IDNJK,0
WON,IDNJA,0
WON,IDNJB,0.42
WON,IDNJT,0.19
WON,IDNJI,0.21
WON,IDNKB,0
WON,IDNKS,0.09
WON,IDNKT,0
WON,IDNKI,0
WON,IDNKU,0
WON,IDNBB,0
WON,IDNKR,0
WON,IDNLA,0
WON,IDNMA,4.86
WON,IDNMU,0
WON,IDNNB,0.03
WON,IDNNT,5.94
WON,IDNPA,0.16
WON,IDNPB,0
WON,IDNRI,0
WON,IDNSN,6.53
WON,IDNST,0
WON,IDNSG,0
WON,IDNSA,0
WON,IDNSB,0
WON,IDNSS,0
WON,IDNSU,0.04
WON,IDNYO,0
WON,IDNSR,0
GEO,IDNAC,1.31
GEO,IDNBA,0.03
GEO,IDNBT,0.64
GEO,IDNBE,0.03
GEO,IDNGO,0.04
GEO,IDNJK,0
GEO,IDNJA,1.05
GEO,IDNJB,6.63
GEO,IDNJT,1.83
GEO,IDNJI,1.16
GEO,IDNKB,0.05
GEO,IDNKS,0
GEO,IDNKT,0
GEO,IDNKI,0
GEO,IDNKU,0
GEO,IDNBB,0.03
GEO,IDNKR,0
GEO,IDNLA,2.86
GEO,IDNMA,0.23
GEO,IDNMU,0.23
GEO,IDNNB,0.14
GEO,IDNNT,1.04
GEO,IDNPA,0.03
GEO,IDNPB,0.03
GEO,IDNRI,0.03
GEO,IDNSN,0.32
GEO,IDNST,0.37
GEO,IDNSG,0.3
GEO,IDNSA,0.87
GEO,IDNSB,1.62
GEO,IDNSS,1.91
GEO,IDNSU,3.63
GEO,IDNYO,0.01
GEO,IDNSR,0
BIO,IDNAC,0.93
BIO,IDNBA,0.02
BIO,IDNBT,0.34
BIO,IDNBE,0.35
BIO,IDNGO,0.02
BIO,IDNJK,0.01
BIO,IDNJA,2.06
BIO,IDNJB,0.36
BIO,IDNJT,0.11
BIO,IDNJI,0.16
BIO,IDNKB,3
BIO,IDNKS,0.87
BIO,IDNKT,3.77
BIO,IDNKI,2.4
BIO,IDNKU,0.55
BIO,IDNBB,0.23
BIO,IDNKR,0.66
BIO,IDNLA,1.65
BIO,IDNMA,0.06
BIO,IDNMU,0.01
BIO,IDNNB,0.07
BIO,IDNNT,0.14
BIO,IDNPA,0.36
BIO,IDNPB,0.15
BIO,IDNRI,4.67
BIO,IDNSN,0.11
BIO,IDNST,0.06
BIO,IDNSG,0.06
BIO,IDNSA,0
BIO,IDNSB,1
BIO,IDNSS,5
BIO,IDNSU,1.43
BIO,IDNYO,0.01
BIO,IDNSR,0.11
