FUEL_TYPE,CUSTOM_NODE,CAPACITY,,,
BIO,IDNJW,1.13,,,
BIO,IDNKA,10.59,,,
BIO,IDNML,0.07,,,
BIO,IDNNU,0.23,,,
BIO,IDNPP,0.51,,,
BIO,IDNSL,0.36,,,
BIO,IDNSM,17.98,,,
GEO,AFGXX,0,,,
GEO,AGOXX,0,,,
GEO,ALBXX,0,,,
GEO,AREXX,0,,,
GEO,ARGXX,0,,,
GEO,ARMXX,0,,,
GEO,AUSXX,0,,,
GEO,AUTXX,0,,,
GEO,AZEXX,0,,,
GEO,BELXX,0,,,
GEO,BENXX,0,,,
GEO,BFAXX,0,,,
GEO,BGDXX,0,,,
GEO,BGRXX,0,,,
GEO,BHRXX,0,,,
GEO,BIHXX,0,,,
GEO,BLRXX,0,,,
GEO,BOLXX,0,,,
GEO,BRAXX,0,,,
GEO,BRNXX,0,,,
GEO,BTNXX,0,,,
GEO,BWAXX,0,,,
GEO,CAFXX,0,,,
GEO,CANCE,0,,,
GEO,CANEA,0,,,
GEO,CANNO,0,,,
GEO,CANWE,0,,,
GEO,CHEXX,0,,,
GEO,CHLXX,0.81,,,
GEO,CHNCE,0,,,
GEO,CHNEA,0,,,
GEO,CHNNE,0,,,
GEO,CHNNO,0,,,
GEO,CHNNW,0,,,
GEO,CHNSO,0,,,
GEO,CHNSW,0,,,
GEO,CIVXX,0,,,
GEO,CMRXX,0,,,
GEO,CODXX,0,,,
GEO,COGXX,0,,,
GEO,COLXX,0,,,
GEO,CPVXX,0,,,
GEO,CRIXX,2.48,,,
GEO,CUBXX,0,,,
GEO,CYPXX,0,,,
GEO,CZEXX,0,,,
GEO,DEUXX,0.26,,,
GEO,DJIXX,0,,,
GEO,DNKXX,0.14,,,
GEO,DOMXX,0,,,
GEO,DZAXX,0,,,
GEO,ECUXX,0,,,
GEO,EGYXX,0,,,
GEO,ESHXX,0,,,
GEO,ESPXX,0,,,
GEO,ESTXX,0,,,
GEO,ETHXX,1.2,,,
GEO,FINXX,0,,,
GEO,FJIXX,0,,,
GEO,FRAXX,0.05,,,
GEO,GABXX,0,,,
GEO,GBRXX,0,,,
GEO,GEOXX,0,,,
GEO,GHAXX,0,,,
GEO,GINXX,0,,,
GEO,GNBXX,0,,,
GEO,GNQXX,0,,,
GEO,GRCXX,0,,,
GEO,GTMXX,0.54,,,
GEO,GUFXX,0,,,
GEO,HNDXX,0.35,,,
GEO,HRVXX,0,,,
GEO,HUNXX,0,,,
GEO,IDNJW,10.27,,,
GEO,IDNKA,0.05,,,
GEO,IDNML,0.46,,,
GEO,IDNNU,1.21,,,
GEO,IDNPP,0.06,,,
GEO,IDNSL,1.9,,,
GEO,IDNSM,12.54,,,
GEO,INDEA,0,,,
GEO,INDNE,0,,,
GEO,INDNO,0,,,
GEO,INDSO,0,,,
GEO,INDWE,0,,,
GEO,IRLXX,0,,,
GEO,IRNXX,0,,,
GEO,IRQXX,0,,,
GEO,ISLXX,7.85,,,
GEO,ISRXX,0,,,
GEO,ITAXX,4,,,
GEO,JAMXX,0,,,
GEO,JORXX,0,,,
GEO,JPNXX,4.36,,,
GEO,KAZXX,0,,,
GEO,KENXX,13.67,,,
GEO,KGZXX,0,,,
GEO,KHMXX,0,,,
GEO,KORXX,0,,,
GEO,KWTXX,0,,,
GEO,LAOXX,0,,,
GEO,LBNXX,0,,,
GEO,LBRXX,0,,,
GEO,LBYXX,0,,,
GEO,LKAXX,0,,,
GEO,LSOXX,0,,,
GEO,LTUXX,0,,,
GEO,LUXXX,0,,,
GEO,LVAXX,0,,,
GEO,MARXX,0,,,
GEO,MDAXX,0,,,
GEO,MDGXX,0,,,
GEO,MEXXX,9.05,,,
GEO,MKDXX,0,,,
GEO,MLIXX,0,,,
GEO,MLTXX,0,,,
GEO,MMRXX,0,,,
GEO,MNEXX,0,,,
GEO,MNGXX,0,,,
GEO,MOZXX,0,,,
GEO,MRTXX,0,,,
GEO,MUSXX,0,,,
GEO,MWIXX,0,,,
GEO,MYSPE,0,,,
GEO,MYSSH,0,,,
GEO,MYSSK,0,,,
GEO,NAMXX,0,,,
GEO,NERXX,0,,,
GEO,NGAXX,0,,,
GEO,NICXX,1.42,,,
GEO,NLDXX,0,,,
GEO,NORXX,0,,,
GEO,NPLXX,0,,,
GEO,NZLXX,10.94,,,
GEO,OMNXX,0,,,
GEO,PAKXX,0,,,
GEO,PANXX,0,,,
GEO,PERXX,0,,,
GEO,PHLLU,3.79,,,
GEO,PHLMI,5.28,,,
GEO,PHLVI,15.62,,,
GEO,PNGXX,0.3,,,
GEO,POLXX,0,,,
GEO,PRKXX,0,,,
GEO,PRTXX,0.24,,,
GEO,PRYXX,0,,,
GEO,QATXX,0,,,
GEO,ROUXX,0,,,
GEO,RUSCE,0,,,
GEO,RUSFE,0.5,,,
GEO,RUSMV,0,,,
GEO,RUSNW,0,,,
GEO,RUSSI,0,,,
GEO,RUSSO,0,,,
GEO,RUSUR,0,,,
GEO,RWAXX,0,,,
GEO,SAUXX,0,,,
GEO,SDNXX,0,,,
GEO,SENXX,0,,,
GEO,SGPXX,0,,,
GEO,SLEXX,0,,,
GEO,SLVXX,1.41,,,
GEO,SOMXX,0,,,
GEO,SRBXX,0,,,
GEO,SURXX,0,,,
GEO,SVKXX,0,,,
GEO,SVNXX,0,,,
GEO,SWEXX,0,,,
GEO,SWZXX,0,,,
GEO,SYRXX,0,,,
GEO,TCDXX,0,,,
GEO,TGOXX,0,,,
GEO,THACE,0,,,
GEO,THANO,0,,,
