Datetime,BTNXX,INDEA,INDNE,INDNO,INDSO,INDWE
01/01/2015 0:00,0,0,0,0,0.8,0
01/01/2015 1:00,9.3,4,5.8,0,9.3,0.3
01/01/2015 2:00,31.8,20.5,23.3,11.5,38.5,12
01/01/2015 3:00,59.3,38.5,41,46.5,67.5,36.8
01/01/2015 4:00,85,51.8,60.5,77.5,90.5,62.5
01/01/2015 5:00,101,64.3,71.5,95.5,99.5,81.5
01/01/2015 6:00,108.3,69.8,64.5,101.5,103,92
01/01/2015 7:00,107.8,65,55.8,98.8,101,91
01/01/2015 8:00,96.8,50.3,45,87.8,90.5,80
01/01/2015 9:00,63.3,32.5,29.8,65.3,72,61
01/01/2015 10:00,18.5,15,9,38,44.8,37.3
01/01/2015 11:00,0,1.5,0,10.8,15.3,13
01/01/2015 12:00,0,0,0,0,0.3,0.3
01/01/2015 13:00,0,0,0,0,0,0
01/01/2015 14:00,0,0,0,0,0,0
01/01/2015 15:00,0,0,0,0,0,0
01/01/2015 16:00,0,0,0,0,0,0
01/01/2015 17:00,0,0,0,0,0,0
01/01/2015 18:00,0,0,0,0,0,0
01/01/2015 19:00,0,0,0,0,0,0
01/01/2015 20:00,0,0,0,0,0,0
01/01/2015 21:00,0,0,0,0,0,0
01/01/2015 22:00,0,0,0,0,0,0
01/01/2015 23:00,0,0,0,0,0,0
02/01/2015 0:00,0,0,0.3,0,0.8,0
02/01/2015 1:00,26,9.5,17.8,0,9.8,0.3
02/01/2015 2:00,78.8,35.8,49.3,7.5,39.8,15.8
02/01/2015 3:00,117.8,60,72,33,68.8,47.3
02/01/2015 4:00,138,74.8,83,63.3,90.3,73.8
02/01/2015 5:00,146.8,82.5,81.8,84.3,107.3,90.8
02/01/2015 6:00,145.3,86.3,75,86.5,111,94.5
02/01/2015 7:00,133.8,80.5,63,88,107.8,93.8
02/01/2015 8:00,109.8,66.8,48.5,80.5,95.3,84.8
02/01/2015 9:00,69.5,45,29,58.8,74.5,67
02/01/2015 10:00,21.3,20.8,9,35.3,48.5,44.3
02/01/2015 11:00,0,2.5,0,10.8,18.5,16.8
02/01/2015 12:00,0,0,0,0,0.3,0.8
02/01/2015 13:00,0,0,0,0,0,0
02/01/2015 14:00,0,0,0,0,0,0
02/01/2015 15:00,0,0,0,0,0,0
02/01/2015 16:00,0,0,0,0,0,0
02/01/2015 17:00,0,0,0,0,0,0
02/01/2015 18:00,0,0,0,0,0,0
02/01/2015 19:00,0,0,0,0,0,0
02/01/2015 20:00,0,0,0,0,0,0
02/01/2015 21:00,0,0,0,0,0,0
02/01/2015 22:00,0,0,0,0,0,0
02/01/2015 23:00,0,0,0,0,0,0
03/01/2015 0:00,0,0,0.3,0,0.8,0
03/01/2015 1:00,39,12,18.5,0,10.3,0.3
03/01/2015 2:00,90.8,45.8,46,14.3,40,16.8
03/01/2015 3:00,126.8,74.5,69,50.3,72.3,50
03/01/2015 4:00,152.5,91.3,80.5,80.3,93.8,78
03/01/2015 5:00,155.3,97,83.8,98.5,106.5,92.8
03/01/2015 6:00,141.5,96.5,77,109.3,109.3,98.5
03/01/2015 7:00,119.8,88.8,63.8,108,105,97.3
03/01/2015 8:00,90.8,73.8,48.5,98.5,93.8,88.8
03/01/2015 9:00,55.8,51.3,28.5,76.5,75,73.8
03/01/2015 10:00,16.5,21.8,8,48.5,48.5,50.3
03/01/2015 11:00,0,2,0,16.8,18.5,20.5
03/01/2015 12:00,0,0,0,0,0.5,0.8
03/01/2015 13:00,0,0,0,0,0,0
03/01/2015 14:00,0,0,0,0,0,0
03/01/2015 15:00,0,0,0,0,0,0
03/01/2015 16:00,0,0,0,0,0,0
03/01/2015 17:00,0,0,0,0,0,0
03/01/2015 18:00,0,0,0,0,0,0
03/01/2015 19:00,0,0,0,0,0,0
03/01/2015 20:00,0,0,0,0,0,0
03/01/2015 21:00,0,0,0,0,0,0
03/01/2015 22:00,0,0,0,0,0,0
03/01/2015 23:00,0,0,0,0,0,0
04/01/2015 0:00,0,0,0.3,0,0.8,0
04/01/2015 1:00,18.3,7.3,10.3,0,10,0.5
04/01/2015 2:00,51.5,29.3,26.3,16.8,40.3,22.3
04/01/2015 3:00,76.3,50,36.8,55.5,74.8,60.8
04/01/2015 4:00,83,68,52.5,86,96.8,88.3
04/01/2015 5:00,95,77.3,69,103.3,109.3,104.3
04/01/2015 6:00,96,77.8,78.3,111,113.3,109.8
04/01/2015 7:00,99.3,76,68.3,109.8,108,107.5
04/01/2015 8:00,71,67.3,56,99.8,96.8,98.5
04/01/2015 9:00,45.5,47.3,36.3,74.3,77,81.3
04/01/2015 10:00,15.3,20,12.8,46.3,50.5,55.5
04/01/2015 11:00,0,1.8,0.3,14.8,17.5,23.3
04/01/2015 12:00,0,0,0,0,0.3,1
04/01/2015 13:00,0,0,0,0,0,0
04/01/2015 14:00,0,0,0,0,0,0
04/01/2015 15:00,0,0,0,0,0,0
04/01/2015 16:00,0,0,0,0,0,0
04/01/2015 17:00,0,0,0,0,0,0
04/01/2015 18:00,0,0,0,0,0,0
04/01/2015 19:00,0,0,0,0,0,0
04/01/2015 20:00,0,0,0,0,0,0
04/01/2015 21:00,0,0,0,0,0,0
04/01/2015 22:00,0,0,0,0,0,0
04/01/2015 23:00,0,0,0,0,0,0
05/01/2015 0:00,0,0,0.3,0,0.8,0
05/01/2015 1:00,48,17.5,24.5,0.3,10.3,1
05/01/2015 2:00,100.3,57.8,61.5,15.5,43,30.8
05/01/2015 3:00,142.8,88.3,89.5,52.8,77.8,69.5
05/01/2015 4:00,162,107,105.3,83.8,99.8,95.8
05/01/2015 5:00,168,116,112,102,111.5,111.3
05/01/2015 6:00,162.8,116,110.3,111.3,115.8,117.5
05/01/2015 7:00,141.5,108,99,109.8,112,116.3
05/01/2015 8:00,112.8,91.5,81.5,99.5,100.8,107
05/01/2015 9:00,71.8,66,53.3,81.3,81,89.5
05/01/2015 10:00,23.8,32.5,18.5,52.8,52.3,63.3
05/01/2015 11:00,0,4,0.3,18.8,19.5,28.8
05/01/2015 12:00,0,0,0,0,0.3,1.5
05/01/2015 13:00,0,0,0,0,0,0
05/01/2015 14:00,0,0,0,0,0,0
05/01/2015 15:00,0,0,0,0,0,0
05/01/2015 16:00,0,0,0,0,0,0
05/01/2015 17:00,0,0,0,0,0,0
05/01/2015 18:00,0,0,0,0,0,0
05/01/2015 19:00,0,0,0,0,0,0
05/01/2015 20:00,0,0,0,0,0,0
05/01/2015 21:00,0,0,0,0,0,0
05/01/2015 22:00,0,0,0,0,0,0
05/01/2015 23:00,0,0,0,0,0,0
06/01/2015 0:00,0,0,0.3,0,1.3,0
06/01/2015 1:00,56.3,17.5,19.3,0.3,12,1.3
06/01/2015 2:00,105.3,56.3,55.8,13.5,46.8,32.5
06/01/2015 3:00,134.3,80.3,77.8,48,79.3,70.8
06/01/2015 4:00,154.5,99.8,95.8,79,100.5,97
06/01/2015 5:00,162.3,109,102.5,97.8,112.8,111.8
06/01/2015 6:00,157.3,108.8,99.8,112,114.8,118.3
06/01/2015 7:00,138.8,100.5,89,109.8,111.5,117
06/01/2015 8:00,106,84,70.5,98.5,100,107.8
06/01/2015 9:00,65,60.8,44.3,75,80,89.5
06/01/2015 10:00,18,29.8,13.3,46.3,52.8,63.3
06/01/2015 11:00,0,4.3,0,14.8,20,28.8
06/01/2015 12:00,0,0,0,0,0.5,1.5
06/01/2015 13:00,0,0,0,0,0,0
06/01/2015 14:00,0,0,0,0,0,0
06/01/2015 15:00,0,0,0,0,0,0
06/01/2015 16:00,0,0,0,0,0,0
06/01/2015 17:00,0,0,0,0,0,0
06/01/2015 18:00,0,0,0,0,0,0
