NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
IDN-AC_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-BA_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-BB_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-BE_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-BT_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-GO_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-JA_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-JB_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-JI_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-JK_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-JT_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-KB_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-KI_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-KR_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-KS_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-KT_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-KU_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-LA_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-MA_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-MU_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-NB_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-NT_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-PA_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-PB_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-RI_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-SA_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-SB_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-SG_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-SN_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-SR_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-SS_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-ST_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-SU_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
IDN-YO_Hyd_Capacity Scaler,63.50,59.20,62.60,58.60,39.80,22.80,15.80,17.00,26.80,38.30,61.90,73.60
