Datetime,AS-IDN-AC,AS-IDN-BA,AS-IDN-BB,AS-IDN-BE,AS-IDN-BT,AS-IDN-GO,AS-IDN-JA,AS-IDN-JB,AS-IDN-JI,AS-IDN-JK,AS-IDN-JT,AS-IDN-KB,AS-IDN-KI,AS-IDN-KR,AS-IDN-KS,AS-IDN-KT,AS-IDN-KU,AS-IDN-LA,AS-IDN-MA,AS-IDN-MU,AS-IDN-NB,AS-IDN-NT,AS-IDN-PA,AS-IDN-PB,AS-IDN-RI,AS-IDN-SA,AS-IDN-SB,AS-IDN-SG,AS-IDN-SN,AS-IDN-SS,AS-IDN-ST,AS-IDN-SU,AS-IDN-YO
01/01/2015 00:00,4.3,14,12.2,18.6,9.1,19.6,10.7,25.8,25.1,16.6,30.5,28.2,36.3,9.1,22.5,28.5,24.8,23.7,35.4,34.4,26.2,16.1,27.8,23,6.1,35.7,34.2,17.6,34,18.8,21.5,6.3,30.6
01/01/2015 01:00,14.5,20.9,21,32.2,18.9,17.7,22.7,46,37.9,29.2,46.8,44.4,51.9,18.9,31.3,41.3,42.5,41.2,48.7,42.5,36.6,23.4,40.3,28.5,15.2,48.6,48.8,19.5,44.1,33.9,25,18.5,49.2
01/01/2015 02:00,28.3,26.7,28.9,47.3,29.4,19.4,33.5,55.4,45.1,35.3,59.1,53.8,60.7,29.4,39.9,45.7,56.1,54.4,54.8,46.5,43.8,28.8,47,31.8,26.3,57.6,43.1,20.1,46.2,44.3,30.9,38.9,61.8
01/01/2015 03:00,41.6,27.9,34.4,55.3,35.9,30.8,39.5,54.1,49.1,33.6,60.7,56.9,62.6,35.9,42.8,55.7,62.9,60.4,57.2,48.8,46.6,36.4,46.6,31.7,35.7,58.5,32.1,21.5,46.6,50,38.5,50.6,69.3
01/01/2015 04:00,50.1,26.3,38.1,57.9,37.9,38.5,42.5,54.6,53,33.9,57.4,56,60.1,37.9,43.8,57.5,63.8,63.7,53.5,47.6,43.8,40.7,41.6,28.7,40.6,56.3,31.6,24,52.6,53.5,45.3,55.2,71.6
01/01/2015 05:00,52.4,22.9,38.9,59.3,38.6,41,43.2,43.7,47,36.1,50.8,50,52.5,38.6,39.6,55.4,59.4,63.4,39.5,39.7,36.3,38,34.5,21.8,40.2,49.3,30.4,22.5,49.2,53.6,44.3,51.2,68.1
01/01/2015 06:00,47.8,19.4,35.1,55.6,34.3,39,39.6,35.9,42.6,34,40.4,38.8,38.7,34.3,32.3,48.7,50.5,55.5,28,31.6,29.7,31.2,22.7,13.5,40.3,37.4,23.1,16.2,40,48.9,36,44.7,60.8
01/01/2015 07:00,40.4,13.9,28.9,42.5,27.1,28.1,33.9,27.1,38.7,27.2,32.6,24.5,23.4,27.1,22.5,37.6,35.4,45.5,16.8,22.7,20.7,23,10.3,5.6,35.6,20.1,15.7,9.7,22.7,41.1,20.7,34.8,49.4
01/01/2015 08:00,29.3,8.5,20.2,32.1,18.7,13.1,25.1,19.2,23.6,19.7,22.5,14,9.8,18.7,11.3,24.6,17.1,28.5,6,9.4,11.8,13.8,1.1,1.1,25.6,7.7,7.8,4.5,10.1,29.6,8,20.2,32.4
01/01/2015 09:00,18.6,2.9,10.4,18.2,9.3,1.4,13.8,10.3,8.3,10.7,11.3,5.1,2,9.3,3.4,8.6,3.2,14.5,0.2,0.2,3.3,3.9,0,0,13.9,0.5,1.5,0.5,1.4,15.6,1.6,10.8,16.2
01/01/2015 10:00,6.7,0,1.8,4.7,1.7,0,3.4,2.2,0.5,2.1,1.3,0.1,0,1.7,0,0.1,0,2.8,0,0,0,0,0,0,3.7,0,0,0,0,3.5,0,3.1,2.4
01/01/2015 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2015 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,6.5,2.4,0,0,0,0,0,0,0,0,0
01/01/2015 22:00,0,0.2,0,0,0,5.9,0,0,0.3,0,0,0,0.4,0,0.8,0.2,1,0,2.2,8.6,1.2,6.2,20,15.3,0,4.1,2.7,3.5,2.5,0,1.4,0,0.4
01/01/2015 23:00,0,3.8,2.2,1.9,1.3,21.5,1.3,7.9,5.1,6.1,4.3,6.5,5.7,1.3,8.1,7.5,14.4,2.6,6.8,24.8,7.1,19.4,34.5,30.6,0.7,13.3,15.8,11.7,12,2.3,8.2,0.1,10.5
02/01/2015 00:00,5.5,11.1,9.2,12.1,8.2,34.6,11,22.6,13.2,19.2,14.8,18.7,14.3,8.2,16.9,17.8,31.8,11,13.6,40.5,15.2,35.9,46.5,45.2,9.1,21.8,27.6,20.7,23.4,13,16.6,5.8,27
02/01/2015 01:00,17.2,21.6,18.2,24.7,14.2,40.3,23.8,38.6,22.2,30.8,32.2,27.8,24.6,14.2,24.6,30.1,50.8,20.3,20.9,51.2,23.1,46.9,53.7,54.9,20.5,29.3,37.1,28.2,30.9,24.8,20.6,15.7,42.1
02/01/2015 02:00,30.9,34.5,33,37.3,17.8,40.4,35.6,51.7,32.9,38.8,46.3,33.7,36.1,17.8,31.5,29.3,61,28.7,26.3,57.7,31.6,51.2,55.7,60.3,28.8,35.7,43.2,33.6,38.5,32.8,24.2,26.9,54.7
02/01/2015 03:00,45.1,40.5,46.1,44.4,20.6,37.6,42.2,60.7,40.4,44.2,55.5,38.1,46,20.6,37.5,34.1,68.1,35.1,29.3,58.8,38.9,48.8,54.5,61.6,34.9,37.6,40.1,36.8,39.9,39.9,28.3,36.2,59.6
02/01/2015 04:00,55,39.5,53.4,49.5,25.3,32,46.2,66.6,44.2,48.5,60,40.2,51.3,25.3,38.7,35.5,69.9,39.6,29.1,57.2,44.9,38.8,55.8,58.9,39,35,37.2,39.8,37.9,47.8,35.2,38.5,58.4
02/01/2015 05:00,58,37.4,54.1,51.5,30.8,24.5,47.4,64.3,46,50.4,57.5,37.9,52.1,30.8,35.3,32.3,65.1,42.3,26.2,49.4,44.5,26.1,50.3,50.9,40,29.7,32,39.3,32.9,52,31.4,37,52.4
02/01/2015 06:00,51.8,31.2,47.8,50.6,30.9,15.9,41.8,57.5,37.8,50,47.8,33.4,49.8,30.9,31,25,54.6,43.2,19.9,37.1,38.9,15.7,36.5,38.2,34.3,18.6,22.5,32.9,24.9,49.1,22.7,33.7,42.3
02/01/2015 07:00,40.2,23.1,37,46.4,29,8.4,31.5,46.5,24.9,45.6,30,24.5,37.2,29,23.5,16.6,37.7,37,11.6,23.3,29.4,8.7,17.7,21.3,27.2,8.9,15,22.4,16,41.1,13,26.9,31
