Datetime,IDNJW,IDNKA,IDNML,IDNNU,IDNPP,IDNSL,IDNSM,LAOXX,MMRXX,MYSPE,MYSSH,MYSSK,PHLLU,PHLMI,PHLVI,THACE,THANO,THASO,VNMCE,VNMNO,VNMSO,BRNXX,KHMXX,SGPXX
01/01/2015 0:00,50,16.92,33.558,10.152,0.846,50,50,0,27.4,41.6,6.8,0.6,100,100,100,39.6,0,63,44.6,27.6,50,0.6,19.8,46.4
01/01/2015 1:00,50,41.454,37.224,10.152,2.256,50,50,0,33.3,50.8,19,0.2,100,100,100,53,0,70.8,46.7,25.1,50,1.2,66,43.6
01/01/2015 2:00,50,47.376,36.096,13.254,3.102,50,50,0,43.3,63.2,32.8,0.8,100,100,100,42.8,0,100,50,25.9,50,1.4,89.8,45.8
01/01/2015 3:00,50,38.07,35.532,19.458,6.204,50,50,0,37.5,79.4,42.8,0.4,100,100,100,27.4,0,100,50,23.6,50,1,92.2,41.2
01/01/2015 4:00,50,25.38,36.942,25.098,10.152,50,50,0,32.4,89.2,47,0,100,100,100,18.4,0,100,50,22,50,0.6,86.4,31
01/01/2015 5:00,50,24.816,40.044,28.482,11.844,50,50,0,25.7,84.4,41.6,0,100,100,100,16,0,100,50,20,50,0.4,76,21
01/01/2015 6:00,50,25.098,41.736,30.456,9.306,50,50,0,19.7,62.8,30.8,0,100,100,100,17.4,0,100,50,19.2,50,0.8,68.8,12.4
01/01/2015 7:00,50,21.714,42.018,25.38,10.152,50,50,0,16.6,35.4,17.8,0.2,100,100,100,21.2,0,100,50,19.5,50,3.2,67.4,6.2
01/01/2015 8:00,50,11.562,40.89,16.356,16.356,50,50,0,17.1,13.8,9,0.6,100,100,100,28,0,100,50,20.6,50,6,70.4,4
01/01/2015 9:00,50,7.896,31.866,12.126,25.662,50,50,0,14.6,16.6,16.6,3.2,100,100,100,36.4,0,91,48.3,22.3,50,12,64.2,4.4
01/01/2015 10:00,50,24.252,21.714,15.228,20.022,50,50,0,16.1,26.4,34.4,28.4,100,100,100,47.6,0,81.2,45.6,33.6,50,29.2,60,9.4
01/01/2015 11:00,50,21.996,14.946,19.458,9.87,50,50,0,20.5,38.6,31.4,54,100,100,100,58.8,0,82.8,47.4,40.7,50,35.8,65,20.6
01/01/2015 12:00,50,22.56,10.152,20.022,8.742,50,50,0,21,46.6,33.8,51.8,100,100,100,56.8,0,84,48.6,44.2,50,36,68.8,31.8
01/01/2015 13:00,50,25.38,6.486,20.586,7.332,50,50,0,19.6,49.4,61.8,46.6,100,100,100,46.6,0,77.4,48.5,47.2,50,27.2,62,40
