Datetime,AS-IDN-AC,AS-IDN-BA,AS-IDN-BB,AS-IDN-BE,AS-IDN-BT,AS-IDN-GO,AS-IDN-JA,AS-IDN-JB,AS-IDN-JI,AS-IDN-JK,AS-IDN-JT,AS-IDN-KB,AS-IDN-KI,AS-IDN-KR,AS-IDN-KS,AS-IDN-KT,AS-IDN-KU,AS-IDN-LA,AS-IDN-MA,AS-IDN-MU,AS-IDN-NB,AS-IDN-NT,AS-IDN-PA,AS-IDN-PB,AS-IDN-RI,AS-IDN-SA,AS-IDN-SB,AS-IDN-SG,AS-IDN-SN,AS-IDN-SS,AS-IDN-ST,AS-IDN-SU,AS-IDN-YO,AS-LAO-CE,AS-LAO-NO,AS-LAO-SO,AS-MMR-CE,AS-MMR-NO,AS-MMR-SO,AS-MYS-CE,AS-MYS-EA,AS-MYS-NO,AS-MYS-SH,AS-MYS-SK,AS-MYS-SO,AS-PHL-LU,AS-PHL-MI,AS-PHL-VI,AS-THA-CE,AS-THA-NE,AS-THA-NO,AS-THA-SO,AS-VNM-CH,AS-VNM-ME,AS-VNM-NC,AS-VNM-NE,AS-VNM-NW,AS-VNM-RR,AS-VNM-SC,AS-VNM-SE,AS-BRN-XX,AS-KHM-XX,AS-SGP-XX
01/01/2015 00:00,0.752,0.376,87.984,7.708,65.236,72.568,4.512,52.452,11.468,55.272,52.64,0,10.528,65.612,11.28,0,7.708,6.392,5.076,22.372,6.768,5.076,0.564,0.188,9.024,28.952,6.768,3.196,9.212,11.468,2.256,8.648,95.88,8.6,4.2,30,26.8,13.4,27.4,7,20.8,8.7,3.4,0.3,17.7,80.3,84,95.5,19.8,37.3,50.6,31.5,60.7,40.7,33.7,18.9,1.4,27.6,68.4,54.2,0.3,9.9,23.2
01/01/2015 01:00,0,2.068,88.736,26.132,70.312,91.744,7.332,68.056,24.064,64.484,65.612,0.752,27.636,59.596,9.964,0.188,17.484,23.5,2.82,24.816,5.64,6.768,1.504,0.564,0.376,61.476,7.708,4.136,5.264,19.176,7.708,3.948,100,15.9,2.8,57.2,5.4,7.2,33.3,10.2,25.4,19.2,9.5,0.1,18.4,82.9,86.2,96.8,26.5,71.4,54.1,35.4,79.1,49.4,40.2,17.2,1.8,25.1,85,58.7,0.6,33,21.8
01/01/2015 02:00,0.188,3.384,84.976,37.224,72.568,100,13.724,82.156,40.984,72.568,73.508,2.82,31.584,55.272,11.468,0.188,18.424,32.712,0.94,24.064,4.888,8.836,2.068,0.376,0.94,72.756,12.22,6.58,3.008,22.936,12.408,3.196,100,29.1,3.1,77,0.1,4.3,43.3,11.5,27.8,31.6,16.4,0.4,25.9,84.2,86.2,97.1,21.4,78.3,57.4,56,85.5,57.8,57.1,18.5,2.6,25.9,90.5,63.3,0.7,44.9,22.9
01/01/2015 03:00,0.564,5.452,79.336,42.864,79.148,100,12.032,87.796,46.812,77.08,78.396,3.196,25.38,49.632,12.032,0,17.108,30.08,0.188,23.688,8.46,12.972,4.136,0.564,5.452,72.568,15.416,10.152,3.948,24.44,13.536,3.572,100,41.3,3.9,84.1,0.1,5.5,37.5,10.6,39.7,35.8,21.4,0.2,25.6,85.6,85.3,97.1,13.7,74.4,57.5,63.7,88.2,63.5,65,17.4,3.5,23.6,92.4,70,0.5,46.1,20.6
01/01/2015 04:00,2.068,6.58,73.696,55.272,87.232,91.744,10.152,88.172,37.788,75.2,81.216,3.948,16.92,43.804,10.152,0,16.92,27.26,0.188,24.628,15.04,16.732,6.768,1.128,8.272,68.996,16.168,15.04,9.964,24.816,14.852,4.512,100,52.3,4,86.2,1.3,1.2,32.4,8.4,44.6,33.4,23.5,0,19.2,86.6,83.8,96.7,9.2,69.3,54.7,64.2,89,69.5,70.7,15.6,3.8,22,92.7,76.8,0.3,43.2,15.5
01/01/2015 05:00,3.948,7.332,70.312,72.756,92.872,83.472,9.588,84.224,29.892,74.26,72.568,3.572,8.46,39.292,6.768,0,16.544,25.004,0.752,26.696,14.852,18.988,7.896,1.88,10.152,63.356,16.356,14.476,17.86,25.004,12.596,6.016,100,57.4,3.5,87.4,5.6,0,25.7,5.4,42.2,25.1,20.8,0,12.5,86.7,81.8,95.9,8,66.6,52.5,61.9,89.7,73.9,72.4,14.2,3.8,20,91.7,79.4,0.2,38,10.5
01/01/2015 06:00,6.016,8.648,66.176,81.216,97.572,79.336,9.024,74.26,27.448,68.996,58.28,1.692,2.444,35.344,2.632,0,16.732,20.868,1.316,27.824,10.904,20.304,6.204,1.316,10.34,61.1,18.8,6.768,25.192,24.816,7.708,8.272,100,58.3,3.5,87.7,12.1,0,19.7,3.6,31.4,13.5,15.4,0,8.2,86.1,77.8,94.9,8.7,67.2,50.4,58.6,88.4,76.8,72.7,14.4,4.1,19.2,90.1,80.6,0.4,34.4,6.2
01/01/2015 07:00,6.956,9.024,58.468,79.712,98.512,77.644,9.024,65.236,27.26,60.724,45.684,0.188,1.316,30.644,0.188,0,14.476,12.972,1.88,28.012,6.956,16.92,6.768,0.376,8.836,64.108,19.928,3.948,28.764,25.004,3.572,9.212,96.444,59.6,4.1,86.2,16.6,0,16,2.5,17.7,6.1,8.9,0.1,5.9,84.3,73.2,92.9,10.6,71.2,43.6,55.2,87.2,79.2,71.8,16.5,4.8,19.5,88.2,80.6,1.6,33.7,3.1
01/01/2015 08:00,6.956,7.708,49.632,74.824,98.136,71.064,9.776,57.34,24.064,52.264,34.216,0,0.94,24.44,0,0,7.708,5.64,2.82,27.26,3.572,10.904,10.904,0.564,3.196,63.544,16.92,4.136,24.252,23.876,1.128,7.144,92.496,59.4,5.1,82.3,17.1,0,13.9,1.9,6.9,3.6,4.5,0.3,5.7,81.2,67.4,90,14,76.8,34.8,51,83.4,79.9,66.7,20.1,5.3,20.6,82.7,80,3,35.2,2
01/01/2015 09:00,5.264,6.016,42.676,60.912,91.556,59.596,12.22,47.94,22.184,44.556,25.756,0,3.196,17.484,0,0,5.264,1.316,2.256,21.244,1.88,8.084,17.108,2.256,0.564,51.136,12.032,6.956,16.732,23.124,1.128,3.572,88.36,45.1,5.7,76.5,14.6,0,13.1,1,5.4,1.7,8.3,1.6,8.3,76.6,64.7,87.8,18.2,80,28.1,45.5,71.7,76,44.8,22.3,4.9,22,73,79.1,6,32.1,2.2
01/01/2015 10:00,2.256,6.016,36.284,42.112,83.284,49.444,16.168,36.284,21.056,47.376,19.552,0.188,16.168,14.852,0,0,6.768,0.94,0.752,14.476,1.692,10.152,13.348,2.444,0.752,33.652,7.332,7.332,18.048,18.988,1.692,1.692,81.216,40.1,6.2,73.2,12.2,0,16.1,0.2,4.7,1,17.2,14.2,13.2,71.8,63,87.4,23.8,78.1,25.6,40.6,65.1,68.6,36.7,33.6,6.9,28.5,74.2,82,14.6,30,4.7
01/01/2015 11:00,1.692,6.016,34.592,38.352,83.096,41.924,20.304,33.652,21.432,61.1,19.364,0.94,14.664,16.168,0,0.752,9.588,1.316,0.188,9.964,2.256,12.972,6.58,0.94,6.204,21.056,7.896,4.136,21.056,15.792,0.94,2.632,85.352,44.4,9.3,72.7,7.1,0,20.5,0,4.2,1.6,15.7,27,19.3,70.5,67.4,88.9,29.4,77.2,24.3,41.4,62.4,61.7,42.1,40.7,8.6,37.1,78.4,87.7,17.9,32.5,10.3
01/01/2015 12:00,2.82,5.076,37.412,41.924,83.472,39.48,22.748,31.96,23.5,71.816,23.124,2.82,13.724,20.68,0.564,4.888,15.04,2.444,0,6.768,3.572,13.348,5.828,0.376,18.988,14.476,10.152,2.256,23.876,15.228,0.188,4.7,95.88,44.3,8.2,71.4,2.1,2,21,0,8.1,2.1,16.9,25.9,23.3,70,71.5,89.6,28.4,74.2,21.7,42,61.2,57.1,45.7,40,8.2,44.2,79.3,90.7,18,34.4,15.9
01/01/2015 13:00,2.632,3.572,42.488,59.22,81.592,35.156,24.816,33.84,30.08,72.568,25.944,4.7,14.288,27.072,6.016,10.34,16.92,2.632,0,4.324,6.016,13.724,4.888,1.88,28.2,10.528,11.844,3.196,28.952,13.536,0,7.332,100,41.3,8.2,67.4,0.3,9.5,19.6,0,20.8,2.7,30.9,23.3,24.7,70.4,75.2,89.7,23.3,70.3,18.6,38.7,61.3,55.7,45.4,34.9,7.3,47.2,79.5,90.8,13.6,31,20
01/01/2015 14:00,1.128,3.76,44.18,60.16,79.9,31.396,26.132,32.9,39.292,71.628,31.772,2.82,13.348,34.968,15.604,15.98,17.86,5.64,0,2.444,9.588,15.792,3.76,6.392,28.012,8.272,12.972,6.016,50.384,12.032,0,10.528,100,41.8,8.7,60.7,0.3,16.6,17.1,0,36.7,1.9,36.2,24.8,23.6,70.5,76.2,89.1,18.4,66.3,18.8,37.1,62,55.2,45.9,32.6,7,45.2,77.4,88.4,11.7,27.5,21.3
01/01/2015 15:00,0.376,3.76,42.676,63.356,82.344,31.02,27.636,35.532,38.352,77.268,39.48,0.376,10.152,47.94,24.064,22.748,15.98,4.888,0.188,2.068,13.536,16.92,2.256,9.4,28.952,7.708,17.296,6.58,43.804,15.604,0.188,12.596,100,38.7,8.8,58,2.1,19.5,16.7,0.3,31.1,2.2,35.5,25.6,25.1,71.3,75.6,89,19.9,66.1,15.2,35,62.4,58.3,44.9,31.9,4.9,41.5,73.5,83.7,12,26.8,21.3
01/01/2015 16:00,0.188,4.512,40.984,68.056,81.216,31.772,30.268,37.036,30.832,83.284,47.376,0,6.016,65.612,23.688,25.192,12.972,1.88,1.316,2.068,16.356,18.048,1.128,8.46,31.772,6.956,19.552,10.716,35.532,21.056,1.316,13.348,100,36.4,8.9,58.3,8.4,18.6,13.5,2.3,24.1,5.2,30.2,21.9,25.2,72,75.8,88.6,28.6,64.4,8.7,31.7,64.4,61.3,44.7,28,4.3,40.2,68.2,78.5,12,27.4,20.1
01/01/2015 17:00,0.564,11.092,44.18,71.252,82.344,32.9,33.276,39.104,27.072,87.608,55.272,0.188,6.392,84.6,20.868,27.072,15.416,1.316,3.196,1.504,19.552,18.612,0.94,5.64,29.328,6.016,22.56,16.356,26.696,23.124,3.572,15.98,100,34.1,6,57,16.4,18.2,10.8,4.3,20.1,8.9,27.8,22.5,20.4,73.4,75.5,87.5,39.5,64.2,5.3,29.5,63.3,71.2,44.8,25.7,3.4,38.8,67.2,72.7,11.1,27.2,16.8
01/01/2015 18:00,0.376,25.756,54.896,63.168,82.908,32.9,34.216,43.24,22.936,88.736,55.46,3.008,15.416,100,18.612,22.184,30.268,3.008,4.324,0.752,17.296,17.296,0.752,3.196,27.636,4.888,24.628,22.184,21.056,23.5,4.7,19.928,95.88,32.5,4.2,56.4,24,18.3,11.6,3.6,15.7,13.3,32.8,22.3,16.6,74.4,74.8,87,46.9,68.2,5.5,28.9,61,72.1,46,25.3,2.4,35.6,69.7,68.7,9.1,27.2,13.1
