CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY
IDNPP,BIO,2023,2023,201.5507342
IDNSL,BIO,2023,2023,0
IDNSM,BIO,2023,2023,2897.449266
PHLLU,BIO,2023,2023,175.1235422
PHLMI,BIO,2023,2023,61.47440206
PHLVI,BIO,2023,2023,374.4020557
SGPXX,BIO,2023,2023,393
THACE,BIO,2023,2023,1309.595208
THANO,BIO,2023,2023,1025.686694
THASO,BIO,2023,2023,356.7180977
VNMCE,BIO,2023,2023,200.1
VNMNO,BIO,2023,2023,85
VNMSO,BIO,2023,2023,61
IDNPP,BIO,2024,2024,201.5507342
IDNSL,BIO,2024,2024,47.23845333
IDNSM,BIO,2024,2024,2897.449266
PHLLU,BIO,2024,2024,189.616525
PHLMI,BIO,2024,2024,61.47440206
PHLVI,BIO,2024,2024,410.6345127
SGPXX,BIO,2024,2024,393
THACE,BIO,2024,2024,1309.595208
THANO,BIO,2024,2024,1025.686694
THASO,BIO,2024,2024,356.7180977
VNMCE,BIO,2024,2024,200.1
VNMNO,BIO,2024,2024,85
VNMSO,BIO,2024,2024,61
IDNPP,BIO,2025,2025,201.5507342
IDNSL,BIO,2025,2025,47.23845333
IDNSM,BIO,2025,2025,2897.449266
PHLLU,BIO,2025,2025,189.616525
PHLMI,BIO,2025,2025,61.47440206
PHLVI,BIO,2025,2025,410.6345127
SGPXX,BIO,2025,2025,421.2733813
THACE,BIO,2025,2025,1309.595208
THANO,BIO,2025,2025,1025.686694
THASO,BIO,2025,2025,356.7180977
VNMCE,BIO,2025,2025,200.1
VNMNO,BIO,2025,2025,85
VNMSO,BIO,2025,2025,61
IDNPP,BIO,2026,2026,201.5507342
IDNSL,BIO,2026,2026,47.23845333
IDNSM,BIO,2026,2026,2897.449266
PHLLU,BIO,2026,2026,189.616525
PHLMI,BIO,2026,2026,61.47440206
PHLVI,BIO,2026,2026,410.6345127
SGPXX,BIO,2026,2026,421.2733813
THACE,BIO,2026,2026,1309.595208
THANO,BIO,2026,2026,1025.686694
THASO,BIO,2026,2026,356.7180977
VNMCE,BIO,2026,2026,200.1
VNMNO,BIO,2026,2026,85
VNMSO,BIO,2026,2026,61
IDNPP,BIO,2027,2027,201.5507342
IDNSL,BIO,2027,2027,47.23845333
IDNSM,BIO,2027,2027,2897.449266
PHLLU,BIO,2027,2027,189.616525
PHLMI,BIO,2027,2027,61.47440206
PHLVI,BIO,2027,2027,410.6345127
SGPXX,BIO,2027,2027,421.2733813
THACE,BIO,2027,2027,1309.595208
THANO,BIO,2027,2027,1025.686694
THASO,BIO,2027,2027,356.7180977
VNMCE,BIO,2027,2027,200.1
VNMNO,BIO,2027,2027,85
VNMSO,BIO,2027,2027,12
IDNPP,BIO,2028,2028,201.5507342
IDNSL,BIO,2028,2028,94.47690666
IDNSM,BIO,2028,2028,2062.903257
PHLLU,BIO,2028,2028,189.616525
PHLMI,BIO,2028,2028,61.47440206
PHLVI,BIO,2028,2028,410.6345127
SGPXX,BIO,2028,2028,421.2733813
THACE,BIO,2028,2028,1309.595208
THANO,BIO,2028,2028,1025.686694
THASO,BIO,2028,2028,356.7180977
VNMCE,BIO,2028,2028,200.1
VNMNO,BIO,2028,2028,85
VNMSO,BIO,2028,2028,12
IDNPP,BIO,2029,2029,201.5507342
IDNSL,BIO,2029,2029,94.47690666
IDNSM,BIO,2029,2029,2062.903257
PHLLU,BIO,2029,2029,189.616525
PHLMI,BIO,2029,2029,61.47440206
PHLVI,BIO,2029,2029,410.6345127
SGPXX,BIO,2029,2029,421.2733813
THACE,BIO,2029,2029,1309.595208
THANO,BIO,2029,2029,1025.686694
THASO,BIO,2029,2029,356.7180977
VNMCE,BIO,2029,2029,200.1
VNMNO,BIO,2029,2029,85
VNMSO,BIO,2029,2029,12
IDNPP,BIO,2030,2030,201.5507342
IDNSL,BIO,2030,2030,94.47690666
IDNSM,BIO,2030,2030,2062.903257
PHLLU,BIO,2030,2030,189.616525
PHLMI,BIO,2030,2030,61.47440206
PHLVI,BIO,2030,2030,410.6345127
SGPXX,BIO,2030,2030,229.0143885
THACE,BIO,2030,2030,1309.595208
THANO,BIO,2030,2030,1025.686694
THASO,BIO,2030,2030,356.7180977
VNMCE,BIO,2030,2030,200.1
VNMNO,BIO,2030,2030,85
VNMSO,BIO,2030,2030,12
IDNPP,BIO,2031,2031,201.5507342
IDNSL,BIO,2031,2031,94.47690666
IDNSM,BIO,2031,2031,2062.903257
PHLLU,BIO,2031,2031,189.616525
PHLMI,BIO,2031,2031,61.47440206
PHLVI,BIO,2031,2031,400.9725242
SGPXX,BIO,2031,2031,229.0143885
THACE,BIO,2031,2031,1309.595208
THANO,BIO,2031,2031,1025.686694
THASO,BIO,2031,2031,356.7180977
VNMCE,BIO,2031,2031,200.1
VNMNO,BIO,2031,2031,85
VNMSO,BIO,2031,2031,12
IDNPP,BIO,2032,2032,201.5507342
IDNSL,BIO,2032,2032,94.47690666
IDNSM,BIO,2032,2032,2062.903257
PHLLU,BIO,2032,2032,189.616525
PHLMI,BIO,2032,2032,61.47440206
PHLVI,BIO,2032,2032,400.9725242
SGPXX,BIO,2032,2032,229.0143885
THACE,BIO,2032,2032,1309.595208
THANO,BIO,2032,2032,1025.686694
THASO,BIO,2032,2032,356.7180977
VNMCE,BIO,2032,2032,200.1
VNMNO,BIO,2032,2032,85
VNMSO,BIO,2032,2032,12
IDNPP,BIO,2033,2033,201.5507342
IDNSL,BIO,2033,2033,94.47690666
IDNSM,BIO,2033,2033,2062.903257
PHLLU,BIO,2033,2033,189.616525
PHLMI,BIO,2033,2033,61.47440206
PHLVI,BIO,2033,2033,400.9725242
