admin_1,FUEL_TYPE,CUSTOM_NODE,START_YEAR,END_YEAR,CAPACITY
ID-SA,OIL,IDNSA,1974,2004,0.25
ID-JK,OIL,IDNJK,1961,1991,1
ID-BT,OCG,IDNBT,1996,2026,4.9
ID-BT,OCG,IDNBT,1996,2026,4.9
ID-JB,OIL,IDNJB,1997,2027,3.255
ID-JI,OIL,IDNJI,1966,1996,1.876
ID-JI,OIL,IDNJI,1966,1996,0.25
ID-RI,OIL,IDNRI,1976,2006,10.15
ID-MU,OIL,IDNMU,1983,2013,2.7
ID-MU,OIL,IDNMU,1981,2011,1.8
ID-JK,OIL,IDNJK,1986,2016,2.819
ID-JK,OIL,IDNJK,1986,2016,2.819
ID-RI,OIL,IDNRI,1986,2016,1
ID-JK,OIL,IDNJK,1992,2022,1.35
ID-JK,OIL,IDNJK,1992,2022,1.35
ID-JK,OIL,IDNJK,1992,2022,1.35
ID-SU,OIL,IDNSU,1976,2006,1.8
ID-JK,OIL,IDNJK,1986,2016,10.736
ID-JK,OIL,IDNJK,1986,2016,14.32
ID-JK,OIL,IDNJK,1986,2016,6.513
ID-JI,OIL,IDNJI,1986,2016,14.316
ID-JI,CCG,IDNJI,1998,2028,9.07
ID-JI,CCG,IDNJI,1998,2028,9.07
ID-JI,CCG,IDNJI,1998,2028,9.07
ID-JK,OIL,IDNJK,1992,2022,1
ID-JK,OIL,IDNJK,1992,2022,1
ID-JK,OIL,IDNJK,1992,2022,1
ID-JK,OIL,IDNJK,1992,2022,1
ID-JK,OIL,IDNJK,1986,2016,4
ID-JB,OIL,IDNJB,1977,2007,0.85
ID-JB,OIL,IDNJB,1980,2010,1.29
ID-RI,OIL,IDNRI,1974,2004,2.25
ID-JK,OIL,IDNJK,1985,2015,0.675
ID-JK,OIL,IDNJK,1985,2015,0.684
ID-JK,OIL,IDNJK,1985,2015,0.684
ID-JK,OIL,IDNJK,1985,2015,0.565
ID-JB,OIL,IDNJB,1986,2016,8
ID-JB,OIL,IDNJB,1986,2016,1.636
ID-JB,OIL,IDNJB,1986,2016,1.636
ID-JB,OIL,IDNJB,1986,2016,1.636
ID-JB,OIL,IDNJB,1986,2016,1.636
ID-JB,OIL,IDNJB,1986,2016,1.636
ID-SU,OIL,IDNSU,1986,2016,6
ID-LA,OIL,IDNLA,1986,2016,1.68
ID-JI,OIL,IDNJI,1982,2012,0.9
ID-JI,OIL,IDNJI,1982,2012,0.9
ID-KB,OIL,IDNKB,1983,2013,3
ID-KB,OIL,IDNKB,1983,2013,3
ID-JK,OIL,IDNJK,1979,2009,0.96
ID-JK,OIL,IDNJK,1983,2013,0.56
ID-JB,OIL,IDNJB,1982,2012,15
ID-JB,OIL,IDNJB,1982,2012,15
ID-JB,OIL,IDNJB,1986,2016,24.8
ID-SU,OIL,IDNSU,1960,1990,2.5
ID-KS,OIL,IDNKS,1961,1991,0.25
ID-KS,OIL,IDNKS,1961,1991,0.25
ID-KS,OIL,IDNKS,1961,1991,0.25
ID-JB,OIL,IDNJB,1986,2016,10.4
ID-JK,OIL,IDNJK,1984,2014,0.9
ID-JK,OIL,IDNJK,1977,2007,0.9
ID-KI,OCG,IDNKI,1985,2015,30.91
ID-KI,OIL,IDNKI,1983,2013,1
