admin_1,FUEL_TYPE,CUSTOM_NODE,START_YEAR,END_YEAR,CAPACITY,,
Dong Nai,OIL,,2001,2031,6.4,,An Giang
Dong Nai,OIL,,2001,2031,6.4,,Ba Ria Vung Tau
Ho Chi Minh,OCG,,1997,2027,125,,Ba Ria-Vung Tau
Ho Chi Minh,OCG,,1997,2027,125,,Bac Giang
Ho Chi Minh,OCG,,1998,2028,125,,Ben Tre
Dong Nai,OIL,,1993,2023,2,,Binh Duong
Kien Giang,OIL,,1998,2028,5.5,,Banh Dinh
Kien Giang,OIL,,1998,2028,5.5,,Binh Phuoc
Kien Giang,OIL,,1998,2028,5.5,,Binh Thuan
Kien Giang,OIL,,1998,2028,5.5,,Ca Mau
Kien Giang,OIL,,1998,2028,5.5,,Can Tho
Kien Giang,OIL,,1998,2028,5.5,,Dak Lak
Hai Phong,OIL,,1996,2026,49.6,,Dak Nong
Quang Ninh,COA,,2009,2039,300,,Dong Nai
Quang Ninh,COA,,2010,2040,300,,Gai Lai
Quang Ninh,COA,,2012,2042,300,,Gia Lai
Quang Ninh,COA,,2014,2044,300,,Ha Tinh
An Giang,OIL,,1997,2027,25.92,,Hai Duong
An Giang,OIL,,1997,2027,2.4,,Hai Phong
Hai Phong,OIL,,1981,2011,27.2,,Hanoi
Hai Phong,OIL,,1981,2011,27.2,,Hau Giang
Hai Phong,OIL,,1979,2009,17,,Ho Chi Minh
Hai Phong,OIL,,1979,2009,17,,Ho Chi Minh City
Ninh Binh,COA,,1974,2004,55,,Khanh Hoa
Ninh Binh,COA,,1975,2005,55,,Kien Giang
Ninh Binh,COA,,1976,2006,55,,Kon Tum
Ninh Binh,COA,,1976,2006,55,,Lang Son
Hai Duong,COA,,1983,2013,110,,Long An
Hai Duong,COA,,1984,2014,110,,Nghe An
Hai Duong,COA,,1985,2015,110,,Ninh Binh
Hai Duong,COA,,1986,2016,110,,Ninh Thuan
Hai Duong,COA,,2002,2032,300,,Phu Tho
Hai Duong,COA,,2002,2032,300,,Phu Yen
Quang Ninh,COA,,1975,2005,50,,Quang Binh
Quang Ninh,COA,,1976,2006,55,,Quang Nam
Quang Ninh,COA,,2007,2037,300,,Quang Ngai
Quang Ninh,COA,,2014,2044,330,,Quang Ninh
Ba Ria-Vung Tau,CCG,,1993,2023,37.5,,Quang Tri
Ba Ria-Vung Tau,CCG,,1993,2023,37.5,,Soc Trang
Ba Ria-Vung Tau,CCG,,1993,2023,37.5,,Tay Ninh
Ba Ria-Vung Tau,CCG,,1996,2026,37.5,,Thai Binh
Ba Ria-Vung Tau,CCG,,1994,2024,37.5,,Thai Nguyen
Ba Ria-Vung Tau,OIL,,1991,2021,23.4,,Thanh Hoa
Ba Ria-Vung Tau,OIL,,1991,2021,23.4,,Thua Thien Hue
Ba Ria-Vung Tau,CCG,,1993,2023,37.5,,Tra Vinh
Can Tho,OIL,,1975,2005,33,,
Can Tho,OCG,,1996,2026,38.5,,
Can Tho,OCG,,1996,2026,38.5,,
Can Tho,OCG,,1999,2029,39.1,,
Can Tho,OCG,,1999,2029,39.1,,
Ba Ria-Vung Tau,CCG,,2001,2031,240,,
Ba Ria-Vung Tau,CCG,,2001,2031,240,,
Ba Ria-Vung Tau,CCG,,2001,2031,240,,
Dong Nai,OIL,,1992,2022,37.5,,
Dong Nai,OIL,,1990,2020,23.4,,
Dong Nai,OIL,,1988,2018,15,,
Dong Nai,OIL,,1966,1996,33,,
Dong Nai,OIL,,1972,2002,66,,
Dong Nai,OIL,,1972,2002,66,,
Dong Nai,OIL,,1992,2022,37.5,,
Dong Nai,OIL,,1996,2026,3.2,,
Dong Nai,OIL,,1996,2026,3.2,,
Binh Duong,OIL,,1997,2027,2,,
Binh Duong,OIL,,1997,2027,2,,
Binh Duong,OIL,,1997,2027,4.35,,
Ba Ria-Vung Tau,OIL,,1995,2025,14.25,,
Ba Ria-Vung Tau,CCG,,1997,2027,145,,
Ba Ria-Vung Tau,CCG,,1997,2027,145,,
Ba Ria-Vung Tau,OCG,,1999,2029,150,,
Ba Ria-Vung Tau,OCG,,1999,2029,150,,
Ba Ria-Vung Tau,CCG,,1999,2029,138,,
Ba Ria-Vung Tau,CCG,,1999,2029,138,,
Ba Ria-Vung Tau,CCG,,2003,2033,240,,
Ba Ria-Vung Tau,CCG,,2003,2033,240,,
Ba Ria-Vung Tau,CCG,,2004,2034,145,,
Ba Ria-Vung Tau,CCG,,2004,2034,145,,
Dong Nai,OIL,,1998,2028,7.7,,
Dong Nai,OIL,,1998,2028,7.7,,
Dong Nai,OIL,,1998,2028,7.7,,
Dong Nai,OIL,,1998,2028,0.18,,
Can Tho,PET,,2009,2039,330,,
Can Tho,PET,,2015,2045,330,,
Lang Son,COA,,2004,2034,50,,
Lang Son,COA,,2004,2034,50,,
Thai Nguyen,COA,,2006,2036,57.5,,
Thai Nguyen,COA,,2006,2036,57.5,,
Tay Ninh,BIO,,1997,2042,12,,
Tay Ninh,BIO,,1997,2042,12,,
Dong Nai,BIO,,1997,2042,3,,
Dong Nai,OIL,,2000,2030,60,,
Hanoi,OIL,,1984,2014,2.5,,
Hanoi,OIL,,1984,2014,2.5,,
Ba Ria-Vung Tau,CCG,,2005,2035,230,,
Ba Ria-Vung Tau,CCG,,2005,2035,230,,
Ca Mau,CCG,,2007,2037,250,,
Ca Mau,CCG,,2007,2037,250,,
Ca Mau,CCG,,2008,2038,250,,
Ca Mau,CCG,,2008,2038,250,,
Quang Ninh,COA,,2011,2041,340,,
Quang Ninh,COA,,2011,2041,340,,
Hai Phong,COA,,2011,2041,300,,
Hai Phong,COA,,2011,2041,300,,
Hai Phong,COA,,2013,2043,300,,
Hai Phong,COA,,2014,2044,300,,
Phu Tho,COA,,1982,2012,14,,
Phu Tho,COA,,1982,2012,14,,
Bac Giang,COA,,2010,2040,12,,
Tra Vinh,BIO,,1996,2041,3,,
Tra Vinh,BIO,,1996,2041,3,,
Thanh Hoa,BIO,,1999,2044,3,,
Thai Nguyen,BIO,,1999,2044,1,,
Ha Tinh,COA,,2015,2045,150,,
Ha Tinh,COA,,2016,2046,150,,
Bac Giang,COA,,2009,2039,110,,
Bac Giang,COA,,2009,2039,110,,
Quang Nam,COA,,2014,2044,30,,
Ca Mau,OIL,,2001,2031,10.5,,
Thanh Hoa,COA,,2013,2043,300,,
Thanh Hoa,COA,,2013,2043,300,,
Thanh Hoa,COA,,2014,2044,300,,
Thanh Hoa,COA,,2014,2044,300,,
Dong Nai,CCG,,2008,2038,150,,
