CUSTOM_NODE,YEAR,VALUE
BTNXX,2021,9.5
BTNXX,2022,11.03
BTNXX,2023,12.58
BTNXX,2024,14.11
BTNXX,2025,15.66
BTNXX,2026,17.32
BTNXX,2027,18.97
BTNXX,2028,20.62
BTNXX,2029,22.27
BTNXX,2030,23.95
BTNXX,2031,25.73
BTNXX,2032,27.51
BTNXX,2033,29.28
BTNXX,2034,31.09
BTNXX,2035,32.86
BTNXX,2036,34.84
BTNXX,2037,36.82
BTNXX,2038,38.8
BTNXX,2039,40.78
BTNXX,2040,42.75
BTNXX,2041,44.93
BTNXX,2042,47.11
BTNXX,2043,49.29
BTNXX,2044,51.47
BTNXX,2045,53.64
BTNXX,2046,56
BTNXX,2047,58.35
BTNXX,2048,60.7
BTNXX,2049,63.06
BTNXX,2050,65.41
INDEA,2021,594.14
INDEA,2022,655.71
INDEA,2023,717.27
INDEA,2024,772.87
INDEA,2025,954.61
INDEA,2026,981.6
INDEA,2027,1012.38
INDEA,2028,1043.24
INDEA,2029,1074.44
INDEA,2030,1105.41
INDEA,2031,1174.28
INDEA,2032,1243.48
INDEA,2033,1314.83
INDEA,2034,1381.43
INDEA,2035,1450.11
INDEA,2036,1531.14
INDEA,2037,1612.66
INDEA,2038,1693.49
INDEA,2039,1771
INDEA,2040,1847.47
INDEA,2041,1935.51
INDEA,2042,2025.21
INDEA,2043,2114.95
INDEA,2044,2202.04
INDEA,2045,2289.82
INDEA,2046,2400.84
INDEA,2047,2502.17
INDEA,2048,2603.44
INDEA,2049,2704.7
INDEA,2050,2805.83
INDNE,2021,124.44
INDNE,2022,134.82
INDNE,2023,145.19
INDNE,2024,157.09
INDNE,2025,195.14
INDNE,2026,201.8
INDNE,2027,208.75
INDNE,2028,215.73
INDNE,2029,222.8
INDNE,2030,229.94
INDNE,2031,244.87
INDNE,2032,259.92
INDNE,2033,274.7
INDNE,2034,289.36
INDNE,2035,304.15
INDNE,2036,320.97
INDNE,2037,337.64
INDNE,2038,354.26
INDNE,2039,371.19
INDNE,2040,387.65
INDNE,2041,406.42
INDNE,2042,424.77
INDNE,2043,443.96
INDNE,2044,463.54
INDNE,2045,482.69
INDNE,2046,505.85
INDNE,2047,527.41
INDNE,2048,548.93
INDNE,2049,570.39
INDNE,2050,591.82
INDNO,2021,1201.31
INDNO,2022,1345.82
INDNO,2023,1490.33
INDNO,2024,1607.32
INDNO,2025,1983.05
INDNO,2026,2046.01
INDNO,2027,2110.99
INDNO,2028,2175.99
INDNO,2029,2240.57
INDNO,2030,2304.75
INDNO,2031,2445.12
INDNO,2032,2584.15
INDNO,2033,2722.59
INDNO,2034,2862.69
INDNO,2035,3002.82
INDNO,2036,3167.14
INDNO,2037,3331.72
INDNO,2038,3495.6
INDNO,2039,3661.16
INDNO,2040,3825.7
INDNO,2041,4014.42
INDNO,2042,4200.14
INDNO,2043,4384.46
INDNO,2044,4564.84
INDNO,2045,4744.94
INDNO,2046,4968.31
INDNO,2047,5176.61
INDNO,2048,5384.83
INDNO,2049,5593.11
INDNO,2050,5801.69
INDSO,2021,1420.31
INDSO,2022,1548.89
INDSO,2023,1677.48
INDSO,2024,1819.57
INDSO,2025,2261.9
INDSO,2026,2350.89
INDSO,2027,2430.09
INDSO,2028,2508.94
INDSO,2029,2588.21
INDSO,2030,2668.04
INDSO,2031,2837.62
INDSO,2032,3009.7
INDSO,2033,3181.67
INDSO,2034,3352.73
INDSO,2035,3524.68
INDSO,2036,3722.05
INDSO,2037,3918.08
INDSO,2038,4114.15
INDSO,2039,4310.15
INDSO,2040,4504.27
INDSO,2041,4726.24
INDSO,2042,4948.9
INDSO,2043,5170.39
INDSO,2044,5393.21
INDSO,2045,5615.87
INDSO,2046,5881.34
INDSO,2047,6132.32
INDSO,2048,6383.02
INDSO,2049,6633.32
INDSO,2050,6883.89
INDWE,2021,1270.15
INDWE,2022,1349.85
INDWE,2023,1429.56
INDWE,2024,1546.72
INDWE,2025,1924.8
INDWE,2026,1984.31
INDWE,2027,2047.52
