FUEL_TYPE,CUSTOM_NODE,CAPACITY
BIO,IDNSM,17.98
BIO,IDNNU,0.23
BIO,IDNJW,1.13
BIO,IDNSL,0.36
BIO,IDNKA,10.59
BIO,IDNML,0.07
BIO,IDNPP,0.51
GEO,IDNSM,12.54
GEO,IDNNU,1.21
GEO,IDNJW,10.27
GEO,IDNSL,1.9
GEO,IDNKA,0.05
GEO,IDNML,0.46
GEO,IDNPP,0.06
GEO,BRNXX,0
GEO,KHMXX,0
GEO,LAOXX,0
GEO,MYSPE,0
GEO,MYSSH,0
GEO,MYSSK,0
GEO,MMRXX,0
GEO,PHLLU,0.76
GEO,PHLVI,2.42
GEO,PHLMI,0.82
GEO,SGPXX,0
GEO,THANO,0
GEO,THACE,0
GEO,THASO,0
GEO,VNMSO,0
GEO,VNMCE,0
GEO,VNMNO,0
HYD,IDNSM,15.6
HYD,IDNNU,0.36
HYD,IDNJW,4.95
HYD,IDNSL,10.3
HYD,IDNKA,21.6
HYD,IDNML,0.73
HYD,IDNPP,22.4
HYD,BRNXX,0
HYD,KHMXX,10
HYD,LAOXX,20
HYD,MMRXX,39.71
HYD,MYSPE,14.23
HYD,MYSSH,0.38
HYD,MYSSK,5.39
HYD,PHLLU,11.64
HYD,PHLMI,4.86
HYD,PHLVI,0
HYD,SGPXX,0
HYD,THACE,3.95
HYD,THANO,10.89
HYD,THASO,0.31
HYD,VNMCE,16.45
HYD,VNMSO,2.39
HYD,VNMNO,16.16
SPV,BRNXX,0.16
SPV,IDNJW,40.8
SPV,IDNKA,133.69
SPV,IDNML,1.88
SPV,IDNNU,6.04
SPV,IDNPP,16.05
SPV,IDNSL,15.5
SPV,IDNSM,150.72
SPV,KHMXX,123.03
SPV,LAOXX,39.46
SPV,MMRXX,240.91
SPV,MYSPE,26.21
SPV,MYSSH,4.5
SPV,MYSSK,14.22
SPV,PHLLU,15.66
SPV,PHLMI,18.56
SPV,PHLVI,8.49
SPV,SGPXX,0.42
SPV,THACE,70.79
SPV,THANO,285.97
SPV,THASO,26.48
SPV,VNMCE,37.44
SPV,VNMSO,54.18
SPV,VNMNO,18.44
WOF,IDNSM,17.58
WOF,IDNNU,84.17
WOF,IDNJW,11.52
WOF,IDNSL,91.91
WOF,IDNKA,1.26
WOF,IDNML,68.3
WOF,IDNPP,2.25
WOF,BRNXX,0.372
WOF,KHMXX,0
WOF,LAOXX,0
WOF,MMRXX,0
WOF,MYSPE,0
WOF,MYSSH,0
WOF,MYSSK,0
WOF,PHLLU,6
WOF,PHLMI,6
WOF,PHLVI,6
WOF,SGPXX,0
WOF,THACE,0
WOF,THANO,0
WOF,THASO,0
WOF,VNMCE,0
WOF,VNMSO,261
WOF,VNMNO,0
WON,BRNXX,0.15
WON,IDNSM,1.25
WON,IDNNU,5.99
WON,IDNJW,0.82
WON,IDNSL,6.54
WON,IDNKA,0.09
WON,IDNML,4.86
WON,IDNPP,0.16
WON,KHMXX,125.31
WON,LAOXX,54.89
WON,MMRXX,324.8
WON,MYSPE,32.31
WON,MYSSH,8.06
WON,MYSSK,16.09
WON,PHLLU,27.61
WON,PHLMI,37.72
WON,PHLVI,17.1
WON,SGPXX,0.28
WON,THACE,76.48
WON,THANO,315
WON,THASO,35.81
WON,VNMCE,44.94
WON,VNMSO,54.89
WON,VNMNO,24.19
