Datetime,AS-IDN-JW,AS-IDN-KA,AS-IDN-ML,AS-IDN-NU,AS-IDN-PP,AS-IDN-SL,AS-IDN-SM,AS-LAO-XX,AS-MYS-PE,AS-MYS-SH,AS-MYS-SK,AS-PHL-LU,AS-PHL-MI,AS-PHL-VI,AS-THA-CE,AS-THA-NO,AS-THA-SO,AS-VNM-CE,AS-VNM-SO,AS-VNM-NO,AS-BRN-XX,AS-KHM-XX,AS-SGP-XX,AS-MMR-XX
01/01/2015 00:00,30.6,36.3,35.4,26.2,27.8,35.7,34.2,12.2,12.4,24.6,16.2,37.2,19.5,34.5,10.7,11.3,10.2,18.7,22.5,9.5,19.8,19.9,7.8,7.4
01/01/2015 01:00,49.2,51.9,48.7,36.6,40.3,48.6,48.8,30.9,28.3,35.4,24.6,49.1,30,50.6,32.2,28.2,28.8,42.1,41.2,25.8,36.2,39.7,16.9,27.2
01/01/2015 02:00,61.8,60.7,54.8,43.8,47,57.6,54.4,50.7,39.7,44.2,31.3,57.8,36.4,56.9,49.4,46.6,45.5,56.2,55.6,41.9,49.2,53.7,25.7,45.1
01/01/2015 03:00,69.3,62.9,57.2,46.6,46.6,58.5,60.4,63.1,45.9,46.6,36.8,63.3,35.5,57.6,60.1,60.6,55.7,64.1,64.5,53.9,59.4,60.4,28.8,57.6
01/01/2015 04:00,71.6,63.8,53.5,43.8,41.6,56.3,63.7,67.1,51.2,44,38.7,63.6,30.3,50.7,66,67.1,60.7,66.9,69,57.2,62.8,61.9,30.5,64.9
01/01/2015 05:00,68.1,59.4,39.7,38,34.5,49.3,63.4,67.1,49.1,39.3,38.8,58.6,25.5,40.9,67.5,67.7,59.8,64.5,67.1,57.7,59.5,60.1,28.9,67.2
01/01/2015 06:00,60.8,50.5,31.6,31.2,22.7,40,55.6,62.3,40.3,31.8,36.2,49.1,20,29.5,64.4,63.3,54.3,55.4,58.7,49.4,51.8,54.5,26.1,64.8
01/01/2015 07:00,49.4,37.6,22.7,23,10.3,28.1,45.5,50.8,28.1,20.6,25.9,33.9,13.1,17.1,56.3,54,43.5,46.3,45.1,37.3,40.1,45.6,21.6,57.6
01/01/2015 08:00,32.4,24.6,9.4,13.8,1.1,13.1,32.1,34.5,16.8,10.7,14.2,13.8,4.5,5,42.9,39.4,29.4,28.5,28.9,21.3,25.1,29.6,14.8,45.1
01/01/2015 09:00,16.2,8.6,0.2,3.9,0,1.6,18.6,14.5,8.3,1.8,4.2,0.4,0,0,24.5,20,17.3,12.2,13.9,6.8,7,11.4,6.8,27.3
