FUEL_TYPE,CUSTOM_NODE,CAPACITY,,,,,
BIO,IDNSM,17.98,,,,,
BIO,IDNNU,0.23,,,,,
BIO,IDNJW,1.13,,,,,
BIO,IDNSL,0.36,,,,,
BIO,IDNKA,10.59,,,,,
BIO,IDNML,0.07,,,,,
BIO,IDNPP,0.51,,,,,
GEO,IDNSM,12.54,,,,,
GEO,IDNNU,1.21,,,,,
GEO,IDNJW,10.27,,,,,
GEO,IDNSL,1.9,,,,,
GEO,IDNKA,0.05,,,,,
GEO,IDNML,0.46,,,,,
GEO,IDNPP,0.06,,,,,
HYD,IDNSM,15.6,,,,,
HYD,IDNNU,0.36,,,,,
HYD,IDNJW,4.95,,,,,
HYD,IDNSL,10.3,,,,,
HYD,IDNKA,21.6,,,,,
HYD,IDNML,0.73,,,,,
HYD,IDNPP,22.4,,,,,
SPV,BRNXX,0.16,,,,,
SPV,IDNJW,40.8,,,,,
SPV,IDNKA,133.69,,,,,
SPV,IDNML,1.88,,,,,
SPV,IDNNU,6.04,,,,,
SPV,IDNPP,16.05,,,,,
SPV,IDNSL,15.5,,,,,
SPV,IDNSM,150.72,,,,,
SPV,KHMXX,123.03,,,,,
SPV,LAOCE,9.45,,,,,
SPV,LAONO,3.76,,,,,
SPV,LAOSO,26.25,,,,,
SPV,MMRXX,240.91,,,,,
SPV,MYSCE,2.76,,,,,
SPV,MYSEA,12.44,,,,,
SPV,MYSNO,5.52,,,,,
SPV,MYSSH,4.5,,,,,
SPV,MYSSK,14.22,,,,,
SPV,MYSSO,5.49,,,,,
SPV,PHLLU,15.66,,,,,
SPV,PHLMI,18.56,,,,,
SPV,PHLVI,8.49,,,,,
SPV,SGPXX,0.42,,,,,
SPV,THACE,70.79,,,,,
SPV,THANE,202.87,,,,,
SPV,THANO,83.1,,,,,
SPV,THASO,26.48,,,,,
SPV,VNMCH,14.96,,,,,
SPV,VNMSO,54.18,,,,,
SPV,VNMNC,10.53,,,,,
SPV,VNMNO,18.44,,,,,
SPV,VNMSC,11.95,,,,,
