NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
BRN-XX_Hyd_Capacity Scaler,34.2,19.1,21.5,27.3,28.4,23.4,21.5,30.3,52.3,55.3,55.3,55.3
IDN-SU_Hyd_Capacity Scaler,16.8,9.5,16.5,30.9,32.7,22,23.1,29.5,55.7,55.7,55.7,55.7
IDN-SN_Hyd_Capacity Scaler,55.7,50.8,49.3,52.1,36.5,26.5,17.8,27.9,36.9,45.1,50.3,55.7
IDN-JB_Hyd_Capacity Scaler,55.7,50.6,55.7,53.6,33.5,14.8,8.4,7.1,8.7,25.8,55.7,55.7
IDN-LA_Hyd_Capacity Scaler,55.7,49.9,55.7,55,35.5,15.7,9.6,8.5,9.5,28.5,55.7,55.7
IDN-XX_Hyd_Capacity Scaler,48.1,44.8,47.4,44.4,30.1,17.3,12,12.9,20.3,29,46.9,55.7
IDN-JI_Hyd_Capacity Scaler,55.7,55.7,55.7,45.8,26.7,15,7.8,5.6,7.7,14,34.9,55.7
IDN-JT_Hyd_Capacity Scaler,55.7,55.7,55.7,39.4,23.5,14.1,8.1,5.6,8.2,17.2,39.5,55.7
IDN-SB_Hyd_Capacity Scaler,16.8,9.5,16.5,30.9,32.7,22,23.1,29.5,55.7,55.7,55.7,55.7
IDN-RI_Hyd_Capacity Scaler,55.7,51.1,55.7,52.9,32.4,14.4,7.7,6.3,8.3,24.3,55.7,55.7
IDN-BE_Hyd_Capacity Scaler,55.7,49.9,55.7,55,35.5,15.7,9.6,8.5,9.5,28.5,55.7,55.7
IDN-KS_Hyd_Capacity Scaler,55.7,55.7,55.7,46.7,27.2,15.2,7.8,5.6,7.7,13.5,34.3,55.7
KHM-XX_Hyd_Capacity Scaler,6.2,6.4,7.2,14,29.9,57.1,61.9,61.9,61.9,41.9,15.3,8.6
LAO-XX_Hyd_Capacity Scaler,34.6,34.9,36,42,66.6,80,80,80,80,54.2,36.6,34.6
LAO-SO_Hyd_Capacity Scaler,34.5,35.3,36.6,41.5,62.4,80,80,80,80,62.5,37.2,34.6
LAO-CE_Hyd_Capacity Scaler,34.6,34.8,35.8,42.2,68.3,80,80,80,80,51,36.4,34.6
LAO-NO_Hyd_Capacity Scaler,34.5,34.5,35.3,42.4,69.7,80,80,80,80,47.4,35.6,34.6
MMR-CE_Hyd_Capacity Scaler,15,14.7,14.7,16.3,38.6,74.7,80,80,80,75,40.2,15.3
MMR-XX_Hyd_Capacity Scaler,15,14.7,14.7,16.1,37.6,74.5,80,80,80,74.1,39.2,15.3
MMR-SO_Hyd_Capacity Scaler,15.1,14.5,14.6,16,36.6,71.6,80,80,80,80,41.5,15.4
MMR-NO_Hyd_Capacity Scaler,14.5,14.8,14.8,15.2,33.4,80,80,80,80,53.8,26.9,14.8
