Datetime,AS-BRN-XX,AS-IDN-JW,AS-IDN-KA,AS-IDN-ML,AS-IDN-NU,AS-IDN-PP,AS-IDN-SL,AS-IDN-SM,AS-KHM-XX,AS-LAO-CE,AS-LAO-NO,AS-LAO-SO,AS-MMR-XX,AS-MYS-CE,AS-MYS-EA,AS-MYS-NO,AS-MYS-SH,AS-MYS-SK,AS-MYS-SO,AS-PHL-LU,AS-PHL-MI,AS-PHL-VI,AS-SGP-XX,AS-THA-CE,AS-THA-NE,AS-THA-NO,AS-THA-SO,AS-VNM-CH,AS-VNM-NC,AS-VNM-NO,AS-VNM-SC,AS-VNM-SO
01/01/2015 00:00,0.3,47.94,11.28,22.372,6.768,0.564,72.568,43.992,9.9,8.6,4.2,30,27.4,7,20.8,8.7,3.4,0.3,17.7,80.3,84,95.5,23.2,19.8,37.3,50.6,31.5,60.7,33.7,27.6,68.4,54.2
01/01/2015 01:00,0.6,50,27.636,24.816,6.768,1.504,91.744,44.368,33,15.9,2.8,57.2,33.3,10.2,25.4,19.2,9.5,0.1,18.4,82.9,86.2,96.8,21.8,26.5,71.4,54.1,35.4,79.1,40.2,25.1,85,58.7
01/01/2015 02:00,0.7,50,31.584,24.064,8.836,2.068,100,42.488,44.9,29.1,3.1,77,43.3,11.5,27.8,31.6,16.4,0.4,25.9,84.2,86.2,97.1,22.9,21.4,78.3,57.4,56,85.5,57.1,25.9,90.5,63.3
01/01/2015 03:00,0.5,50,25.38,23.688,12.972,4.136,100,39.668,46.1,41.3,3.9,84.1,37.5,10.6,39.7,35.8,21.4,0.2,25.6,85.6,85.3,97.1,20.6,13.7,74.4,57.5,63.7,88.2,65,23.6,92.4,70
01/01/2015 04:00,0.3,50,16.92,24.628,16.732,6.768,91.744,36.848,43.2,52.3,4,86.2,32.4,8.4,44.6,33.4,23.5,0,19.2,86.6,83.8,96.7,15.5,9.2,69.3,54.7,64.2,89,70.7,22,92.7,76.8
01/01/2015 05:00,0.2,50,16.544,26.696,18.988,7.896,83.472,36.378,38,57.4,3.5,87.4,25.7,5.4,42.2,25.1,20.8,0,12.5,86.7,81.8,95.9,10.5,8,66.6,52.5,61.9,89.7,72.4,20,91.7,79.4
01/01/2015 06:00,0.4,50,16.732,27.824,20.304,6.204,79.336,40.608,34.4,58.3,3.5,87.7,19.7,3.6,31.4,13.5,15.4,0,8.2,86.1,77.8,94.9,6.2,8.7,67.2,50.4,58.6,88.4,72.7,19.2,90.1,80.6
01/01/2015 07:00,1.6,49.256,14.476,28.012,16.92,6.768,77.644,39.856,33.7,59.6,4.1,86.2,16.6,2.5,17.7,6.1,8.9,0.1,5.9,84.3,73.2,92.9,3.1,10.6,71.2,43.6,55.2,87.2,71.8,19.5,88.2,80.6
01/01/2015 08:00,3,49.068,7.708,27.26,10.904,10.904,71.064,37.412,35.2,59.4,5.1,82.3,17.1,1.9,6.9,3.6,4.5,0.3,5.7,81.2,67.4,90,2,14,76.8,34.8,51,83.4,66.7,20.6,82.7,80
01/01/2015 09:00,6,45.778,5.264,21.244,8.084,17.108,59.596,30.456,32.1,45.1,5.7,76.5,14.6,1,5.4,1.7,8.3,1.6,8.3,76.6,64.7,87.8,2.2,18.2,80,28.1,45.5,71.7,44.8,22.3,73,79.1
