CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY,,,,
IDNSM,BIO,2000,2045,88.1,,,,
IDNSM,BIO,2008,2053,313.62,,,,
IDNSM,BIO,2009,2054,16.49,,,,
IDNSM,BIO,2017,2062,9.82,,,,
IDNSM,BIO,2020,2050,62.18,,,,
IDNSL,BIO,2020,2050,0.5,,,,
IDNSM,BIO,1998,2043,315.7,,,,
IDNJW,BIO,1975,2020,95.85,,,,
IDNJW,BIO,2016,2061,149.09,,,,
IDNJW,BIO,2004,2049,19.8,,,,
IDNKA,BIO,2018,2063,24,,,,
IDNKA,BIO,2000,2045,22.42,,,,
IDNKA,BIO,1984,2029,8.04,,,,
IDNKA,BIO,1990,2035,3.67,,,,
IDNKA,BIO,2013,2058,379.47,,,,
IDNML,BIO,1994,2039,0,,,,
IDNPP,BIO,1998,2043,3.5,,,,
IDNPP,BIO,1995,2040,0,,,,
IDNSM,BIO,1994,2039,633.59,,,,
IDNSM,BIO,1996,2041,8.08,,,,
IDNSM,BIO,2010,2055,26.95,,,,
IDNSM,BIO,2018,2063,0.19,,,,
IDNSL,BIO,1986,2031,17.2,,,,
IDNSM,BIO,2016,2061,9.86,,,,
IDNSM,BIO,1982,2027,24.52,,,,
IDNSM,BIO,2005,2050,8.18,,,,
IDNSM,BIO,2012,2057,102.2,,,,
IDNJW,BIO,2020,2050,3.8,,,,
IDNJW,CCG,2008,2038,886.54,,,,
IDNJW,CCG,2012,2042,796.08,,,,
IDNSL,CCG,2020,2050,100,,,,
IDNJW,CCG,1997,2027,665.34,,,,
IDNJW,CCG,2009,2039,128.78,,,,
IDNJW,CCG,2011,2041,1089.1,,,,
IDNJW,CCG,1992,2022,1817.53,,,,
IDNJW,CCG,1993,2023,1311.12,,,,
IDNJW,CCG,1995,2025,803.27,,,,
IDNJW,CCG,1996,2026,962.08,,,,
IDNJW,CCG,1998,2028,58.66,,,,
IDNJW,CCG,2019,2049,583.22,,,,
IDNJW,CCG,2006,2036,165.46,,,,
IDNJW,CCG,2018,2048,810.4,,,,
IDNJW,CCG,2020,2050,675.33,,,,
IDNKA,CCG,1999,2029,53.66,,,,
IDNSM,CCG,2020,2050,580,,,,
IDNKA,CCG,2020,2050,21,,,,
IDNML,CCG,2020,2050,40,,,,
IDNSM,CCG,2005,2035,10.34,,,,
IDNSM,CCG,2006,2036,83.88,,,,
IDNSM,CCG,2019,2049,29.8,,,,
IDNSM,CCG,2022,2052,135.22,,,,
IDNSL,CCG,1997,2027,179.06,,,,
IDNSL,CCG,2008,2038,129.33,,,,
IDNSL,CCG,2013,2043,129.33,,,,
IDNSM,CCG,2002,2032,45.97,,,,
IDNSM,CCG,2004,2034,212.72,,,,
IDNSM,CCG,2010,2040,104.8,,,,
IDNSM,CCG,2014,2044,45.96,,,,
IDNSM,CCG,1992,2022,286.62,,,,
IDNSM,CCG,1993,2023,289.3,,,,
IDNSM,CCG,1994,2024,289.3,,,,
IDNSM,DSL,1978,2008,26.99,,,,
IDNSM,DSL,1981,2011,38.61,,,,
IDNSM,DSL,1983,2013,262.72,,,,
IDNSM,DSL,1984,2014,551.42,,,,
IDNSM,DSL,1985,2015,50,,,,
IDNSM,DSL,1986,2016,984.81,,,,
IDNSM,DSL,1987,2017,54.21,,,,
IDNSM,DSL,1997,2027,120.15,,,,
IDNSM,DSL,2010,2040,89.86,,,,
IDNSM,DSL,2011,2041,75.62,,,,
IDNSM,DSL,2015,2045,46.93,,,,
IDNNU,DSL,1983,2013,0.14,,,,
IDNNU,DSL,1985,2015,2.79,,,,
IDNNU,DSL,1993,2023,99.1,,,,
IDNNU,DSL,1994,2024,10.98,,,,
IDNNU,DSL,1997,2027,17.49,,,,
IDNNU,DSL,2006,2036,11.76,,,,
IDNNU,DSL,2011,2041,7.06,,,,
IDNNU,DSL,2015,2045,35.82,,,,
IDNSM,DSL,1975,2005,33.87,,,,
IDNSM,DSL,1979,2009,10.05,,,,
IDNSM,DSL,1980,2010,12.4,,,,
IDNSM,DSL,1982,2012,24.24,,,,
IDNSM,DSL,1993,2023,46.19,,,,
IDNSM,DSL,1999,2029,31.58,,,,
IDNSM,DSL,2013,2043,87.46,,,,
IDNSM,DSL,2014,2044,73.71,,,,
IDNSM,DSL,2016,2046,167.18,,,,
IDNJW,DSL,1971,2001,7.31,,,,
IDNJW,DSL,1972,2002,2.58,,,,
IDNJW,DSL,1973,2003,14.12,,,,
IDNJW,DSL,1974,2004,25.12,,,,
IDNJW,DSL,1975,2005,20.37,,,,
IDNJW,DSL,1976,2006,69.49,,,,
IDNJW,DSL,1977,2007,273.03,,,,
IDNJW,DSL,1979,2009,61.28,,,,
IDNJW,DSL,1981,2011,67.43,,,,
IDNJW,DSL,1982,2012,13.02,,,,
IDNJW,DSL,1983,2013,25.28,,,,
IDNJW,DSL,1984,2014,15.2,,,,
IDNJW,DSL,1986,2016,68.28,,,,
IDNJW,DSL,1991,2021,28.21,,,,
IDNJW,DSL,1992,2022,45.79,,,,
IDNJW,DSL,1993,2023,12.84,,,,
IDNJW,DSL,1995,2025,34.89,,,,
IDNJW,DSL,1996,2026,20.25,,,,
IDNJW,DSL,1997,2027,9.44,,,,
IDNJW,DSL,1999,2029,4.02,,,,
IDNSL,DSL,1997,2027,234.34,,,,
IDNSL,DSL,1999,2029,42.1,,,,
IDNSL,DSL,2016,2046,25.48,,,,
IDNSM,DSL,1992,2022,50.9,,,,
IDNJW,DSL,1967,1997,0.76,,,,
IDNJW,DSL,1970,2000,4.01,,,,
IDNJW,DSL,1978,2008,22.51,,,,
IDNJW,DSL,1980,2010,10.49,,,,
IDNJW,DSL,1985,2015,20.82,,,,
IDNJW,DSL,1988,2018,3.3,,,,
IDNJW,DSL,1990,2020,1.56,,,,
IDNJW,DSL,1994,2024,13.48,,,,
IDNJW,DSL,1964,1994,7.91,,,,
IDNJW,DSL,1966,1996,0.31,,,,
IDNJW,DSL,1969,1999,0.11,,,,
IDNJW,DSL,1987,2017,56.54,,,,
IDNJW,DSL,2002,2032,42.84,,,,
IDNJW,DSL,2005,2035,2.28,,,,
IDNJW,DSL,1961,1991,0.79,,,,
IDNJW,DSL,2019,2049,46.22,,,,
IDNJW,DSL,2020,2050,2.63,,,,
IDNJW,DSL,2016,2046,0.33,,,,
IDNKA,DSL,1971,2001,1.21,,,,
IDNKA,DSL,1972,2002,8.23,,,,
IDNKA,DSL,1980,2010,23.24,,,,
IDNKA,DSL,1982,2012,68.01,,,,
IDNKA,DSL,1983,2013,51.55,,,,
IDNKA,DSL,1984,2014,58.82,,,,
IDNKA,DSL,1985,2015,28.51,,,,
IDNKA,DSL,1986,2016,359.8,,,,
IDNKA,DSL,1988,2018,73.05,,,,
IDNKA,DSL,1991,2021,223.82,,,,
IDNKA,DSL,1992,2022,3.28,,,,
IDNKA,DSL,1993,2023,81.94,,,,
IDNKA,DSL,1997,2027,29,,,,
IDNKA,DSL,2005,2035,28,,,,
IDNKA,DSL,2008,2038,65.25,,,,
IDNKA,DSL,2014,2044,54.7,,,,
IDNKA,DSL,2017,2047,182.32,,,,
IDNKA,DSL,1978,2008,10.25,,,,
IDNKA,DSL,1979,2009,1.71,,,,
IDNKA,DSL,1981,2011,21.99,,,,
IDNKA,DSL,1987,2017,86.17,,,,
IDNKA,DSL,1989,2019,85.05,,,,
IDNKA,DSL,1990,2020,25.01,,,,
IDNKA,DSL,1994,2024,38.05,,,,
IDNKA,DSL,2013,2043,189.66,,,,
IDNKA,DSL,2019,2049,54.53,,,,
IDNKA,DSL,1961,1991,1.44,,,,
IDNKA,DSL,1995,2025,56.42,,,,
IDNKA,DSL,1996,2026,23.43,,,,
IDNKA,DSL,1998,2028,81.13,,,,
IDNKA,DSL,2010,2040,76.77,,,,
IDNKA,DSL,2004,2034,57.32,,,,
IDNKA,DSL,2012,2042,49.75,,,,
IDNKA,DSL,1975,2005,0.18,,,,
IDNSM,DSL,1988,2018,4.34,,,,
IDNSM,DSL,1991,2021,21.6,,,,
IDNSM,DSL,1995,2025,29.07,,,,
IDNSM,DSL,1998,2028,54.86,,,,
IDNML,DSL,1982,2012,14.31,,,,
IDNML,DSL,1983,2013,14.15,,,,
IDNML,DSL,1988,2018,76.33,,,,
IDNML,DSL,1997,2027,18.13,,,,
IDNML,DSL,1998,2028,31.8,,,,
IDNML,DSL,2004,2034,37.37,,,,
IDNML,DSL,2005,2035,19.88,,,,
IDNML,DSL,2011,2041,99.38,,,,
IDNML,DSL,1981,2011,6.66,,,,
IDNML,DSL,1986,2016,46.96,,,,
IDNML,DSL,1999,2029,22.18,,,,
IDNML,DSL,2018,2048,106.3,,,,
IDNNU,DSL,1982,2012,36.54,,,,
IDNNU,DSL,1986,2016,73.54,,,,
IDNNU,DSL,1987,2017,52.13,,,,
IDNNU,DSL,1992,2022,31.83,,,,
IDNNU,DSL,1998,2028,11.73,,,,
IDNNU,DSL,1999,2029,12.56,,,,
IDNNU,DSL,2000,2030,27.72,,,,
IDNNU,DSL,2018,2048,155.4,,,,
IDNNU,DSL,1981,2011,4.41,,,,
IDNNU,DSL,2017,2047,0.36,,,,
IDNNU,DSL,2019,2049,172.86,,,,
IDNPP,DSL,1986,2016,203.59,,,,
IDNPP,DSL,1998,2028,14.19,,,,
IDNPP,DSL,2017,2047,123.11,,,,
IDNPP,DSL,2020,2050,75.6,,,,
IDNPP,DSL,1981,2011,4.45,,,,
IDNPP,DSL,1984,2014,8.75,,,,
IDNPP,DSL,1991,2021,12.08,,,,
IDNPP,DSL,1995,2025,84.63,,,,
IDNPP,DSL,2010,2040,4.62,,,,
IDNSM,DSL,1970,2000,7.79,,,,
IDNSM,DSL,1972,2002,12.28,,,,
IDNSM,DSL,1973,2003,25.87,,,,
IDNSM,DSL,1974,2004,34.15,,,,
IDNSM,DSL,1976,2006,30.61,,,,
IDNSM,DSL,1990,2020,4.71,,,,
IDNSM,DSL,1994,2024,13.34,,,,
IDNSM,DSL,1996,2026,8.05,,,,
IDNSM,DSL,2001,2031,0.01,,,,
IDNSM,DSL,2012,2042,14.95,,,,
IDNSM,DSL,2018,2048,88.96,,,,
IDNSL,DSL,1974,2004,1.15,,,,
IDNSL,DSL,1979,2009,18.25,,,,
IDNSL,DSL,1981,2011,62.9,,,,
IDNSL,DSL,1986,2016,559.57,,,,
IDNSL,DSL,2013,2043,107.97,,,,
IDNSL,DSL,1983,2013,7.75,,,,
IDNSL,DSL,1996,2026,23,,,,
IDNSL,DSL,1998,2028,25.76,,,,
IDNSL,DSL,2017,2047,262.25,,,,
IDNSL,DSL,1963,1993,0.44,,,,
IDNSL,DSL,1966,1996,34.8,,,,
