Datetime,AS-IDN-AC,AS-IDN-BA,AS-IDN-BB,AS-IDN-BE,AS-IDN-BT,AS-IDN-GO,AS-IDN-JA,AS-IDN-JB,AS-IDN-JI,AS-IDN-JK,AS-IDN-JT,AS-IDN-KB,AS-IDN-KI,AS-IDN-KR,AS-IDN-KS,AS-IDN-KT,AS-IDN-KU,AS-IDN-LA,AS-IDN-MA,AS-IDN-MU,AS-IDN-NB,AS-IDN-NT,AS-IDN-PA,AS-IDN-PB,AS-IDN-RI,AS-IDN-SA,AS-IDN-SB,AS-IDN-SG,AS-IDN-SN,AS-IDN-SS,AS-IDN-ST,AS-IDN-SU,AS-IDN-YO,AS-LAO-CE,AS-LAO-NO,AS-LAO-SO,AS-MMR-CE,AS-MMR-NO,AS-MMR-SO,AS-MYS-CE,AS-MYS-EA,AS-MYS-NO,AS-MYS-SH,AS-MYS-SK,AS-MYS-SO,AS-PHL-LU,AS-PHL-MI,AS-PHL-VI,AS-THA-CE,AS-THA-NE,AS-THA-NO,AS-THA-SO,AS-VNM-CH,AS-VNM-ME,AS-VNM-NC,AS-VNM-NE,AS-VNM-NW,AS-VNM-RR,AS-VNM-SC,AS-VNM-SE,AS-BRN-XX,AS-KHM-XX,AS-SGP-XX
01/01/2015 00:00,2.256,1.128,100,23.124,100,100,13.536,100,34.404,100,100,0,31.584,100,33.84,0,23.124,19.176,15.228,67.116,20.304,15.228,1.692,0.564,27.072,86.856,20.304,9.588,27.636,34.404,6.768,25.944,100,17.2,8.4,60,53.6,26.8,54.8,14,41.6,17.4,6.8,0.6,35.4,100,100,100,39.6,74.6,100,63,100,81.4,67.4,37.8,2.8,55.2,100,100,0.6,19.8,46.4
01/01/2015 01:00,0,6.204,100,78.396,100,100,21.996,100,72.192,100,100,2.256,82.908,100,29.892,0.564,52.452,70.5,8.46,74.448,16.92,20.304,4.512,1.692,1.128,100,23.124,12.408,15.792,57.528,23.124,11.844,100,31.8,5.6,100,10.8,14.4,66.6,20.4,50.8,38.4,19,0.2,36.8,100,100,100,53,100,100,70.8,100,98.8,80.4,34.4,3.6,50.2,100,100,1.2,66,43.6
01/01/2015 02:00,0.564,10.152,100,100,100,100,41.172,100,100,100,100,8.46,94.752,100,34.404,0.564,55.272,98.136,2.82,72.192,14.664,26.508,6.204,1.128,2.82,100,36.66,19.74,9.024,68.808,37.224,9.588,100,58.2,6.2,100,0.2,8.6,86.6,23,55.6,63.2,32.8,0.8,51.8,100,100,100,42.8,100,100,100,100,100,100,37,5.2,51.8,100,100,1.4,89.8,45.8
01/01/2015 03:00,1.692,16.356,100,100,100,100,36.096,100,100,100,100,9.588,76.14,100,36.096,0,51.324,90.24,0.564,71.064,25.38,38.916,12.408,1.692,16.356,100,46.248,30.456,11.844,73.32,40.608,10.716,100,82.6,7.8,100,0.2,11,75,21.2,79.4,71.6,42.8,0.4,51.2,100,100,100,27.4,100,100,100,100,100,100,34.8,7,47.2,100,100,1,92.2,41.2
01/01/2015 04:00,6.204,19.74,100,100,100,100,30.456,100,100,100,100,11.844,50.76,100,30.456,0,50.76,81.78,0.564,73.884,45.12,50.196,20.304,3.384,24.816,100,48.504,45.12,29.892,74.448,44.556,13.536,100,100,8,100,2.6,2.4,64.8,16.8,89.2,66.8,47,0,38.4,100,100,100,18.4,100,100,100,100,100,100,31.2,7.6,44,100,100,0.6,86.4,31
01/01/2015 05:00,11.844,21.996,100,100,100,100,28.764,100,89.676,100,100,10.716,25.38,100,20.304,0,49.632,75.012,2.256,80.088,44.556,56.964,23.688,5.64,30.456,100,49.068,43.428,53.58,75.012,37.788,18.048,100,100,7,100,11.2,0,51.4,10.8,84.4,50.2,41.6,0,25,100,100,100,16,100,100,100,100,100,100,28.4,7.6,40,100,100,0.4,76,21
01/01/2015 06:00,18.048,25.944,100,100,100,100,27.072,100,82.344,100,100,5.076,7.332,100,7.896,0,50.196,62.604,3.948,83.472,32.712,60.912,18.612,3.948,31.02,100,56.4,20.304,75.576,74.448,23.124,24.816,100,100,7,100,24.2,0,39.4,7.2,62.8,27,30.8,0,16.4,100,100,100,17.4,100,100,100,100,100,100,28.8,8.2,38.4,100,100,0.8,68.8,12.4
01/01/2015 07:00,20.868,27.072,100,100,100,100,27.072,100,81.78,100,100,0.564,3.948,91.932,0.564,0,43.428,38.916,5.64,84.036,20.868,50.76,20.304,1.128,26.508,100,59.784,11.844,86.292,75.012,10.716,27.636,100,100,8.2,100,33.2,0,32,5,35.4,12.2,17.8,0.2,11.8,100,100,100,21.2,100,87.2,100,100,100,100,33,9.6,39,100,100,3.2,67.4,6.2
01/01/2015 08:00,20.868,23.124,100,100,100,100,29.328,100,72.192,100,100,0,2.82,73.32,0,0,23.124,16.92,8.46,81.78,10.716,32.712,32.712,1.692,9.588,100,50.76,12.408,72.756,71.628,3.384,21.432,100,100,10.2,100,34.2,0,27.8,3.8,13.8,7.2,9,0.6,11.4,100,100,100,28,100,69.6,100,100,100,100,40.2,10.6,41.2,100,100,6,70.4,4
01/01/2015 09:00,15.792,18.048,100,100,100,100,36.66,100,66.552,100,77.268,0,9.588,52.452,0,0,15.792,3.948,6.768,63.732,5.64,24.252,51.324,6.768,1.692,100,36.096,20.868,50.196,69.372,3.384,10.716,100,90.2,11.4,100,29.2,0,26.2,2,10.8,3.4,16.6,3.2,16.6,100,100,100,36.4,100,56.2,91,100,100,89.6,44.6,9.8,44,100,100,12,64.2,4.4
