CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY
IDNBB,BIO,2000,2045,39.27
IDNBB,BIO,2008,2053,11.78
IDNBB,BIO,2009,2054,16.49
IDNBB,BIO,2017,2062,9.82
IDNBE,BIO,2020,2050,3.06
IDNGO,BIO,2020,2050,0.5
IDNJA,BIO,1998,2043,46.2
IDNJI,BIO,1975,2020,31.95
IDNJI,BIO,1975,2020,31.95
IDNJI,BIO,1975,2020,31.95
IDNJI,BIO,2016,2061,149.09
IDNJT,BIO,2004,2049,9.9
IDNJT,BIO,2004,2049,9.9
IDNKB,BIO,2018,2063,24
IDNKI,BIO,2000,2045,22.42
IDNKR,BIO,2020,2050,1
IDNKS,BIO,1984,2029,4.02
IDNKS,BIO,1984,2029,4.02
IDNKS,BIO,1990,2035,3.67
IDNKT,BIO,2013,2058,379.47
IDNLA,BIO,2020,2050,58.12
IDNMA,BIO,1994,2039,0
IDNPA,BIO,1998,2043,3.5
IDNPB,BIO,1995,2040,0
IDNRI,BIO,1994,2039,144.99
IDNRI,BIO,1994,2039,144.99
IDNRI,BIO,1994,2039,74.11
IDNRI,BIO,1994,2039,269.5
IDNRI,BIO,1996,2041,8.08
IDNRI,BIO,1998,2043,269.5
IDNRI,BIO,2000,2045,29.18
IDNRI,BIO,2000,2045,3.23
IDNRI,BIO,2000,2045,3.23
IDNRI,BIO,2000,2045,3.77
IDNRI,BIO,2008,2053,301.84
IDNRI,BIO,2010,2055,26.95
IDNSB,BIO,2000,2045,0.52
IDNSB,BIO,2000,2045,0.49
IDNSB,BIO,2018,2063,0.01
IDNSB,BIO,2018,2063,0.07
IDNSB,BIO,2018,2063,0.11
IDNSN,BIO,1986,2031,17.2
IDNSS,BIO,2000,2045,0.13
IDNSS,BIO,2000,2045,2.82
IDNSS,BIO,2016,2061,4.93
IDNSS,BIO,2016,2061,4.93
IDNSU,BIO,1982,2027,12.26
IDNSU,BIO,1982,2027,12.26
IDNSU,BIO,2000,2045,2.73
IDNSU,BIO,2000,2045,2.73
IDNSU,BIO,2005,2050,8.18
IDNSU,BIO,2012,2057,51.1
IDNSU,BIO,2012,2057,51.1
IDNYO,BIO,2020,2050,3.8
IDNBT,CCG,2008,2038,443.27
IDNBT,CCG,2008,2038,443.27
IDNBT,CCG,2012,2042,73.88
IDNBT,CCG,2012,2042,73.88
IDNGO,CCG,2020,2050,100
IDNJB,CCG,1997,2027,221.78
IDNJB,CCG,1997,2027,221.78
IDNJB,CCG,1997,2027,221.78
IDNJB,CCG,2009,2039,64.39
IDNJB,CCG,2009,2039,64.39
IDNJB,CCG,2011,2041,275.32
IDNJI,CCG,1992,2022,176.54
IDNJI,CCG,1992,2022,176.54
IDNJI,CCG,1992,2022,176.54
IDNJI,CCG,1992,2022,176.54
IDNJI,CCG,1992,2022,176.54
IDNJI,CCG,1992,2022,176.54
IDNJI,CCG,1992,2022,176.54
IDNJI,CCG,1992,2022,176.54
IDNJI,CCG,1993,2023,176.54
IDNJI,CCG,1995,2025,158.81
IDNJI,CCG,1996,2026,158.81
IDNJI,CCG,1996,2026,158.81
IDNJI,CCG,1998,2028,14.3
IDNJI,CCG,1998,2028,14.3
IDNJI,CCG,1998,2028,14.3
