NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
AGO_Hyd_Capacity Scaler,80,80,80,66.5,29.6,28.4,28.4,28.5,29.1,34.1,61.1,79.8
BDI_Hyd_Capacity Scaler,48.9,50.9,61.3,61.3,61.3,14.1,6.1,8.1,21.4,52.9,61.3,60.5
BEN_Hyd_Capacity Scaler,7.4,7.5,8.8,14.7,37.1,73.8,73.8,73.8,73.8,44.7,10.3,7.5
BFA_Hyd_Capacity Scaler,7.3,7.8,9.2,15.1,35.9,72.8,72.8,72.8,72.8,34.8,8,7.5
BWA_Hyd_Capacity Scaler,39.3,39.3,39.3,24.5,8.4,5.7,4.3,8.9,13.8,24.4,37.4,35.6
CAF_Hyd_Capacity Scaler,60,60,60.6,64,72,80,80,80,80,78.7,61.1,60
CIV_Hyd_Capacity Scaler,5.8,7.2,15.3,26.9,38.7,57.9,58.3,48,58.3,56.5,16.3,7.8
CMR_Hyd_Capacity Scaler,43.8,44,45.3,49.4,62.1,71.6,80,80,80,75.5,47.8,44.1
COD_Hyd_Capacity Scaler,57.4,58,66.1,44.5,20.5,8,6.6,7,9.5,19.6,49.7,65.9
COG_Hyd_Capacity Scaler,57,57.8,80,80,31.5,16.7,16.5,16.6,17.3,26.6,80,80
CPV_Hyd_Capacity Scaler,38.3,38.8,42.2,48.3,61.7,80,80,73.2,80,72.4,44.4,39.7
DJI_Hyd_Capacity Scaler,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
DZA_Hyd_Capacity Scaler,19.5,19.5,19.5,13.6,9.5,3.8,2,2.2,3.6,3.4,12.9,19.5
EGY_Hyd_Capacity Scaler,28.8,28.8,33.2,46,59.6,80,80,80,80,66.8,38.7,31.3
ERI_Hyd_Capacity Scaler,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
ESH_Hyd_Capacity Scaler,22.5,22.5,20.9,21.9,9.7,4.1,2.4,2.3,4.2,6.7,12.4,21.3
ETH_Hyd_Capacity Scaler,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
GAB_Hyd_Capacity Scaler,51,53.8,80,80,77.7,25.3,10.5,12.5,47.7,80,80,66.3
GHA_Hyd_Capacity Scaler,38.3,38.8,42.2,48.3,61.7,80,80,73.2,80,72.4,44.4,39.7
GIN_Hyd_Capacity Scaler,13.6,13.6,13.7,14.7,29,73,80,80,80,80,20.1,13.9
GMB_Hyd_Capacity Scaler,11.3,11.4,11.6,12.7,25.1,76.8,80,80,80,80,16.8,11.4
GNB_Hyd_Capacity Scaler,11.3,11.4,11.6,12.7,25.1,76.8,80,80,80,80,16.8,11.4
GNQ_Hyd_Capacity Scaler,17.8,18.8,28.4,28.4,27.6,8.3,2.8,3.6,16.6,28.4,28.4,23.4
KEN_Hyd_Capacity Scaler,33.4,30.2,48.3,76.7,76.7,33.3,28.2,25.7,21.8,72.4,73.3,55.2
LBR_Hyd_Capacity Scaler,39,40,41.5,51.6,55.7,80,80,80,80,76.2,52.4,40.9
LBY_Hyd_Capacity Scaler,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
LSO_Hyd_Capacity Scaler,80,80,80,67,61.5,60.1,60,62.1,63.7,65.7,80,72.6
MAR_Hyd_Capacity Scaler,22.5,22.5,20.9,21.9,9.7,4.1,2.4,2.3,4.2,6.7,12.4,21.3
MDG_Hyd_Capacity Scaler,80,80,80,58.2,54.4,53.7,53.5,53.3,53,54,60.5,80
MLI_Hyd_Capacity Scaler,32.4,32.4,33.5,35.9,43.9,78.9,80,80,80,78.7,37.6,32.4
MOZ_Hyd_Capacity Scaler,80,80,80,64.7,60.8,60.1,60.1,60,61.2,61.6,67.2,80
MRT_Hyd_Capacity Scaler,11.3,11.4,11.6,12.7,25.1,76.8,80,80,80,80,16.8,11.4
MUS_Hyd_Capacity Scaler,41,41,41,11.5,6.1,5.1,4.8,4.5,4.1,5.5,14.4,41
MWI_Hyd_Capacity Scaler,80,80,80,47,38.1,37.5,37.5,37.5,37.6,38.9,48.3,80
NAM_Hyd_Capacity Scaler,80,80,80,80,41.6,41.1,41.1,41.1,41.5,44.3,62.9,79.4
NER_Hyd_Capacity Scaler,7.4,7.5,8.8,14.7,37.1,73.8,73.8,73.8,73.8,44.7,10.3,7.5
NGA_Hyd_Capacity Scaler,7.4,7.5,8.8,14.7,37.1,73.8,73.8,73.8,73.8,44.7,10.3,7.5
RWA_Hyd_Capacity Scaler,44,45.8,55.1,55.1,55.1,12.7,5.5,7.3,19.2,47.6,55.1,54.4
SDN_Hyd_Capacity Scaler,9.4,9.5,14.6,29.5,48.6,78.7,78.7,78.7,78.7,57.5,20.7,12.2
