FUEL,COUNTRY,VALUE,YEAR
GAS,IDN,453,2023
GAS,IDN,933,2035
GAS,IDN,933,2050
COA,IDN,3300,2023
COA,IDN,3300,2050
OIL,IDN,0,2023
OIL,IDN,0,2050
GAS,VNM,89,2023
GAS,VNM,178,2035
GAS,VNM,178,2050
COA,VNM,510,2023
COA,VNM,510,2050
OIL,VNM,0,2023
OIL,VNM,0,2050
GAS,MYS,667,2023
GAS,MYS,1335,2035
GAS,MYS,1335,2050
COA,MYS,0,2023
COA,MYS,0,2050
OIL,MYS,0,2023
OIL,MYS,0,2050
GAS,PHL,35,2023
GAS,PHL,71,2035
GAS,PHL,71,2050
COA,PHL,129,2023
COA,PHL,129,2050
OIL,PHL,0,2023
OIL,PHL,0,2050
GAS,LAO,0,2023
GAS,LAO,0,2035
GAS,LAO,0,2050
COA,LAO,236,2023
COA,LAO,236,2050
OIL,LAO,0,2023
OIL,LAO,0,2050
GAS,THA,339,2023
GAS,THA,678,2035
GAS,THA,678,2050
COA,THA,140,2023
COA,THA,140,2050
OIL,THA,0,2023
OIL,THA,0,2050
GAS,KHM,0,2023
GAS,KHM,0,2035
GAS,KHM,0,2050
COA,KHM,0,2023
COA,KHM,0,2050
OIL,KHM,0,2023
OIL,KHM,0,2050
GAS,SGP,0,2023
GAS,SGP,0,2035
GAS,SGP,0,2050
COA,SGP,0,2023
COA,SGP,0,2050
OIL,SGP,0,2023
OIL,SGP,0,2050
GAS,BRN,108,2023
GAS,BRN,216,2035
GAS,BRN,216,2050
COA,BRN,0,2023
COA,BRN,0,2050
OIL,BRN,0,2023
OIL,BRN,0,2050
GAS,MMR,157,2023
GAS,MMR,315,2035
GAS,MMR,315,2050
COA,MMR,0,2023
COA,MMR,0,2050
OIL,MMR,0,2023
OIL,MMR,0,2050
