FUEL,COUNTRY,UNIT,ENERGY_CONTENT,2020,2025,2030,2040,2050
BIO,BRN,$/GJ,1,8,8,8,8,8
BIO,IDN,$/GJ,1,8,8,8,8,8
BIO,INT,$/GJ,1,10,10,10,10,10
BIO,LAO,$/GJ,1,8,8,8,8,8
BIO,MMR,$/GJ,1,8,8,8,8,8
BIO,MYS,$/GJ,1,8,8,8,8,8
BIO,PHL,$/GJ,1,8,8,8,8,8
BIO,THA,$/GJ,1,8,8,8,8,8
BIO,VNM,$/GJ,1,8,8,8,8,8
COA,BRN,$/mt,29.31,60.8,130,130,130,130
COA,IDN,$/mt,29.31,60.8,70,70,70,70
COA,INT,$/mt,29.31,60.8,130,130,130,130
COA,LAO,$/mt,29.31,60.8,100,100,100,100
COA,MMR,$/mt,29.31,60.8,130,130,130,130
COA,MYS,$/mt,29.31,60.8,130,130,130,130
COA,PHL,$/mmbtu,29.31,60.8,130,130,130,130
COA,THA,$/mt,29.31,60.8,100,100,100,100
COA,VNM,$/mt,29.31,60.8,100,100,100,100
COG,BRN,$/mmbtu,1.06,6,12,12,12,12
COG,IDN,$/mmbtu,1.06,6,12,12,12,12
COG,INT,$/mmbtu,1.06,6,15,15,15,15
COG,LAO,$/mmbtu,1.06,6,12,12,12,12
COG,MMR,$/mmbtu,1.06,6,12,12,12,12
COG,MYS,$/mmbtu,1.06,6,12,12,12,12
COG,PHL,$/mmbtu,1.06,6,12,12,12,12
COG,THA,$/mmbtu,1.06,6,12,12,12,12
COG,VNM,$/mmbtu,1.06,6,12,12,12,12
GAS,BRN,$/mmbtu,1.06,6,9,9,9,9
GAS,IDN,$/mmbtu,1.06,6,12,12,12,12
GAS,INT,$/mmbtu,1.06,6,15,15,15,15
GAS,LAO,$/mmbtu,1.06,6,15,15,15,15
GAS,MMR,$/mmbtu,1.06,6,9,9,9,9
GAS,MYS,$/mmbtu,1.06,6,9,9,9,9
GAS,PHL,$/mmbtu,1.06,6,9,9,9,9
GAS,THA,$/mmbtu,1.06,6,9,9,9,9
GAS,VNM,$/mmbtu,1.06,6,9,9,9,9
OIL,BRN,$/bbl,6.12,100,100,100,100,100
OIL,IDN,$/bbl,6.12,100,100,100,100,100
OIL,INT,$/bbl,6.12,100,100,100,100,100
OIL,LAO,$/bbl,6.12,100,100,100,100,100
OIL,MMR,$/bbl,6.12,100,100,100,100,100
OIL,MYS,$/bbl,6.12,100,100,100,100,100
OIL,PHL,$/bbl,6.12,100,100,100,100,100
OIL,THA,$/bbl,6.12,100,100,100,100,100
OIL,VNM,$/bbl,6.12,100,100,100,100,100
OTH,BRN,$/bbl,6.12,100,100,100,100,100
OTH,IDN,$/bbl,6.12,100,100,100,100,100
OTH,INT,$/bbl,6.12,100,100,100,100,100
OTH,LAO,$/bbl,6.12,100,100,100,100,100
OTH,MMR,$/bbl,6.12,100,100,100,100,100
OTH,MYS,$/bbl,6.12,100,100,100,100,100
OTH,PHL,$/bbl,6.12,100,100,100,100,100
OTH,THA,$/bbl,6.12,100,100,100,100,100
OTH,VNM,$/bbl,6.12,100,100,100,100,100
PET,BRN,$/bbl,6.12,100,100,100,100,100
PET,IDN,$/bbl,6.12,100,100,100,100,100
PET,INT,$/bbl,6.12,100,100,100,100,100
PET,LAO,$/bbl,6.12,100,100,100,100,100
PET,MMR,$/bbl,6.12,100,100,100,100,100
PET,MYS,$/bbl,6.12,100,100,100,100,100
PET,PHL,$/bbl,6.12,100,100,100,100,100
PET,THA,$/bbl,6.12,100,100,100,100,100
PET,VNM,$/bbl,6.12,100,100,100,100,100
URN,BRN,$/GJ,1,3.8,5.5,7.2,10.8,14.4
URN,IDN,$/GJ,1,3.8,5.5,7.2,10.8,14.4
URN,INT,$/GJ,1,3.8,5.5,7.2,10.8,14.4
URN,LAO,$/GJ,1,3.8,5.5,7.2,10.8,14.4
URN,MMR,$/GJ,1,3.8,5.5,7.2,10.8,14.4
URN,MYS,$/GJ,1,3.8,5.5,7.2,10.8,14.4
URN,PHL,$/GJ,1,3.8,5.5,7.2,10.8,14.4
URN,THA,$/GJ,1,3.8,5.5,7.2,10.8,14.4
URN,VNM,$/GJ,1,3.8,5.5,7.2,10.8,14.4
