Hour_continuous,capacity_factor
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0.092
9,0.349
10,0.591
11,0.726
12,0.801
13,0.825
14,0.795
15,0.697
16,0.54
17,0.283
18,0.046
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0.03
33,0.174
34,0.41
35,0.568
36,0.647
37,0.681
38,0.67
39,0.568
40,0.398
41,0.202
42,0.039
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0.073
57,0.31
58,0.593
59,0.746
60,0.808
61,0.804
62,0.747
63,0.659
64,0.527
65,0.314
66,0.087
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0.147
81,0.441
82,0.64
83,0.773
84,0.848
85,0.87
86,0.843
87,0.768
88,0.636
89,0.442
90,0.169
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0.047
105,0.256
106,0.542
107,0.72
108,0.806
109,0.833
110,0.809
111,0.742
112,0.615
113,0.414
114,0.142
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0.043
129,0.267
130,0.493
131,0.55
132,0.571
133,0.574
134,0.562
135,0.534
136,0.476
137,0.315
138,0.085
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.048
153,0.228
154,0.453
155,0.615
156,0.7
157,0.7
158,0.686
159,0.625
160,0.458
161,0.245
162,0.054
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0.088
177,0.323
178,0.617
179,0.749
180,0.824
181,0.848
182,0.823
183,0.736
184,0.593
185,0.343
186,0.106
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0.145
201,0.436
202,0.633
203,0.761
204,0.835
205,0.857
206,0.831
207,0.756
208,0.62
209,0.413
210,0.135
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0.128
225,0.411
226,0.607
