Node,Latitude,Longitude
AF-AGO,-11.20269,17.87389
AF-AGO,-3.37306,29.91889
AF-BDI,9.30769,2.31583
AF-BDI,12.23833,-1.56159
AF-BEN,-22.32847,24.68487
AF-BEN,6.61111,20.93944
AF-BFA,7.53999,-5.54708
AF-BFA,7.36972,12.35472
AF-BWA,-4.03833,21.75866
AF-BWA,-0.22802,15.82766
AF-CAF,11.82514,42.59028
AF-CAF,28.03389,1.65963
AF-CIV,26.82055,30.80250
AF-CIV,15.17938,39.78233
AF-CMR,9.14500,40.48967
AF-CMR,-0.80369,11.60944
AF-COD,7.94653,-1.02319
AF-COD,9.94559,-9.69665
AF-COG,13.44318,-15.31014
AF-COG,11.80375,-15.18041
AF-DJI,1.65080,10.26790
AF-DJI,-0.02356,37.90619
AF-DZA,6.42806,-9.42950
AF-DZA,26.33510,17.22833
AF-EGY,-29.60999,28.23361
AF-EGY,31.79170,-7.09262
AF-ERI,-18.76695,46.86911
AF-ERI,17.57069,-3.99617
AF-ETH,-18.66570,35.52956
AF-ETH,21.00789,-10.94084
AF-GAB,-13.25431,34.30153
AF-GAB,-22.95764,18.49041
AF-GHA,17.60779,8.08167
AF-GHA,9.08200,8.67528
AF-GIN,-1.94028,29.87389
AF-GIN,12.86281,30.21764
AF-GMB,14.49740,-14.45236
AF-GMB,8.46056,-11.77989
AF-GNB,5.15215,46.19962
AF-GNB,-26.52250,31.46587
AF-GNQ,15.45417,18.73221
AF-GNQ,8.61954,0.82478
AF-KEN,33.88692,9.53750
AF-KEN,-6.36903,34.88882
AF-LBR,1.37333,32.29028
AF-LBR,-30.55948,22.93751
AF-LBY,-13.13390,27.84933
AF-LBY,-19.01544,29.15486
AF-LSO,33.93911,67.70995
AF-LSO,23.42408,53.84782
AF-MAR,23.68499,90.35633
AF-MAR,25.93041,50.63777
AF-MDG,4.53528,114.72767
AF-MDG,27.51416,90.43360
AF-MLI,31.86188,117.32396
AF-MLI,39.90622,116.39128
AF-MOZ,29.47245,106.94973
AF-MOZ,45.92882,120.61910
AF-MRT,25.77570,118.07238
AF-MRT,38.00000,102.00000
AF-MWI,23.13577,113.19827
AF-MWI,27.00000,107.00000
AF-NAM,24.00000,109.00000
AF-NAM,19.20000,109.60000
AF-NER,38.84602,115.61436
AF-NER,33.90873,113.57042
AF-NGA,47.27721,128.36768
AF-NGA,22.32394,114.16611
AF-RWA,27.66621,111.74871
AF-RWA,30.90681,112.05323
AF-SDN,43.27196,126.69460
AF-SDN,33.01828,119.65831
AF-SEN,28.00000,116.00000
AF-SEN,41.35602,123.08261
AF-SLE,22.18676,113.55090
AF-SLE,37.00000,106.00000
AF-SOM,35.40710,95.95212
AF-SOM,29.98734,102.86143
AF-SWZ,35.92752,118.12123
AF-SWZ,31.22534,121.48889
AF-TCD,34.23854,108.93185
AF-TCD,37.26263,112.36143
AF-TGO,31.80087,87.61535
AF-TGO,39.31069,117.37274
AF-TUN,40.75912,109.96397
AF-TUN,41.01552,87.22120
AF-TZA,24.62090,101.83409
AF-TZA,28.86524,120.31749
AF-UGA,-0.78928,113.92133
AF-UGA,22.91335,86.65676
AF-ZAF,25.81487,93.32539
AF-ZAF,28.65172,77.22194
AF-ZMB,12.97912,77.59130
AF-ZMB,21.29337,77.51111
AF-ZWE,32.42791,53.68805
AF-ZWE,33.22319,43.67929
AS-AFG,31.04605,34.85161
