TECHNOLOGY,MAX_BUILD,START_YEAR,END_YEAR
PWRSDSBRNXX01,0,2023,2024
PWRSDSBRNXX01,5,2025,2050
PWRSDSIDNJW01,0,2023,2024
PWRSDSIDNJW01,5,2025,2050
PWRSDSIDNKA01,0,2023,2024
PWRSDSIDNKA01,5,2025,2050
PWRSDSIDNML01,0,2023,2024
PWRSDSIDNML01,5,2025,2050
PWRSDSIDNNU01,0,2023,2024
PWRSDSIDNNU01,5,2025,2050
PWRSDSIDNPP01,0,2023,2024
PWRSDSIDNPP01,5,2025,2050
PWRSDSIDNSL01,0,2023,2024
PWRSDSIDNSL01,5,2025,2050
PWRSDSIDNSM01,0,2023,2024
PWRSDSIDNSM01,5,2025,2050
PWRSDSIDNXX01,0,2023,2024
PWRSDSIDNXX01,5,2025,2050
PWRSDSKHMXX01,0,2023,2024
PWRSDSKHMXX01,5,2025,2050
PWRSDSLAOXX01,0,2023,2024
PWRSDSLAOXX01,5,2025,2050
PWRSDSMMRXX01,0,2023,2024
PWRSDSMMRXX01,5,2025,2050
PWRSDSMYSPE01,0,2023,2024
PWRSDSMYSPE01,5,2025,2050
PWRSDSMYSSH01,0,2023,2024
PWRSDSMYSSH01,5,2025,2050
PWRSDSMYSSK01,0,2023,2024
PWRSDSMYSSK01,5,2025,2050
PWRSDSMYSXX01,0,2023,2024
PWRSDSMYSXX01,5,2025,2050
PWRSDSPHLLU01,0,2023,2024
PWRSDSPHLLU01,5,2025,2050
PWRSDSPHLMI01,0,2023,2024
PWRSDSPHLMI01,5,2025,2050
PWRSDSPHLVI01,0,2023,2024
PWRSDSPHLVI01,5,2025,2050
PWRSDSPHLXX01,0,2023,2024
PWRSDSPHLXX01,5,2025,2050
PWRSDSSGPXX01,0,2023,2024
PWRSDSSGPXX01,5,2025,2050
PWRSDSTHACE01,0,2023,2024
PWRSDSTHACE01,5,2025,2050
PWRSDSTHANO01,0,2023,2024
PWRSDSTHANO01,5,2025,2050
PWRSDSTHASO01,0,2023,2024
PWRSDSTHASO01,5,2025,2050
PWRSDSTHAXX01,0,2023,2024
PWRSDSTHAXX01,5,2025,2050
PWRSDSVNMCE01,0,2023,2024
PWRSDSVNMCE01,5,2025,2050
PWRSDSVNMNO01,0,2023,2024
PWRSDSVNMNO01,5,2025,2050
PWRSDSVNMSO01,0,2023,2024
PWRSDSVNMSO01,5,2025,2050
PWRSDSVNMXX01,0,2023,2024
PWRSDSVNMXX01,5,2025,2050
PWRLDSBRNXX01,0,2023,2029
PWRLDSBRNXX01,5,2030,2050
PWRLDSIDNJW01,0,2023,2029
PWRLDSIDNJW01,5,2030,2050
PWRLDSIDNKA01,0,2023,2029
PWRLDSIDNKA01,5,2030,2050
PWRLDSIDNML01,0,2023,2029
PWRLDSIDNML01,5,2030,2050
PWRLDSIDNNU01,0,2023,2029
PWRLDSIDNNU01,5,2030,2050
PWRLDSIDNPP01,0,2023,2029
PWRLDSIDNPP01,5,2030,2050
PWRLDSIDNSL01,0,2023,2029
PWRLDSIDNSL01,5,2030,2050
PWRLDSIDNSM01,0,2023,2029
PWRLDSIDNSM01,5,2030,2050
PWRLDSIDNXX01,0,2023,2029
PWRLDSIDNXX01,5,2030,2050
PWRLDSKHMXX01,0,2023,2029
PWRLDSKHMXX01,5,2030,2050
PWRLDSLAOXX01,0,2023,2029
PWRLDSLAOXX01,5,2030,2050
PWRLDSMMRXX01,0,2023,2029
PWRLDSMMRXX01,5,2030,2050
PWRLDSMYSPE01,0,2023,2029
PWRLDSMYSPE01,5,2030,2050
PWRLDSMYSSH01,0,2023,2029
PWRLDSMYSSH01,5,2030,2050
PWRLDSMYSSK01,0,2023,2029
PWRLDSMYSSK01,5,2030,2050
PWRLDSMYSXX01,0,2023,2029
PWRLDSMYSXX01,5,2030,2050
PWRLDSPHLLU01,0,2023,2029
PWRLDSPHLLU01,5,2030,2050
PWRLDSPHLMI01,0,2023,2029
PWRLDSPHLMI01,5,2030,2050
PWRLDSPHLVI01,0,2023,2029
PWRLDSPHLVI01,5,2030,2050
PWRLDSPHLXX01,0,2023,2029
PWRLDSPHLXX01,5,2030,2050
PWRLDSSGPXX01,0,2023,2029
PWRLDSSGPXX01,5,2030,2050
PWRLDSTHACE01,0,2023,2029
PWRLDSTHACE01,5,2030,2050
PWRLDSTHANO01,0,2023,2029
PWRLDSTHANO01,5,2030,2050
PWRLDSTHASO01,0,2023,2029
PWRLDSTHASO01,5,2030,2050
PWRLDSTHAXX01,0,2023,2029
PWRLDSTHAXX01,5,2030,2050
PWRLDSVNMCE01,0,2023,2029
PWRLDSVNMCE01,5,2030,2050
PWRLDSVNMNO01,0,2023,2029
PWRLDSVNMNO01,5,2030,2050
PWRLDSVNMSO01,0,2023,2029
PWRLDSVNMSO01,5,2030,2050
PWRLDSVNMXX01,0,2023,2029
PWRLDSVNMXX01,5,2030,2050
