TECHNOLOGY,MAX_BUILD,START_YEAR,END_YEAR
TRNAFGXXCHNXI,0,2021,2024
TRNAFGXXIRNXX,0,2021,2024
TRNAFGXXPAKXX,0,2021,2024
TRNAFGXXTJKXX,0,2021,2024
TRNAFGXXTKMXX,0,2021,2024
TRNAFGXXUZBXX,0,2021,2024
TRNAGOXXCODXX,0,2021,2024
TRNAGOXXCOGXX,0,2021,2024
TRNAGOXXNAMXX,0,2021,2024
TRNAGOXXZMBXX,0,2021,2024
TRNALBXXGRCXX,0,2021,2024
TRNALBXXKOSXX,0,2021,2024
TRNALBXXMKDXX,0,2021,2024
TRNALBXXMNEXX,0,2021,2024
TRNALBXXSRBXX,0,2021,2024
TRNAREXXINDWE,0,2021,2024
TRNAREXXIRNXX,0,2021,2024
TRNAREXXOMNXX,0,2021,2024
TRNAREXXSAUXX,0,2021,2024
TRNARGXXBOLXX,0,2021,2024
TRNARGXXBRASO,0,2021,2024
TRNARGXXCHLXX,0,2021,2024
TRNARGXXPRYXX,0,2021,2024
TRNARGXXURYXX,0,2021,2024
TRNARMXXAZEXX,0,2021,2024
TRNARMXXGEOXX,0,2021,2024
TRNARMXXIRNXX,0,2021,2024
TRNARMXXTURXX,0,2021,2024
TRNAUSNTAUSQL,0,2021,2024
TRNAUSNTAUSSA,0,2021,2024
TRNAUSNTAUSWA,0,2021,2024
TRNAUSQLAUSSA,0,2021,2024
TRNAUSQLAUSSW,0,2021,2024
TRNAUSQLPNGXX,0,2021,2024
TRNAUSSAAUSSW,0,2021,2024
TRNAUSSAAUSVI,0,2021,2024
TRNAUSSAAUSWA,0,2021,2024
TRNAUSSWAUSVI,0,2021,2024
TRNAUSTAAUSVI,0,2021,2024
TRNAUSWAIDNXX,0,2021,2024
TRNAUSWATLSXX,0,2021,2024
TRNAUTXXCHEXX,0,2021,2024
TRNAUTXXCZEXX,0,2021,2024
TRNAUTXXDEUXX,0,2021,2024
TRNAUTXXHUNXX,0,2021,2024
TRNAUTXXITAXX,0,2021,2024
TRNAUTXXSVKXX,0,2021,2024
TRNAUTXXSVNXX,0,2021,2024
TRNAZEXXGEOXX,0,2021,2024
TRNAZEXXIRNXX,0,2021,2024
TRNAZEXXRUSSO,0,2021,2024
TRNBDIXXCODXX,0,2021,2024
TRNBDIXXRWAXX,0,2021,2024
TRNBDIXXTZAXX,0,2021,2024
TRNBELXXDEUXX,0,2021,2024
TRNBELXXFRAXX,0,2021,2024
TRNBELXXGBRXX,0,2021,2024
TRNBELXXLUXXX,0,2021,2024
TRNBELXXNLDXX,0,2021,2024
TRNBENXXBFAXX,0,2021,2024
TRNBENXXGHAXX,0,2021,2024
TRNBENXXNERXX,0,2021,2024
TRNBENXXNGAXX,0,2021,2024
TRNBENXXTGOXX,0,2021,2024
TRNBFAXXCIVXX,0,2021,2024
TRNBFAXXGHAXX,0,2021,2024
TRNBFAXXMLIXX,0,2021,2024
TRNBFAXXNERXX,0,2021,2024
TRNBFAXXTGOXX,0,2021,2024
TRNBGDXXINDEA,0,2021,2024
TRNBGDXXINDNE,0,2021,2024
TRNBGDXXMMRXX,0,2021,2024
TRNBGRXXGRCXX,0,2021,2024
TRNBGRXXMKDXX,0,2021,2024
TRNBGRXXROUXX,0,2021,2024
TRNBGRXXSRBXX,0,2021,2024
TRNBGRXXTURXX,0,2021,2024
TRNBHRXXSAUXX,0,2021,2024
TRNBIHXXHRVXX,0,2021,2024
TRNBIHXXMNEXX,0,2021,2024
TRNBIHXXSRBXX,0,2021,2024
TRNBLRXXLTUXX,0,2021,2024
TRNBLRXXLVAXX,0,2021,2024
TRNBLRXXPOLXX,0,2021,2024
TRNBLRXXRUSCE,0,2021,2024
TRNBLRXXRUSNW,0,2021,2024
TRNBLRXXUKRXX,0,2021,2024
TRNBLZXXGTMXX,0,2021,2024
TRNBLZXXMEXXX,0,2021,2024
TRNBOLXXBRACW,0,2021,2024
TRNBOLXXBRAWE,0,2021,2024
TRNBOLXXCHLXX,0,2021,2024
TRNBOLXXPERXX,0,2021,2024
TRNBOLXXPRYXX,0,2021,2024
TRNBRACNBRACW,0,2021,2024
TRNBRACNBRANE,0,2021,2024
TRNBRACNBRANW,0,2021,2024
TRNBRACNBRASE,0,2021,2024
TRNBRACNGUYXX,0,2021,2024
TRNBRACNSURXX,0,2021,2024
TRNBRACWBRANE,0,2021,2024
TRNBRACWBRANW,0,2021,2024
TRNBRACWBRASE,0,2021,2024
TRNBRACWBRASO,0,2021,2024
TRNBRACWBRAWE,0,2021,2024
TRNBRACWPRYXX,0,2021,2024
TRNBRANEBRASE,0,2021,2024
TRNBRANWBRAWE,0,2021,2024
TRNBRANWCOLXX,0,2021,2024
TRNBRANWGUFXX,0,2021,2024
TRNBRANWGUYXX,0,2021,2024
TRNBRANWPERXX,0,2021,2024
TRNBRANWSURXX,0,2021,2024
TRNBRANWVENXX,0,2021,2024
TRNBRASEBRASO,0,2021,2024
TRNBRASEBRAWE,0,2021,2024
TRNBRASOPRYXX,0,2021,2024
TRNBRASOURYXX,0,2021,2024
TRNBRAWEPERXX,0,2021,2024
TRNBRNXXMYSXX,0,2021,2024
TRNBTNXXCHNTI,0,2021,2024
TRNBTNXXINDEA,0,2021,2024
TRNBWAXXNAMXX,0,2021,2024
TRNBWAXXZAFXX,0,2021,2024
TRNBWAXXZMBXX,0,2021,2024
TRNBWAXXZWEXX,0,2021,2024
TRNCAFXXCMRXX,0,2021,2024
TRNCAFXXCODXX,0,2021,2024
TRNCAFXXCOGXX,0,2021,2024
TRNCAFXXSDNXX,0,2021,2024
TRNCAFXXSSDXX,0,2021,2024
TRNCAFXXTCDXX,0,2021,2024
TRNCANABCANBC,0,2021,2024
TRNCANABCANNO,0,2021,2024
TRNCANABCANSK,0,2021,2024
TRNCANABUSANW,0,2021,2024
TRNCANARCANNL,0,2021,2024
TRNCANARCANQC,0,2021,2024
TRNCANARUSANE,0,2021,2024
TRNCANBCCANNO,0,2021,2024
TRNCANBCUSAAK,0,2021,2024
TRNCANBCUSANW,0,2021,2024
TRNCANMBCANNO,0,2021,2024
TRNCANMBCANON,0,2021,2024
TRNCANMBCANSK,0,2021,2024
TRNCANMBUSAMW,0,2021,2024
TRNCANNLCANQC,0,2021,2024
TRNCANNLGRLXX,0,2021,2024
TRNCANNOCANSK,0,2021,2024
TRNCANNOUSAAK,0,2021,2024
TRNCANONCANQC,0,2021,2024
TRNCANONUSAMW,0,2021,2024
TRNCANONUSANY,0,2021,2024
TRNCANONUSARE,0,2021,2024
TRNCANONUSARM,0,2021,2024
TRNCANQCUSANE,0,2021,2024
TRNCANQCUSANY,0,2021,2024
TRNCANSKUSAMW,0,2021,2024
TRNCANSKUSANW,0,2021,2024
TRNCHEXXDEUXX,0,2021,2024
TRNCHEXXFRAXX,0,2021,2024
TRNCHEXXITAXX,0,2021,2024
TRNCHLXXPERXX,0,2021,2024
TRNCHNANCHNHB,0,2021,2024
TRNCHNANCHNHE,0,2021,2024
TRNCHNANCHNHU,0,2021,2024
TRNCHNANCHNJS,0,2021,2024
TRNCHNANCHNJX,0,2021,2024
TRNCHNANCHNSD,0,2021,2024
TRNCHNANCHNZH,0,2021,2024
TRNCHNBECHNEM,0,2021,2024
TRNCHNBECHNHB,0,2021,2024
TRNCHNBECHNTJ,0,2021,2024
TRNCHNBECHNWM,0,2021,2024
TRNCHNCHCHNGU,0,2021,2024
TRNCHNCHCHNHB,0,2021,2024
TRNCHNCHCHNHN,0,2021,2024
TRNCHNCHCHNHU,0,2021,2024
TRNCHNCHCHNSC,0,2021,2024
TRNCHNCHCHNSI,0,2021,2024
TRNCHNCHCHNSX,0,2021,2024
TRNCHNEMCHNHB,0,2021,2024
TRNCHNEMCHNHJ,0,2021,2024
