technology_code,weo_region
AFG,AS_average
AGO,Africa
ALB,Europe
ARE,Middle East
ARG,SA_average
ARM,Europe
ATA,Global_average
AUS,Global_average
AUT,Europe
AZE,Europe
BDI,Africa
BEL,Europe
BEN,Africa
BFA,Africa
BGD,AS_average
BGR,Europe
BHR,Middle East
BIH,Europe
BLR,Europe
BOL,SA_average
BRA,Brazil
BRN,AS_average
BTN,AS_average
BWA,Africa
CAF,Africa
CAN,NA_average
CHE,Europe
CHL,SA_average
CHN,China
CIV,Africa
CMR,Africa
COD,Africa
COG,Africa
COL,SA_average
CPV,SA_average
CRI,NA_average
CUB,NA_average
CYP,Europe
CZE,Europe
DEU,Europe
DJI,Africa
DNK,Europe
DOM,NA_average
DZA,Africa
ECU,SA_average
EGY,Africa
ERI,Africa
ESH,Africa
ESP,Europe
EST,Europe
ETH,Africa
FIN,Europe
FJI,Global_average
FRA,Europe
GAB,Africa
GBR,Europe
GEO,Europe
GHA,Africa
GIN,Africa
GMB,Africa
GNB,Africa
GNQ,Africa
GRC,Europe
GTM,NA_average
GUF,SA_average
GUY,SA_average
HND,NA_average
HRV,Europe
HUN,Europe
IDN,AS_average
IND,India
IRL,Europe
IRN,Middle East
IRQ,Middle East
ISL,Europe
ISR,AS_average
ITA,Europe
JAM,NA_average
JOR,Middle East
JPN,Japan
KAZ,AS_average
KEN,Africa
KGZ,AS_average
KHM,SA_average
KOR,AS_average
KOS,Europe
KWT,Middle East
LAO,AS_average
LBN,Middle East
LBR,Africa
LBY,Africa
LKA,AS_average
LSO,Africa
LTU,Europe
LUX,Europe
LVA,Europe
MAR,Africa
MDA,Europe
MDG,Africa
MEX,NA_average
MKD,Europe
MLI,Africa
MMR,AS_average
MNE,Europe
MNG,AS_average
MOZ,Africa
MRT,Africa
MUS,Africa
MWI,Africa
MYS,AS_average
NAM,Africa
NER,Africa
NGA,Africa
NIC,SA_average
NLD,Europe
NOR,Europe
NPL,AS_average
NZL,Global_average
OMN,Middle East
PAK,AS_average
PAN,NA_average
PER,SA_average
PHL,AS_average
PNG,AS_average
POL,Europe
PRK,AS_average
PRT,Europe
PRY,SA_average
QAT,Middle East
ROU,Europe
RUS,Russia
RWA,Africa
SAU,Middle East
SDN,Africa
SEN,Africa
SGP,AS_average
SLE,Africa
SLV,NA_average
SRB,Europe
SVK,Europe
SVN,Europe
SWE,Europe
SWZ,Africa
SYR,Middle East
TGO,Africa
THA,AS_average
TJK,AS_average
TKM,AS_average
TTO,NA_average
TUN,Africa
TUR,AS_average
TWN,AS_average
TZA,Africa
UGA,Africa
UKR,Europe
URY,SA_average
USA,United States
UZB,AS_average
VEN,SA_average
VNM,AS_average
YEM,Middle East
ZAF,Africa
ZMB,Africa
ZWE,Africa
SOM,Africa
TCD,Africa
TLS,AS_average
MLT,Europe
BLZ,NA_average
HTI,NA_average
SUR,SA_average
