inputs,outputs
AccumulatedAnnualDemand,AccumulatedNewCapacity
AnnualEmissionLimit,AnnualEmissions
AnnualExogenousEmission,AnnualFixedOperatingCost
AvailabilityFactor,AnnualTechnologyEmission
CapacityFactor,AnnualTechnologyEmissionByMode
CapacityOfOneTechnologyUnit,AnnualVariableOperatingCost
CapacityToActivityUnit,CapitalInvestment
CapitalCost,Demand
CapitalCostStorage,DiscountedSalvageValue
Conversionld,DiscountedTechnologyEmissionsPenalty
Conversionlh,NewCapacity
Conversionls,ProductionByTechnology
DAILYTIMEBRACKET,ProductionByTechnologyAnnual
DaysInDayType,RateOfActivity
DaySplit,RateOfProductionByTechnology
DAYTYPE,RateOfProductionByTechnologyByMode
default_values,RateOfUseByTechnology
DepreciationMethod,RateOfUseByTechnologyByMode
DiscountRate,SalvageValue
DiscountRateIdv,TotalAnnualTechnologyActivityByMode
DiscountRateStorage,TotalCapacityAnnual
EMISSION,TotalDiscountedCost
EmissionActivityRatio,TotalTechnologyAnnualActivity
EmissionsPenalty,TotalTechnologyModelPeriodActivity
FixedCost,UseByTechnology
FUEL,
InputActivityRatio,
MinStorageCharge,
ModelPeriodEmissionLimit,
ModelPeriodExogenousEmission,
MODE_OF_OPERATION,
OperationalLife,
OperationalLifeStorage,
OutputActivityRatio,
REGION,
REMinProductionTarget,
ReserveMargin,
ReserveMarginTagFuel,
ReserveMarginTagTechnology,
ResidualCapacity,
ResidualStorageCapacity,
RETagFuel,
RETagTechnology,
SEASON,
SpecifiedAnnualDemand,
SpecifiedDemandProfile,
STORAGE,
StorageLevelStart,
StorageMaxChargeRate,
StorageMaxDischargeRate,
TECHNOLOGY,
TechnologyFromStorage,
TechnologyToStorage,
TIMESLICE,
TotalAnnualMaxCapacity,
TotalAnnualMaxCapacityInvestment,
TotalAnnualMinCapacity,
TotalAnnualMinCapacityInvestment,
TotalTechnologyAnnualActivityLowerLimit,
TotalTechnologyAnnualActivityUpperLimit,
TotalTechnologyModelPeriodActivityLowerLimit,
TotalTechnologyModelPeriodActivityUpperLimit,
TradeRoute,
VariableCost,
YEAR,
YearSplit,
