REGION,EMISSION,YEAR,VALUE
SIMPLICITY,CO2,2014,9999.0
SIMPLICITY,CO2,2015,9999.0
SIMPLICITY,CO2,2016,9999.0
SIMPLICITY,CO2,2017,9999.0
SIMPLICITY,CO2,2018,9999.0
SIMPLICITY,CO2,2019,9999.0
SIMPLICITY,CO2,2020,9999.0
SIMPLICITY,CO2,2021,9999.0
SIMPLICITY,CO2,2022,9999.0
SIMPLICITY,CO2,2023,9999.0
SIMPLICITY,CO2,2024,9999.0
SIMPLICITY,CO2,2025,9999.0
SIMPLICITY,CO2,2026,9999.0
SIMPLICITY,CO2,2027,9999.0
SIMPLICITY,CO2,2028,9999.0
SIMPLICITY,CO2,2029,9999.0
SIMPLICITY,CO2,2030,10
SIMPLICITY,CO2,2031,10
SIMPLICITY,CO2,2032,10
SIMPLICITY,CO2,2033,10
SIMPLICITY,CO2,2034,10
SIMPLICITY,CO2,2035,10
SIMPLICITY,CO2,2036,10
SIMPLICITY,CO2,2037,10
SIMPLICITY,CO2,2038,10
SIMPLICITY,CO2,2039,10
SIMPLICITY,CO2,2040,10
