REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,ETHPLANT,2014,1.0
SIMPLICITY,LNDFORCOV,2014,150.0
SIMPLICITY,LNDSUGPLIR,2014,25.0
SIMPLICITY,LNDSUGPLRF,2014,60.0
SIMPLICITY,NGCC,2014,0.55
SIMPLICITY,SUGFACTORY,2014,0.8475
SIMPLICITY,ETHPLANT,2015,1.0
SIMPLICITY,LNDFORCOV,2015,147.115
SIMPLICITY,LNDSUGPLIR,2015,23.438000000000002
SIMPLICITY,LNDSUGPLRF,2015,56.25
SIMPLICITY,NGCC,2015,0.55
SIMPLICITY,SUGFACTORY,2015,0.8475
SIMPLICITY,ETHPLANT,2016,1.0
SIMPLICITY,LNDFORCOV,2016,144.231
SIMPLICITY,LNDSUGPLIR,2016,21.875
SIMPLICITY,LNDSUGPLRF,2016,52.5
SIMPLICITY,NGCC,2016,0.55
SIMPLICITY,SUGFACTORY,2016,0.8475
SIMPLICITY,ETHPLANT,2017,1.0
SIMPLICITY,LNDFORCOV,2017,141.346
SIMPLICITY,LNDSUGPLIR,2017,20.313
SIMPLICITY,LNDSUGPLRF,2017,48.75
SIMPLICITY,NGCC,2017,0.55
SIMPLICITY,SUGFACTORY,2017,0.8475
SIMPLICITY,ETHPLANT,2018,1.0
SIMPLICITY,LNDFORCOV,2018,138.46200000000002
SIMPLICITY,LNDSUGPLIR,2018,18.75
SIMPLICITY,LNDSUGPLRF,2018,45.0
SIMPLICITY,NGCC,2018,0.55
SIMPLICITY,SUGFACTORY,2018,0.8475
SIMPLICITY,ETHPLANT,2019,1.0
SIMPLICITY,LNDFORCOV,2019,135.577
SIMPLICITY,LNDSUGPLIR,2019,17.188
SIMPLICITY,LNDSUGPLRF,2019,41.25
SIMPLICITY,NGCC,2019,0.55
SIMPLICITY,SUGFACTORY,2019,0.8475
SIMPLICITY,ETHPLANT,2020,1.0
SIMPLICITY,LNDFORCOV,2020,132.692
SIMPLICITY,LNDSUGPLIR,2020,15.625
SIMPLICITY,LNDSUGPLRF,2020,37.5
SIMPLICITY,NGCC,2020,0.55
SIMPLICITY,SUGFACTORY,2020,0.8475
SIMPLICITY,ETHPLANT,2021,1.0
SIMPLICITY,LNDFORCOV,2021,129.808
SIMPLICITY,LNDSUGPLIR,2021,14.062999999999999
SIMPLICITY,LNDSUGPLRF,2021,33.75
SIMPLICITY,NGCC,2021,0.55
SIMPLICITY,SUGFACTORY,2021,0.8475
SIMPLICITY,ETHPLANT,2022,1.0
SIMPLICITY,LNDFORCOV,2022,126.92299999999999
SIMPLICITY,LNDSUGPLIR,2022,12.5
SIMPLICITY,LNDSUGPLRF,2022,30.0
SIMPLICITY,NGCC,2022,0.55
SIMPLICITY,SUGFACTORY,2022,0.8475
SIMPLICITY,ETHPLANT,2023,1.0
SIMPLICITY,LNDFORCOV,2023,124.038
SIMPLICITY,LNDSUGPLIR,2023,10.937999999999999
SIMPLICITY,LNDSUGPLRF,2023,26.25
SIMPLICITY,NGCC,2023,0.55
SIMPLICITY,SUGFACTORY,2023,0.8475
SIMPLICITY,ETHPLANT,2024,1.0
SIMPLICITY,LNDFORCOV,2024,121.154
SIMPLICITY,LNDSUGPLIR,2024,9.375
SIMPLICITY,LNDSUGPLRF,2024,22.5
SIMPLICITY,NGCC,2024,0.55
SIMPLICITY,SUGFACTORY,2024,0.8475
SIMPLICITY,ETHPLANT,2025,1.0
SIMPLICITY,LNDFORCOV,2025,118.26899999999999
SIMPLICITY,LNDSUGPLIR,2025,7.813
SIMPLICITY,LNDSUGPLRF,2025,18.75
SIMPLICITY,NGCC,2025,0.55
SIMPLICITY,SUGFACTORY,2025,0.8475
SIMPLICITY,ETHPLANT,2026,1.0
SIMPLICITY,LNDFORCOV,2026,115.385
SIMPLICITY,LNDSUGPLIR,2026,6.25
SIMPLICITY,LNDSUGPLRF,2026,15.0
SIMPLICITY,NGCC,2026,0.55
SIMPLICITY,SUGFACTORY,2026,0.8475
SIMPLICITY,ETHPLANT,2027,1.0
SIMPLICITY,LNDFORCOV,2027,112.5
SIMPLICITY,LNDSUGPLIR,2027,4.688
SIMPLICITY,LNDSUGPLRF,2027,11.25
SIMPLICITY,NGCC,2027,0.55
SIMPLICITY,SUGFACTORY,2027,0.8475
SIMPLICITY,ETHPLANT,2028,1.0
SIMPLICITY,LNDFORCOV,2028,109.615
SIMPLICITY,LNDSUGPLIR,2028,3.125
SIMPLICITY,LNDSUGPLRF,2028,7.5
SIMPLICITY,NGCC,2028,0.55
SIMPLICITY,SUGFACTORY,2028,0.8475
SIMPLICITY,ETHPLANT,2029,1.0
SIMPLICITY,LNDFORCOV,2029,106.73100000000001
SIMPLICITY,LNDSUGPLIR,2029,1.5630000000000002
SIMPLICITY,LNDSUGPLRF,2029,3.75
SIMPLICITY,NGCC,2029,0.55
SIMPLICITY,SUGFACTORY,2029,0.8475
SIMPLICITY,ETHPLANT,2030,1.0
SIMPLICITY,LNDFORCOV,2030,103.846
SIMPLICITY,LNDSUGPLIR,2030,0.0
SIMPLICITY,LNDSUGPLRF,2030,0.0
SIMPLICITY,NGCC,2030,0.55
SIMPLICITY,SUGFACTORY,2030,0.8475
SIMPLICITY,ETHPLANT,2031,1.0
SIMPLICITY,LNDFORCOV,2031,100.962
SIMPLICITY,LNDSUGPLIR,2031,0.0
SIMPLICITY,LNDSUGPLRF,2031,0.0
SIMPLICITY,NGCC,2031,0.55
SIMPLICITY,SUGFACTORY,2031,0.8475
SIMPLICITY,ETHPLANT,2032,1.0
SIMPLICITY,LNDFORCOV,2032,98.07700000000001
SIMPLICITY,LNDSUGPLIR,2032,0.0
SIMPLICITY,LNDSUGPLRF,2032,0.0
SIMPLICITY,NGCC,2032,0.55
SIMPLICITY,SUGFACTORY,2032,0.8475
SIMPLICITY,ETHPLANT,2033,1.0
SIMPLICITY,LNDFORCOV,2033,95.19200000000001
SIMPLICITY,LNDSUGPLIR,2033,0.0
SIMPLICITY,LNDSUGPLRF,2033,0.0
SIMPLICITY,NGCC,2033,0.55
SIMPLICITY,SUGFACTORY,2033,0.8475
SIMPLICITY,ETHPLANT,2034,1.0
SIMPLICITY,LNDFORCOV,2034,92.30799999999999
SIMPLICITY,LNDSUGPLIR,2034,0.0
SIMPLICITY,LNDSUGPLRF,2034,0.0
SIMPLICITY,NGCC,2034,0.55
SIMPLICITY,SUGFACTORY,2034,0.8475
SIMPLICITY,ETHPLANT,2035,1.0
SIMPLICITY,LNDFORCOV,2035,89.42299999999999
SIMPLICITY,LNDSUGPLIR,2035,0.0
SIMPLICITY,LNDSUGPLRF,2035,0.0
SIMPLICITY,NGCC,2035,0.0
SIMPLICITY,SUGFACTORY,2035,0.8475
SIMPLICITY,ETHPLANT,2036,1.0
SIMPLICITY,LNDFORCOV,2036,86.538
SIMPLICITY,LNDSUGPLIR,2036,0.0
SIMPLICITY,LNDSUGPLRF,2036,0.0
SIMPLICITY,NGCC,2036,0.0
SIMPLICITY,SUGFACTORY,2036,0.8475
SIMPLICITY,ETHPLANT,2037,1.0
SIMPLICITY,LNDFORCOV,2037,83.654
SIMPLICITY,LNDSUGPLIR,2037,0.0
SIMPLICITY,LNDSUGPLRF,2037,0.0
SIMPLICITY,NGCC,2037,0.0
SIMPLICITY,SUGFACTORY,2037,0.8475
SIMPLICITY,ETHPLANT,2038,1.0
SIMPLICITY,LNDFORCOV,2038,80.76899999999999
SIMPLICITY,LNDSUGPLIR,2038,0.0
SIMPLICITY,LNDSUGPLRF,2038,0.0
SIMPLICITY,NGCC,2038,0.0
SIMPLICITY,SUGFACTORY,2038,0.8475
SIMPLICITY,ETHPLANT,2039,1.0
SIMPLICITY,LNDFORCOV,2039,77.885
SIMPLICITY,LNDSUGPLIR,2039,0.0
SIMPLICITY,LNDSUGPLRF,2039,0.0
SIMPLICITY,NGCC,2039,0.0
SIMPLICITY,SUGFACTORY,2039,0.8475
SIMPLICITY,ETHPLANT,2040,1.0
SIMPLICITY,LNDFORCOV,2040,75.0
SIMPLICITY,LNDSUGPLIR,2040,0.0
SIMPLICITY,LNDSUGPLRF,2040,0.0
SIMPLICITY,NGCC,2040,0.0
SIMPLICITY,SUGFACTORY,2040,0.8475
