REGION,TECHNOLOGY,YEAR,VALUE
SIMPLICITY,LNDFORCOV,2014,150.0
SIMPLICITY,LNDFORCOV,2015,147.115
SIMPLICITY,LNDFORCOV,2016,144.231
SIMPLICITY,LNDFORCOV,2017,141.346
SIMPLICITY,LNDFORCOV,2018,138.46200000000002
SIMPLICITY,LNDFORCOV,2019,135.577
SIMPLICITY,LNDFORCOV,2020,132.692
SIMPLICITY,LNDFORCOV,2021,129.808
SIMPLICITY,LNDFORCOV,2022,126.92299999999999
SIMPLICITY,LNDFORCOV,2023,124.038
SIMPLICITY,LNDFORCOV,2024,121.154
SIMPLICITY,LNDFORCOV,2025,118.26899999999999
SIMPLICITY,LNDFORCOV,2026,115.385
SIMPLICITY,LNDFORCOV,2027,112.5
SIMPLICITY,LNDFORCOV,2028,109.615
SIMPLICITY,LNDFORCOV,2029,106.73100000000001
SIMPLICITY,LNDFORCOV,2030,103.846
SIMPLICITY,LNDFORCOV,2031,100.962
SIMPLICITY,LNDFORCOV,2032,98.07700000000001
SIMPLICITY,LNDFORCOV,2033,95.19200000000001
SIMPLICITY,LNDFORCOV,2034,92.30799999999999
SIMPLICITY,LNDFORCOV,2035,89.42299999999999
SIMPLICITY,LNDFORCOV,2036,86.538
SIMPLICITY,LNDFORCOV,2037,83.654
SIMPLICITY,LNDFORCOV,2038,80.76899999999999
SIMPLICITY,LNDFORCOV,2039,77.885
SIMPLICITY,LNDFORCOV,2040,75.0
