REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGAFGXX00,31.536
GLOBAL,PWROCGAFGXX00,31.536
GLOBAL,PWRHYDAFGXX01,31.536
GLOBAL,PWROILAFGXX01,31.536
GLOBAL,PWRSPVAFGXX01,31.536
GLOBAL,PWROTHAFGXX01,31.536
GLOBAL,PWRCSPAFGXX01,31.536
GLOBAL,PWRBIOAFGXX01,31.536
GLOBAL,PWRCOAAFGXX01,31.536
GLOBAL,PWRURNAFGXX01,31.536
GLOBAL,PWRWONAFGXX01,31.536
GLOBAL,PWRWASAFGXX01,31.536
GLOBAL,PWRWOFAFGXX01,31.536
GLOBAL,PWRWAVAFGXX01,31.536
GLOBAL,PWRPETAFGXX01,31.536
GLOBAL,PWRGEOAFGXX01,31.536
GLOBAL,PWRCOGAFGXX01,31.536
GLOBAL,PWRCCGAGOXX00,31.536
GLOBAL,PWROCGAGOXX00,31.536
GLOBAL,PWRHYDAGOXX01,31.536
GLOBAL,PWROILAGOXX01,31.536
GLOBAL,PWRSPVAGOXX01,31.536
GLOBAL,PWROTHAGOXX01,31.536
GLOBAL,PWRCSPAGOXX01,31.536
GLOBAL,PWRBIOAGOXX01,31.536
GLOBAL,PWRCOAAGOXX01,31.536
GLOBAL,PWRURNAGOXX01,31.536
GLOBAL,PWRWONAGOXX01,31.536
GLOBAL,PWRWASAGOXX01,31.536
GLOBAL,PWRWOFAGOXX01,31.536
GLOBAL,PWRWAVAGOXX01,31.536
GLOBAL,PWRPETAGOXX01,31.536
GLOBAL,PWRGEOAGOXX01,31.536
GLOBAL,PWRCOGAGOXX01,31.536
GLOBAL,PWRCCGALBXX00,31.536
GLOBAL,PWROCGALBXX00,31.536
GLOBAL,PWRHYDALBXX01,31.536
GLOBAL,PWROILALBXX01,31.536
GLOBAL,PWRSPVALBXX01,31.536
GLOBAL,PWROTHALBXX01,31.536
GLOBAL,PWRCSPALBXX01,31.536
GLOBAL,PWRBIOALBXX01,31.536
GLOBAL,PWRCOAALBXX01,31.536
GLOBAL,PWRURNALBXX01,31.536
GLOBAL,PWRWONALBXX01,31.536
GLOBAL,PWRWASALBXX01,31.536
GLOBAL,PWRWOFALBXX01,31.536
GLOBAL,PWRWAVALBXX01,31.536
GLOBAL,PWRPETALBXX01,31.536
GLOBAL,PWRGEOALBXX01,31.536
GLOBAL,PWRCOGALBXX01,31.536
GLOBAL,PWRCCGAREXX00,31.536
GLOBAL,PWROCGAREXX00,31.536
GLOBAL,PWRHYDAREXX01,31.536
GLOBAL,PWROILAREXX01,31.536
GLOBAL,PWRSPVAREXX01,31.536
GLOBAL,PWROTHAREXX01,31.536
GLOBAL,PWRCSPAREXX01,31.536
GLOBAL,PWRBIOAREXX01,31.536
GLOBAL,PWRCOAAREXX01,31.536
GLOBAL,PWRURNAREXX01,31.536
GLOBAL,PWRWONAREXX01,31.536
GLOBAL,PWRWASAREXX01,31.536
GLOBAL,PWRWOFAREXX01,31.536
GLOBAL,PWRWAVAREXX01,31.536
GLOBAL,PWRPETAREXX01,31.536
GLOBAL,PWRGEOAREXX01,31.536
