REGION,TECHNOLOGY,VALUE
GLOBAL,PWRWOFESPXX01,30
GLOBAL,PWROTHCHNSX01,30
GLOBAL,PWRWOFMRTXX01,30
GLOBAL,PWRWASAUSQL01,30
GLOBAL,PWRGEOCANAB01,30
GLOBAL,PWRCOGAUSSA01,30
GLOBAL,PWROCGCHNMA00,30
GLOBAL,PWROILMWIXX01,30
GLOBAL,PWRSPVGINXX01,30
GLOBAL,PWRURNNLDXX01,60
GLOBAL,PWRWASBRANE01,30
GLOBAL,PWRWAVPRTXX01,20
GLOBAL,PWROCGCANAR00,30
GLOBAL,PWRCCGUSAAK01,30
GLOBAL,PWRCCGUSANW01,30
GLOBAL,PWRBIOSVNXX01,45
GLOBAL,PWRWAVINDNO01,20
GLOBAL,PWRCSPTUNXX01,30
GLOBAL,PWRBIOGMBXX01,45
GLOBAL,PWRWAVDNKXX01,20
GLOBAL,PWRSPVGRCXX01,30
GLOBAL,PWROILIRLXX01,30
GLOBAL,PWRURNSYRXX01,60
GLOBAL,PWRCCGGABXX01,30
GLOBAL,PWROCGCANBC01,30
GLOBAL,PWRCCGPANXX00,30
GLOBAL,PWRGEOLBRXX01,30
GLOBAL,PWRSPVUSANY01,30
GLOBAL,PWRCOAUKRXX01,30
GLOBAL,PWROTHINDWE01,30
GLOBAL,PWRBIOCPVXX01,45
GLOBAL,PWRURNEGYXX01,60
GLOBAL,PWRWAVJPNTO01,20
GLOBAL,PWROILINDSO01,30
GLOBAL,PWRCOGUSAAK01,30
GLOBAL,PWROTHAUSVI01,30
GLOBAL,PWRCCGSVNXX00,30
GLOBAL,PWRCCGUGAXX00,30
GLOBAL,PWRCCGTZAXX01,30
GLOBAL,PWRURNNGAXX01,60
GLOBAL,PWRHYDBLZXX01,100
GLOBAL,PWRWONHRVXX01,30
GLOBAL,PWRURNGTMXX01,60
GLOBAL,PWRCCGNPLXX00,30
GLOBAL,PWROCGNZLXX01,30
GLOBAL,PWROILPERXX01,30
GLOBAL,PWRURNTUNXX01,60
GLOBAL,PWRGEORUSFE01,30
GLOBAL,PWRGEOCHNAN01,30
GLOBAL,PWRCSPNORXX01,30
GLOBAL,PWROCGMLTXX01,30
GLOBAL,PWRWONCHNJX01,30
GLOBAL,PWRWONGNQXX01,30
GLOBAL,PWRBIOISLXX01,45
GLOBAL,PWRWASUSASV01,30
GLOBAL,PWRWONGNBXX01,30
GLOBAL,PWRCSPGHAXX01,30
GLOBAL,PWRSPVSVNXX01,30
GLOBAL,PWRSPVUSARE01,30
GLOBAL,PWROTHCHNSD01,30
GLOBAL,PWROILUSANY01,30
GLOBAL,PWRWASSGPXX01,30
GLOBAL,PWRHYDPHLXX01,100
GLOBAL,PWRURNCHNNI01,60
GLOBAL,PWROILDEUXX01,30
GLOBAL,PWRGEORUSMV01,30
GLOBAL,PWRBIOCANBC01,45
GLOBAL,PWRCOACHNFU01,30
GLOBAL,PWRWONMMRXX01,30
GLOBAL,PWRWONNPLXX01,30
GLOBAL,PWRBIOATAXX01,45
GLOBAL,PWRURNRUSCE01,60
GLOBAL,PWROILSDNXX01,30
GLOBAL,PWRHYDTZAXX01,100
GLOBAL,PWRCOADEUXX01,30
GLOBAL,PWRSPVTGOXX01,30
GLOBAL,PWROTHFRAXX01,30
GLOBAL,PWRURNAGOXX01,60
GLOBAL,PWRWAVTWNXX01,20
GLOBAL,PWRCOACOLXX01,30
GLOBAL,PWRHYDURYXX01,100
GLOBAL,PWRHYDPRYXX01,100
GLOBAL,PWRWASUSASA01,30
GLOBAL,PWRURNCHNSI01,60
GLOBAL,PWROCGBFAXX00,30
GLOBAL,PWRWONPNGXX01,30
GLOBAL,PWRURNSWEXX01,60
GLOBAL,PWROTHATAXX01,30
GLOBAL,PWRCSPCIVXX01,30
GLOBAL,PWRBIOBRANW01,45
GLOBAL,PWRURNSOMXX01,60
GLOBAL,PWROTHSWEXX01,30
GLOBAL,PWRWONCMRXX01,30
GLOBAL,PWRGEOGUYXX01,30
GLOBAL,PWRWONALBXX01,30
GLOBAL,PWRHYDDJIXX01,100
GLOBAL,PWRCOAMNGXX01,30
GLOBAL,PWRHYDVENXX01,100
GLOBAL,PWRSPVMDAXX01,30
GLOBAL,PWRHYDKGZXX01,100
GLOBAL,PWRSPVLUXXX01,30
GLOBAL,PWRWASCZEXX01,30
GLOBAL,PWRURNLBRXX01,60
GLOBAL,PWRWASUSAAZ01,30
GLOBAL,PWRGEOCZEXX01,30
GLOBAL,PWRWASBRANW01,30
GLOBAL,PWRCCGCZEXX00,30
GLOBAL,PWRWONARMXX01,30
GLOBAL,PWRPETLTUXX01,30
GLOBAL,PWRCOGCHEXX01,30
GLOBAL,PWRHYDGUFXX01,100
GLOBAL,PWRWAVQATXX01,20
GLOBAL,PWROTHBRANE01,30
GLOBAL,PWRWAVCHNHN01,20
GLOBAL,PWROTHAUSWA01,30
GLOBAL,PWRGEOCHNSH01,30
GLOBAL,PWRBIOECUXX01,45
GLOBAL,PWROCGRUSCE00,30
GLOBAL,PWROCGSOMXX01,30
GLOBAL,PWRBIOBDIXX01,45
GLOBAL,PWRWONIRNXX01,30
GLOBAL,PWRWOFHUNXX01,30
GLOBAL,PWRWONINDNO01,30
GLOBAL,PWRGEOCHNQI01,30
GLOBAL,PWROILMLIXX01,30
GLOBAL,PWRPETCHNCH01,30
GLOBAL,PWRCOGBRASE01,30
GLOBAL,PWRCCGJPNCE00,30
GLOBAL,PWRWOFCHNWM01,30
GLOBAL,PWRCCGGNBXX01,30
GLOBAL,PWRCCGPRKXX00,30
GLOBAL,PWRWASROUXX01,30
GLOBAL,PWRGEOGABXX01,30
GLOBAL,PWRCOAESHXX01,30
GLOBAL,PWRCCGCHNGD01,30
GLOBAL,PWRCOAJPNTO01,30
GLOBAL,PWRWASLKAXX01,30
GLOBAL,PWRPETCHNHA01,30
GLOBAL,PWROCGCHNHE01,30
GLOBAL,PWRGEOCHNHK01,30
GLOBAL,PWRSPVINDEA01,30
GLOBAL,PWRBIORUSNW01,45
GLOBAL,PWRGEOJPNSH01,30
GLOBAL,PWROILCHNJX01,30
GLOBAL,PWRWASSAUXX01,30
GLOBAL,PWROCGUSARA00,30
GLOBAL,PWROCGOMNXX01,30
GLOBAL,PWROCGUSAER01,30
GLOBAL,PWRURNGHAXX01,60
GLOBAL,PWRURNBRAJ101,60
GLOBAL,PWRBIOCANNO01,45
GLOBAL,PWRCOGUSARA01,30
GLOBAL,PWRSPVHUNXX01,30
GLOBAL,PWRCCGRUSMV00,30
GLOBAL,PWRSPVLKAXX01,30
GLOBAL,PWRCOGMNGXX01,30
GLOBAL,PWROILBRASO01,30
GLOBAL,PWRWOFSVKXX01,30
GLOBAL,PWRCOGCHNJX01,30
GLOBAL,PWRWAVBRNXX01,20
GLOBAL,PWRCOABDIXX01,30
GLOBAL,PWROCGSGPXX01,30
GLOBAL,PWRGEOIRLXX01,30
GLOBAL,PWROCGJPNCE00,30
GLOBAL,PWRWOFJPNTO01,30
GLOBAL,PWRWASLAOXX01,30
GLOBAL,PWRGEOCYPXX01,30
GLOBAL,PWROCGGRCXX00,30
GLOBAL,PWROILCHNTI01,30
GLOBAL,PWRCCGHRVXX01,30
GLOBAL,PWRCOGARMXX01,30
GLOBAL,PWRSPVSVKXX01,30
GLOBAL,PWRCCGSENXX00,30
GLOBAL,PWRCCGERIXX01,30
GLOBAL,PWRCOAISRXX01,30
GLOBAL,PWRURNLSOXX01,60
GLOBAL,PWROILCHNSI01,30
GLOBAL,PWRPETMLIXX01,30
GLOBAL,PWRSPVBELXX01,30
GLOBAL,PWROCGJPNHO00,30
GLOBAL,PWRURNBRAJ301,60
GLOBAL,PWROCGATAXX00,30
GLOBAL,PWRCOAMLTXX01,30
GLOBAL,PWROCGESHXX00,30
GLOBAL,PWROILATAXX01,30
GLOBAL,PWRCCGSENXX01,30
GLOBAL,PWRURNTTOXX01,60
GLOBAL,PWROCGCODXX01,30
GLOBAL,PWRCOGGEOXX01,30
GLOBAL,PWRWAVCHNGA01,20
GLOBAL,PWRCOACHNJS01,30
GLOBAL,PWROILINDNO01,30
GLOBAL,PWROCGHUNXX00,30
GLOBAL,PWROILCHNHK01,30
GLOBAL,PWRBIOLBNXX01,45
GLOBAL,PWROCGMUSXX00,30
GLOBAL,PWRWOFINDNO01,30
GLOBAL,PWRURNNPLXX01,60
GLOBAL,PWRCOACANSK01,30
GLOBAL,PWRCOAAGOXX01,30
GLOBAL,PWRWONLUXXX01,30
GLOBAL,PWRGEOBRACN01,30
GLOBAL,PWRURNESPXX01,60
GLOBAL,PWRHYDUSAAZ01,100
GLOBAL,PWRURNKWTXX01,60
GLOBAL,PWRCCGUSAGU00,30
GLOBAL,PWRPETPOLXX01,30
GLOBAL,PWRPETSOMXX01,30
GLOBAL,PWRPETBRAJ101,30
GLOBAL,PWRCCGIRLXX00,30
GLOBAL,PWROCGKENXX00,30
GLOBAL,PWRWOFCHNHA01,30
GLOBAL,PWRHYDBELXX01,100
GLOBAL,PWROCGRUSMV01,30
GLOBAL,PWRBIOHTIXX01,45
GLOBAL,PWRWOFHTIXX01,30
GLOBAL,PWRCOAPERXX01,30
GLOBAL,PWRHYDKHMXX01,100
GLOBAL,PWRGEOCHNJS01,30
GLOBAL,PWROTHCHNZH01,30
GLOBAL,PWRSPVSRBXX01,30
GLOBAL,PWRSPVUSASW01,30
GLOBAL,PWRWASUSAME01,30
