REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGAFGXX00,2015,0.226
GLOBAL,PWRCCGAFGXX00,2016,0.226
GLOBAL,PWRCCGAFGXX00,2017,0.226
GLOBAL,PWRCCGAFGXX00,2018,0.226
GLOBAL,PWRCCGAFGXX00,2019,0.226
GLOBAL,PWRCCGAFGXX00,2020,0.226
GLOBAL,PWRCCGAFGXX00,2021,0.226
GLOBAL,PWRCCGAFGXX00,2022,0.226
GLOBAL,PWRCCGAFGXX00,2023,0.226
GLOBAL,PWRCCGAFGXX00,2024,0.226
GLOBAL,PWRCCGAFGXX00,2025,0.0
GLOBAL,PWRCCGAFGXX00,2026,0.0
GLOBAL,PWRCCGAFGXX00,2027,0.0
GLOBAL,PWRCCGAFGXX00,2028,0.0
GLOBAL,PWRCCGAFGXX00,2029,0.0
GLOBAL,PWRCCGAFGXX00,2030,0.0
GLOBAL,PWRCCGAFGXX00,2031,0.0
GLOBAL,PWRCCGAFGXX00,2032,0.0
GLOBAL,PWRCCGAFGXX00,2033,0.0
GLOBAL,PWRCCGAFGXX00,2034,0.0
GLOBAL,PWRCCGAFGXX00,2035,0.0
GLOBAL,PWRCCGAFGXX00,2036,0.0
GLOBAL,PWRCCGAFGXX00,2037,0.0
GLOBAL,PWRCCGAFGXX00,2038,0.0
GLOBAL,PWRCCGAFGXX00,2039,0.0
GLOBAL,PWRCCGAFGXX00,2040,0.0
GLOBAL,PWRCCGAFGXX00,2041,0.0
GLOBAL,PWRCCGAFGXX00,2042,0.0
GLOBAL,PWRCCGAFGXX00,2043,0.0
GLOBAL,PWRCCGAFGXX00,2044,0.0
GLOBAL,PWRCCGAFGXX00,2045,0.0
GLOBAL,PWRCCGAFGXX00,2046,0.0
GLOBAL,PWRCCGAFGXX00,2047,0.0
GLOBAL,PWRCCGAFGXX00,2048,0.0
GLOBAL,PWRCCGAFGXX00,2049,0.0
GLOBAL,PWRCCGAFGXX00,2050,0.0
GLOBAL,PWRHYDAFGXX01,2015,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2016,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2017,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2018,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2019,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2020,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2021,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2022,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2023,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2024,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2025,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2026,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2027,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2028,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2029,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2030,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2031,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2032,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2033,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2034,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2035,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2036,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2037,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2038,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2039,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2040,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2041,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2042,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2043,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2044,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2045,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2046,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2047,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2048,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2049,0.33044999999999997
GLOBAL,PWRHYDAFGXX01,2050,0.33044999999999997
GLOBAL,PWROCGAFGXX00,2015,0.042
